# source,XTEJ1701-462
# provenance,"Fridriksson et al. 2011, ApJ 736, 162, Table 1 (t-t0 in days; t0 = MJD 54321.95; 1sigma errors). XMM-3 (row idx 5) is an accretion FLARE (PL frac 53%), EXCLUDED per paper."
# ingest,transcribed
# notes,e-folding ~112-133 d; floor kTeq ~123 eV. Flare row 5 (XMM-3) dropped.
t_days_since_outburst,kT_eff_eV,err
2.950,163.1,3.5
10.810,158.2,2.5
16.240,155.2,1.3
49.490,149.2,1.3
174.330,128.7,4.7
298.300,135.1,2
431.070,125.5,3.1
540.080,125,1.5
592.680,128.4,2.3
652.620,123.3,2.2
705.380,123,2
795.630,123.7,1.7
1158.840,120.6,1.7
