t_days,size
0.236806,2.2e-06
0.329861,2.4e-06
0.427778,2e-06
0.656250,3.9e-06
1.070833,2.4e-06
1.106250,6.1e-06
1.260417,1.2e-06
1.292361,1.5e-06
1.532639,1.1e-06
1.993750,1.3e-06
2.073611,6.2e-06
5.870833,1.4e-06
6.140278,3.4e-06
6.670833,1.3e-06
7.747222,1.9e-06
7.854861,2.3e-06
8.104861,3.4e-06
8.352778,2.6e-06
8.690972,1.6e-06
8.952778,1.2e-06
9.299306,1.1e-06
11.629167,2.9e-06
12.435417,1.5e-06
12.640278,1.2e-06
13.310417,1.1e-06
15.363194,1.1e-06
16.820139,1e-06
17.219444,2.3e-06
19.970833,3.7e-06
20.102083,2.9e-06
20.338194,1.1e-06
20.579167,1.7e-06
20.804167,1.9e-06
20.890278,1.1e-06
20.948611,1.5e-06
21.250000,1.5e-06
21.593056,5.5e-06
22.144444,2.2e-06
23.204167,2e-06
23.434028,2e-06
24.306250,1.8e-06
24.813194,1e-06
24.999306,2.4e-06
25.256250,1e-06
25.405556,2.5e-06
25.454167,1.2e-06
25.511111,1.2e-06
25.597222,1.6e-06
25.634722,1.7e-06
25.717361,8.3e-06
25.866667,9e-06
25.907639,4e-06
26.147917,3.2e-05
26.314583,5.8e-06
26.494444,1.4e-06
26.673611,7.9e-06
26.847222,1.6e-05
26.959722,2.8e-06
26.985417,1.2e-05
27.740972,5.3e-05
28.600000,0.00021
29.504861,3e-06
29.600694,1.6e-06
29.613889,0.00018
30.119444,1.7e-06
30.322222,6.7e-05
30.443056,2.5e-06
30.627778,1.1e-06
30.748611,1.2e-06
30.925694,2.7e-05
31.202083,1.2e-05
31.287500,3.2e-06
31.636806,1.1e-06
31.979167,1.1e-05
32.397917,1.7e-06
33.036806,6.6e-06
33.229167,1.9e-06
33.497917,1.7e-06
33.563194,1.1e-06
33.773611,1.7e-06
33.816667,2e-06
34.185417,2.9e-06
34.529167,9.9e-06
34.850000,1.1e-06
35.402083,1.5e-06
35.654861,2.9e-06
35.849306,1.8e-06
36.028472,1.9e-06
36.145139,2.2e-06
36.168056,1.4e-06
36.339583,1.8e-06
36.352778,4.2e-06
36.537500,9.2e-06
36.653472,3.1e-06
36.691667,4.6e-06
36.757639,1.5e-06
36.786806,2.3e-06
36.802778,1.9e-06
36.861111,1.3e-06
37.129861,1.4e-06
37.354167,3e-06
37.443750,1e-06
37.530556,1.3e-06
37.556250,2.6e-06
37.623611,1.7e-06
37.677083,7.8e-06
37.786111,4.5e-06
37.863889,4.7e-06
38.013194,1.8e-06
38.037500,2.2e-06
38.154167,9.3e-06
38.303472,2e-06
38.319444,2e-06
38.389583,2.2e-06
38.425000,1.4e-06
38.452778,2.2e-06
38.484722,1.5e-06
38.597917,1.4e-06
38.639583,2.6e-06
39.011806,1.4e-06
39.124306,1.1e-06
39.734722,1.6e-06
39.840972,1.2e-06
39.988889,2.9e-06
40.083333,3.8e-06
40.333333,2e-06
40.607639,1.6e-06
40.877778,2.4e-06
40.979861,6.2e-06
