t_days,size
0.607639,1.1e-05
0.761806,3.5e-05
0.763194,6.2e-06
1.183333,9.2e-06
1.290278,8.1e-06
1.346528,7.8e-06
1.448611,0.001
1.670139,1.6e-05
1.945139,7.7e-06
2.104861,7.6e-06
2.120833,7.3e-06
2.225000,1.5e-05
2.265972,5.7e-06
2.360417,5.8e-06
2.393750,5.6e-06
2.665972,5.5e-06
2.700000,5e-06
2.774306,2e-05
2.845139,1.1e-05
3.106250,8.5e-06
3.286806,5.3e-06
3.432639,5.1e-06
3.457639,9.5e-06
3.582639,4.4e-06
3.768056,3.7e-06
3.781250,2.8e-06
3.790972,5.6e-06
3.815972,3.6e-06
3.932639,4.4e-06
3.950000,1.3e-05
4.069444,9.7e-06
4.254167,3.8e-06
4.293056,4.4e-06
4.327083,1.1e-05
4.389583,3.5e-06
4.524306,3.2e-05
4.698611,4e-06
4.880556,1e-05
5.110417,1.8e-05
5.300000,0.00083
5.637500,0.00027
5.994444,0.00039
6.232639,3.9e-05
6.416667,4.4e-06
6.444444,5.4e-06
6.525694,3.1e-06
6.759028,5e-06
6.827778,2.6e-05
6.992361,2.8e-06
7.013889,3e-05
7.058333,5.7e-06
7.161111,1.1e-05
7.401389,0.0028
7.698611,1.6e-05
7.918750,4.7e-06
8.038194,5.3e-05
8.276389,1.9e-06
13.430556,1.5e-06
13.481944,1.9e-06
14.145833,1.6e-05
14.230556,8.5e-06
14.984028,1.8e-06
15.160417,2.3e-06
15.335417,3.2e-06
15.503472,1e-06
15.793750,1.6e-05
15.966667,1.4e-05
16.049306,5e-06
16.245139,1.6e-06
17.027083,1e-06
17.122917,1.4e-06
17.161806,1.4e-06
17.179861,1.7e-06
17.784028,1.2e-06
18.309028,1e-06
18.377778,2e-06
18.756250,1.1e-06
18.915278,1.9e-06
18.946528,1e-06
19.013194,7e-06
19.345139,4.9e-06
19.374306,2.6e-06
19.650694,1.2e-05
19.679861,2.2e-06
19.810417,2.2e-06
19.961111,4.2e-05
20.122222,2.5e-06
20.159722,2.5e-06
20.423611,3.1e-06
20.485417,1.7e-06
20.626389,4.1e-06
20.654861,1.8e-05
20.815278,3.8e-06
20.897222,3.2e-05
20.931250,3.9e-05
20.980556,4.5e-05
21.495139,2.2e-06
21.516667,6.1e-06
21.635417,2.4e-06
21.752778,1.7e-05
21.922222,8.8e-06
21.982639,4.9e-06
22.079861,2.8e-06
22.182639,3.9e-06
22.211111,9.1e-06
22.479861,1.1e-06
22.509722,2.3e-06
22.641667,2.1e-06
22.663889,1.4e-05
22.778472,4.3e-06
22.898611,3.8e-06
22.905556,9.6e-05
23.015278,4.1e-06
23.111111,3.5e-06
23.185417,1.7e-06
23.293750,1.7e-06
23.386806,8.6e-06
23.535417,1.3e-06
23.577083,5.8e-05
23.693750,1e-06
23.990278,4.3e-06
24.123611,1e-06
24.386806,3.4e-06
24.450000,1.1e-06
24.706944,2.1e-06
24.724306,2e-06
24.813194,1.1e-06
25.188194,1.7e-06
25.362500,1.2e-06
25.463194,3.9e-06
