t_days,size
0.031545,3.7
0.132994,2.71
0.327144,7.1
0.329976,3
0.330661,4.77
0.330979,4.15
0.331421,4.98
0.332821,4.25
0.333334,2.5
0.333411,4.02
0.334990,3
0.336067,5.77
0.338201,4.48
0.339755,4.11
0.341150,3.03
0.341556,4.46
0.341958,4.74
0.343234,3.99
0.343688,3
0.343862,4.36
0.344439,3
0.344913,4.03
0.345230,2.5
0.349406,4.01
0.350850,4.76
0.351178,4.5
0.352862,3.96
0.354352,3.93
0.355221,3.38
0.356971,4.28
0.358062,4.04
0.358860,3.52
0.359813,4.08
0.361339,3.75
0.373993,3.77
0.375891,3.66
0.377864,3.14
0.381174,3.88
0.381805,3
0.382357,3
0.382629,4.33
0.383149,3.82
0.384204,2.5
0.385163,3.59
0.386172,3.36
0.387884,2.98
0.392104,3.5
0.392349,3.86
0.392757,3
0.393050,3.87
0.395077,3
0.396136,4.63
0.396687,2.5
0.397256,3.5
0.397390,4.2
0.403461,3
0.404989,3.89
0.405701,2.84
0.411165,3.78
0.411941,2.5
0.412724,3.97
0.413207,3.2
0.413658,3
0.413952,3.45
0.416579,3
0.416647,3.88
0.417250,2.5
0.417648,2.5
0.421981,4.25
0.422173,3.5
0.422686,2.5
0.423650,2.5
0.427832,2.7
0.428755,3.44
0.429543,3.56
0.430202,3.67
0.433832,3.12
0.434254,2.5
0.445607,3.74
0.446127,2.8
0.446713,2.76
0.455691,3.66
0.457991,4.42
0.459512,5.37
0.462142,2.5
0.464509,3.42
0.465062,3.75
0.467706,3.27
0.468057,2.5
0.471063,3.31
0.471727,3.17
0.476751,3.93
0.477437,3.17
0.477958,3.57
0.478698,2.5
0.478731,3
0.478850,2.8
0.479543,3.01
0.482044,2.78
0.483816,3.62
0.484429,2.5
0.484744,2.5
0.485617,3.65
0.487986,2.73
0.489935,2.93
0.490183,2.5
0.494050,3.09
0.496465,3.5
0.496972,4.24
0.500735,3.46
0.502521,4.37
0.505004,2.76
0.507584,3.46
0.507942,3.4
0.514950,3.06
0.517427,3.35
0.519992,3.05
0.525157,3.06
0.528764,2.68
0.531253,2.71
0.533007,3.15
0.533391,3.65
0.533855,3.49
0.536867,3.15
0.538031,2.53
0.539535,3.74
0.540348,3.18
0.540549,3.1
0.541199,2.79
0.541641,2.67
0.542816,2.55
0.552830,3.3
0.553101,2.5
0.553679,2.76
0.554812,2.72
0.557812,3.2
0.559402,3.09
0.561247,3
0.563556,3.09
0.564909,2.5
