t_days,size
0.000511,2.78
0.000871,2.5
0.001516,2.52
0.001872,2.96
0.002093,2.9
0.005094,3.6
0.007842,2.92
0.009357,2.98
0.163307,3.07
0.163459,3.09
0.211639,2.9
0.257097,7.3
0.259306,5.77
0.259667,5.7
0.260371,5
0.260534,5
0.260853,4.5
0.271163,3.5
0.271878,3
0.273198,4
0.277984,4.2
0.284257,5.49
0.287183,5.41
0.289329,4.44
0.297788,4.29
0.298725,3.3
0.305091,4
0.305183,4.3
0.306191,3.5
0.307978,4.87
0.309913,3.8
0.312814,4.11
0.313137,4.5
0.313930,3.22
0.316541,3.36
0.316946,3.68
0.318568,4.88
0.325201,3
0.325456,3
0.328876,4.17
0.332997,3
0.335363,4.22
0.335709,4.95
0.336370,4
0.337092,3.5
0.348702,4.14
0.349370,3.01
0.349833,2.5
0.362285,4.03
0.362783,2.8
0.363274,3
0.363482,2.7
0.364450,3.54
0.364700,3.4
0.366818,3.32
0.369282,4.35
0.370475,3
0.372097,3
0.372233,5.53
0.383255,3.37
0.383797,2.8
0.387159,4.54
0.387613,6.3
0.389387,3
0.389823,2.5
0.390691,2.5
0.391030,3
0.391461,2.8
0.391864,3
0.392315,2.5
0.393259,2.5
0.394592,3
0.395597,2.8
0.395711,4
0.395753,4.66
0.396670,4.58
0.397870,4
0.400793,4.76
0.401381,4.27
0.402471,3.5
0.415671,4.18
0.416296,3
0.416386,3.73
0.416750,2.8
0.417284,3.16
0.420755,4.15
0.422125,2.5
0.422239,3.1
0.422458,2.96
0.422810,4.01
0.423387,3.16
0.426323,4.33
0.431373,2.5
0.431443,4.18
0.432325,4.21
0.432698,4.2
0.436199,3.2
0.436296,2.5
0.436564,3
0.437481,4.24
0.438689,2.5
0.444227,2.5
0.444340,3
0.444768,2.8
0.447797,4.34
0.448471,4.12
0.449052,3.2
0.449533,3.3
0.449852,3.5
0.453712,3.62
0.454398,2.7
0.456876,3
0.457130,2.95
0.457287,2.52
0.457573,2.85
0.459436,2.5
0.459604,3.43
0.460068,2.81
0.460408,2.75
0.461895,3.65
0.462727,3
0.466160,2.5
0.468184,4.98
0.469900,3
0.470061,3.52
0.470523,2.5
0.471257,5.26
0.473700,2.5
0.474549,3.34
0.477139,3
0.477289,3.68
0.479966,4.19
0.480107,3.5
0.480568,3.5
0.481320,2.5
0.482018,4.16
0.483300,2.5
0.484968,3.58
0.488895,4.14
0.489691,3.98
0.490076,2.5
0.494700,3.5
0.494804,4.04
0.495663,2.5
0.495861,3.5
0.496660,3.94
0.498023,3.99
0.498769,3.63
0.499577,2.8
0.500827,4.46
0.501241,2.5
0.501333,2.5
0.503495,2.5
0.503681,3.52
0.504050,3
0.505195,3.28
0.509126,3.82
0.509489,2.5
0.510091,3.38
0.510298,2.5
0.518133,3
0.521522,3.82
0.524658,3.17
0.524852,2.5
0.525305,2.5
0.525417,3.36
0.526498,3.56
0.526607,3.3
0.526857,3
0.527227,3.54
0.527926,3.35
0.528498,2.96
0.537004,3.17
0.539310,3.44
0.542426,3.05
0.542804,2.8
0.545809,3.53
0.547007,3.55
0.547580,2.5
0.547831,3
0.548016,2.5
0.549008,3
0.549607,3.27
0.550040,3.05
0.550398,2.5
0.550756,3.8
0.558291,3.8
0.559070,2.5
0.559411,2.5
0.559560,3.65
0.563756,3.73
0.568942,4.17
0.571565,3.6
0.575241,3
0.575871,3.53
0.576724,2.88
0.576868,2.5
0.579786,3.7
0.579936,3.5
0.580735,2.5
0.581694,2.5
0.581833,2.94
0.582540,2.5
0.583021,3.47
0.587592,3.07
0.587952,2.5
0.588678,3.24
0.591324,3.03
0.593014,3.38
0.593926,2.61
0.595189,3.63
0.595952,3.22
0.599030,2.8
0.599106,3.24
0.599872,3.2
0.600922,3.07
0.601370,3.2
0.601643,2.5
0.602094,2.5
0.602270,3.02
0.602407,2.5
0.603582,3.15
0.603813,2.81
0.604597,2.88
0.605404,3.01
0.605759,2.74
0.607400,2.65
0.607560,2.65
0.608304,3.6
0.609521,2.5
0.618359,3.1
0.624631,3.46
0.626251,2.5
0.626942,2.59
0.627906,4.12
0.630194,3.3
0.630693,2.5
0.632554,3.58
0.638196,2.5
0.640206,3.24
0.642095,2.7
0.643004,4.67
0.644636,2.86
0.645412,3.53
0.646990,3.23
0.649166,3.32
0.649955,3.47
0.650465,3.02
0.650913,3.21
0.652432,2.5
0.652626,3.17
0.653061,2.5
0.655209,3
0.657653,2.5
0.657743,2.98
0.660766,3.28
0.661203,2.66
0.661780,3.39
0.662440,2.74
0.662999,2.5
0.664724,3.07
0.665189,3.24
0.666234,3.36
0.667074,2.5
0.668407,3.33
0.668942,2.94
0.669241,3
0.669533,3
0.671318,3.27
0.671358,2.5
0.672296,2.5
0.672436,3.68
0.673207,3.44
0.677807,3.57
0.680892,3.54
0.684620,4.01
0.685902,3
0.686402,3
0.687450,3.26
0.687930,3.64
0.689443,3
0.690488,3.67
0.691961,3.18
0.692606,2.5
0.703130,3.1
0.704293,3.51
0.705722,2.8
0.709050,4.18
0.709141,3
0.710752,3.23
0.711511,3.09
0.711767,2.5
0.714615,3.51
0.716336,3.65
0.717229,2.5
0.719069,3.4
0.726525,3.23
0.728732,3.25
0.733337,3.55
0.734379,3.4
0.734968,2.5
0.737545,3.01
0.738093,2.8
0.740367,3.57
0.740598,3.21
0.746163,2.98
0.746489,2.5
0.747018,3.14
0.749669,2.5
0.750826,2.5
0.751019,2.5
0.751067,2.5
0.752367,3.19
0.753355,3.15
0.756277,2.5
0.756662,2.72
0.761484,2.9
0.768219,3.2
0.774412,2.5
0.775842,3.34
0.776433,3.16
0.776866,2.7
0.777003,3.1
0.782724,3.14
0.784594,3.19
0.786341,4.03
0.786932,3.2
0.791147,2.5
0.791656,2.98
0.792232,3.21
0.796470,3.29
0.796880,2.7
0.797056,3.05
0.797841,2.95
0.800875,3.15
0.801080,2.93
0.802057,3.38
0.802398,2.5
0.804805,3.29
0.805264,2.5
0.810722,3.67
0.810853,3.5
0.812470,3.23
0.814215,2.8
0.814561,3
0.814713,2.5
0.816190,3.21
0.816964,3.16
0.824962,2.8
0.830625,2.7
0.831155,2.87
0.831484,2.5
0.833850,3.12
0.836019,3.32
0.836982,3.25
0.840830,3.83
0.844816,3.18
0.850139,2.5
0.850175,3.17
0.854161,3.27
0.855737,3.08
0.856984,3.11
0.858608,2.67
0.859434,2.64
0.861218,3.26
0.861400,3.5
0.869436,3.1
0.872513,2.5
0.874521,2.9
0.877815,3.6
0.879748,2.7
0.883790,3.05
0.884560,2.65
0.885133,4.49
0.885144,2.5
0.887270,3.59
0.889933,3.52
0.897559,3
0.897585,2.7
0.899195,3.13
0.900133,2.78
0.903801,2.5
0.904118,2.5
0.904587,2.69
0.907798,3.52
0.915276,3.44
0.917982,2.75
0.921877,2.91
0.924012,2.5
0.927809,2.98
0.928089,2.5
0.934014,3.08
0.934433,2.82
0.934776,3.01
0.940775,3.09
0.949374,3.85
0.951081,3.49
0.953773,3.7
0.954558,3.63
0.957392,2.5
0.957478,2.5
0.958089,3.09
0.964164,2.7
0.967092,2.5
0.967611,2.7
0.976890,2.61
0.977488,2.6
0.983733,2.5
0.987265,2.9
0.987423,2.71
0.988509,3.36
0.989146,3.06
0.990414,2.5
0.991066,2.5
0.992630,3.7
0.995059,2.5
0.995464,2.96
