t_days,size
0.290972,4.4e-06
0.436806,9.2e-06
0.525694,4.6e-06
0.629167,3.2e-06
0.745139,5.1e-06
0.775694,9.7e-06
0.825000,0.0001
1.092361,8.4e-06
1.167361,3.1e-06
1.334722,2.8e-06
1.359722,4e-06
1.379167,9.5e-06
1.539583,0.0002
1.664583,9.2e-06
1.752778,5.2e-06
1.781250,3.5e-06
1.795139,5.2e-06
1.834028,1e-05
1.866667,7.8e-06
1.875000,4.2e-05
1.900000,1.9e-05
1.952778,2.4e-05
2.027778,8.3e-06
2.124306,7.1e-05
2.192361,1e-05
2.269444,1.3e-05
2.329167,3.4e-06
2.343056,4.9e-06
2.409028,9.6e-06
2.419444,9.6e-06
2.536111,6.7e-05
2.711806,0.0002
2.851389,1.4e-05
3.006250,5.4e-06
3.077778,4.6e-06
3.213889,3.4e-05
3.261111,6.6e-05
3.374306,4.2e-06
3.467361,6.5e-06
3.579861,5.2e-06
3.699306,1.6e-05
4.252083,3.3e-06
4.265278,8.4e-06
4.372222,1e-05
4.532639,1.2e-05
4.700000,5.5e-06
4.720139,1.4e-05
4.790972,1e-05
4.902778,1.3e-05
4.933333,6.8e-06
5.007639,2.3e-05
5.078472,2.7e-06
5.091667,3.6e-06
5.115972,7.1e-06
5.143750,1.3e-05
5.175000,3.5e-05
5.298611,1.2e-05
5.357639,3.5e-06
5.645833,2.9e-06
5.664583,6.9e-06
5.749306,2.3e-06
5.759722,9.8e-06
5.865278,3.4e-06
6.074306,4.8e-06
6.142361,8.2e-06
6.468056,2.3e-06
6.508333,2e-06
7.317361,2.7e-06
7.509028,4.5e-06
7.550694,4.1e-06
7.690972,2.6e-06
7.812500,7.2e-06
7.879861,2.3e-06
8.827083,3.5e-06
8.984028,9.5e-06
9.104861,1.9e-06
9.277778,4.2e-06
9.321528,1.4e-06
9.594444,2.2e-05
9.879861,1.3e-06
9.918750,1.7e-06
9.986806,1.9e-06
10.047222,6.5e-05
10.293056,2.1e-06
10.416667,1.5e-06
10.452778,2.6e-05
10.489583,2.3e-05
10.852083,1.1e-06
11.336806,1e-06
11.513194,7.9e-05
11.720139,2.1e-06
11.796528,1.7e-06
11.890972,2.5e-06
11.904861,2.9e-05
12.150694,3.3e-06
12.181944,3.2e-05
12.267361,5.4e-05
12.715278,3.8e-06
12.961111,1.1e-06
13.031944,2.5e-05
13.082639,6.5e-06
13.206944,2.7e-05
13.295139,2e-05
13.545833,1e-05
13.622222,3.9e-06
13.675000,1.3e-06
13.700000,2.3e-06
13.738889,7e-06
13.793750,7e-06
13.823611,0.00016
14.109722,1.4e-06
14.329861,1.1e-06
14.395139,1.1e-06
14.716667,3.6e-06
14.817361,4.4e-06
14.906944,2.3e-06
14.949306,1.7e-06
15.027778,1.4e-06
15.069444,1.5e-06
15.247222,4.4e-06
15.421528,4.4e-06
15.621528,2.5e-06
15.686111,4e-06
15.761806,2.3e-05
15.872222,1.5e-06
