t_days,size
0.001429,3.5
0.002005,2.71
0.002575,2.76
0.003239,2.93
0.005538,2.66
0.006327,2.17
0.006341,2.94
0.024947,2.14
0.028084,3.67
0.028408,2.91
0.045916,2.02
0.059657,2.34
0.071198,2.75
0.073059,2.02
0.077731,2.21
0.083483,2.54
0.086404,2.5
0.096296,2.12
0.098055,2.06
0.104010,2.12
0.105032,2.59
0.114049,2.8
0.116521,2.15
0.126178,2.22
0.128857,4.97
0.129331,4.14
0.131178,7.1
0.131676,4.33
0.131735,4.81
0.132069,4.33
0.132175,4.15
0.132689,4.64
0.132845,4.55
0.132962,4.46
0.133060,4.73
0.133206,4.64
0.133429,3.78
0.133572,4.52
0.133684,4
0.133744,4.22
0.133929,4.84
0.134124,3.91
0.134212,3.52
0.134295,4.19
0.134424,4.07
0.134694,3.92
0.134959,3.91
0.135054,4.61
0.135220,3.67
0.135304,3.98
0.135472,4.02
0.135745,3.76
0.135894,3.57
0.136027,4.09
0.136172,3.84
0.136201,4.5
0.136251,4.57
0.136333,3.91
0.136413,3.92
0.136539,4.03
0.136822,4.09
0.136957,4.09
0.137105,3.98
0.137353,4.19
0.137628,4.02
0.137692,4.01
0.137842,4.07
0.137880,4.51
0.138054,3.57
0.138088,3.57
0.138211,3.56
0.138493,4.49
0.138701,3.53
0.138894,3.9
0.139017,3.55
0.139181,3.62
0.139288,3.45
0.139462,3.97
0.139572,3.86
0.139747,3.32
0.139889,3.61
0.139933,3.68
0.140132,4.17
0.140329,3.9
0.140520,4.08
0.140739,3.8
0.140743,4.01
0.140851,3.19
0.140934,3.51
0.141230,3.63
0.141295,3.43
0.141405,3.29
0.141477,3.74
0.141629,3.52
0.141738,4.09
0.141957,3.42
0.142030,3.67
0.142193,3.39
0.142252,3.35
0.142351,3.49
0.142560,4.35
0.142699,3.85
0.143005,3.22
0.143124,3.63
0.143356,3.53
0.143584,3.47
0.144024,3.79
0.144233,3.26
0.144408,3.45
0.144484,3.69
0.144623,3.84
0.144848,3.74
0.144931,3.24
0.145195,3.65
0.145334,2.99
0.145524,3.42
0.145646,3.36
0.145743,3.49
0.146005,3.14
0.146160,3.18
0.146289,3.98
0.146380,3.46
0.146587,3.2
0.146648,3.57
0.146833,3.3
0.146975,3.46
0.147066,3.57
0.147144,3.86
0.147335,3.85
0.147606,3.15
0.147944,3.86
0.148050,3.6
0.148130,3.96
0.148506,3.29
0.148724,3.47
0.148772,3.49
0.148959,3.46
0.149254,3.52
0.149539,3.16
0.149625,4.26
0.149760,3.72
0.149975,3.34
0.150009,3.57
0.150110,3.32
0.150627,5.5
0.150871,3.8
0.150988,3.98
0.151123,3.55
0.151330,3.53
0.151371,3.68
0.151686,3.78
0.152004,3.83
0.152147,3.67
0.152220,3.79
0.152485,3.45
0.152663,3.79
0.152783,4.97
0.153022,3.76
0.153235,3.44
0.153320,3.23
0.153409,3.08
0.153524,3.57
0.153758,3.35
0.154115,3.6
0.154167,3.69
0.154417,3.47
0.154641,3.68
0.154642,3.27
0.154846,3.67
0.154984,3.24
0.155046,3.37
0.155412,3.5
0.155607,3.14
0.155796,4.06
0.156122,3.15
0.156277,3.48
0.156290,3.07
0.156380,3.35
0.156549,3.09
0.156646,3.53
0.156779,3.24
0.157095,3.01
0.157392,3.59
0.157542,4.31
0.157778,3.44
0.157940,3.49
0.158195,3.22
0.158307,3.15
0.158316,3.39
0.158459,3.03
0.158620,3.47
0.158904,3.53
0.159159,3.04
0.159453,3.2
0.159573,3.01
0.159714,3.2
0.159796,3.24
0.160459,2.87
0.160596,3
0.160920,3.28
0.161115,3.48
0.161191,3.11
0.161919,3.11
0.162430,3.08
0.162480,2.91
0.162672,2.83
0.162829,3.55
0.162979,3.05
0.163086,3.9
0.163322,3.13
0.163372,3.79
0.163573,3.21
0.163782,3.18
0.163950,4.68
0.164080,3.74
0.164336,3.62
0.164506,3.03
0.164682,3.13
0.165006,3.41
0.165118,3.44
0.165237,3
0.165407,2.94
0.165646,3.37
0.165867,3.45
