t_days,size
0.736806,2.9e-06
0.818056,2e-06
0.886111,4e-06
0.897222,1.9e-06
0.947222,4.2e-06
0.980556,2.1e-05
1.129167,2.1e-05
1.149306,0.00054
1.368750,1e-05
1.386111,1.1e-05
1.393056,0.00011
1.478472,1.8e-05
1.510417,6.2e-05
1.628472,3.7e-06
1.664583,3.1e-06
1.672917,4.8e-06
1.684028,0.00036
1.802778,3e-06
1.917361,4.2e-06
1.930556,2.8e-06
1.969444,1e-06
2.010417,1.9e-05
2.080556,0.00062
2.534028,3.7e-05
2.654167,1.9e-05
2.713194,7.6e-06
2.821528,7.8e-06
2.935417,7.1e-06
2.970139,0.00011
3.078472,4.1e-05
3.175694,0.00021
3.383333,3.4e-05
3.536111,7.1e-06
3.575694,4.4e-06
3.810417,3e-05
4.133333,1.3e-05
4.200000,1.9e-06
4.204861,6.5e-06
4.252778,2e-06
4.311111,3.3e-06
4.392361,2e-06
4.480556,1.5e-05
4.568750,1.3e-05
4.638889,6.1e-05
4.927778,1.1e-06
4.966667,1.1e-06
4.970833,1.2e-06
5.090972,3.2e-06
5.116667,1.5e-05
5.201389,7.2e-06
5.236111,5.6e-06
5.246528,5.5e-06
5.316667,4.3e-06
5.419444,3.4e-06
5.444444,1.5e-06
5.456944,1.9e-06
5.472222,5.1e-06
5.551389,1.2e-06
5.629861,1.8e-06
5.725000,1.3e-05
5.829167,4.5e-06
6.063889,2.9e-06
6.084722,0.00015
6.248611,0.00017
6.456250,3.8e-06
6.568750,5.2e-06
6.654167,2.2e-06
6.700000,4.6e-05
6.812500,3.4e-06
7.086806,4.4e-06
7.138889,4.3e-06
7.229167,5.8e-06
7.264583,3.7e-06
7.315278,8.5e-06
7.357639,1.3e-05
7.486111,2.6e-06
7.560417,1.8e-06
7.634028,0.00011
7.722222,1e-06
7.886111,1e-06
7.893750,7.1e-06
7.927083,5.2e-06
7.956250,1.1e-06
7.965972,4.8e-06
8.044444,2.3e-06
8.068056,1e-05
8.137500,1.5e-06
8.193750,3.8e-06
8.350000,4.4e-05
8.502083,1.1e-06
8.649306,1.2e-06
8.827083,1.5e-06
8.888194,6.1e-06
8.911111,7.9e-06
9.012500,1.3e-05
9.084028,3.5e-05
9.261111,6.2e-06
9.368056,2e-06
9.468750,3.3e-06
9.528472,9.8e-05
9.666667,1.2e-06
9.678472,1.5e-06
9.719444,2.5e-06
9.903472,1.5e-06
10.463194,3.7e-06
10.484028,1.8e-06
10.784722,1.1e-06
11.431944,3.8e-06
12.122917,1.2e-06
12.627083,1.2e-06
15.521528,1.5e-06
27.622222,1.4e-06
34.002083,1.1e-06
34.510417,1.2e-06
59.889583,1.1e-06
