t_days,size
0.005646,6.3
0.006497,6.4
0.008141,6.3
0.009114,5.9
0.009898,6.2
0.012166,5.9
0.012941,5.8
0.013762,6.3
0.014546,6.4
0.015342,6.7
0.017263,5.9
0.018197,6.2
0.018483,6.2
0.020127,6.3
0.020326,7.9
0.022516,6.6
0.023380,6.5
0.024405,6.2
0.025525,6.2
0.027386,7.7
0.029767,6.1
0.032430,5.9
0.033991,5.8
0.035202,5.6
0.035963,5.8
0.036981,5.5
0.037932,5.8
0.038732,5.2
0.039427,5.4
0.040635,5.3
0.041748,5.9
0.042994,5.3
0.043304,6.2
0.043663,6.1
0.044137,5.8
0.045884,5.5
0.047041,5.4
0.048026,5.9
0.049217,6
0.050418,6.3
0.051939,5.7
0.053161,5.8
0.053193,5.6
0.054075,5.8
0.054826,5.7
0.055807,5.6
0.057499,5.7
0.058035,5.6
0.058747,5.8
0.060689,5.9
0.061513,6.3
0.063410,5.8
0.067278,5.9
0.068893,6.1
0.070697,6.1
0.071270,6.3
0.072157,6
0.074416,5.7
0.076020,5.7
0.077818,5.8
0.079505,5.3
0.080920,5.7
0.081989,5.8
0.084321,5.2
0.084556,5.1
0.085699,5.4
0.087145,5
0.088253,5
0.088651,4.9
0.089135,5.7
0.090177,5.6
0.092649,5.7
0.093750,5.1
0.094131,5.9
0.096234,5.7
0.097182,5.4
0.100060,5.6
0.101194,6.2
0.103677,6.1
0.106139,5.4
0.106253,6.5
0.111259,6.1
0.112124,6
0.114411,6
0.115702,6
0.117338,5.6
0.119183,5.4
0.120010,5.5
0.121204,5.9
0.123334,5.6
0.125252,5.6
0.126418,5.2
0.128255,5.3
0.128941,5.3
0.129159,5.5
0.130292,4.8
0.131058,5
0.131753,4.9
0.134611,5.1
0.136982,4.7
0.137301,5.4
0.138309,5.3
0.138646,5.1
0.140863,5.5
0.142465,4.9
0.144489,4.7
0.145268,4.6
0.145900,5
0.146608,4.8
0.147474,4.9
0.147728,5
0.151447,4.9
0.152381,4.7
0.153682,5.3
0.156180,4.8
0.157954,4.8
0.158202,5
0.159160,4.9
0.160191,5.5
0.162350,4.9
0.163848,5.3
0.165751,4.6
0.165983,5
0.166205,5
0.167103,5.4
0.169937,5.1
0.171062,5
0.172638,4.9
0.172952,4.8
0.175081,4.8
0.176017,5.3
0.176425,5.1
0.179719,4.7
0.183232,4.9
0.183450,6
0.187098,5
0.189657,4.8
0.189902,5
0.190302,5.4
0.190801,5.4
0.191337,5.1
0.191418,5.7
0.194786,4.7
0.195798,5
0.196048,5.9
0.200840,5.2
0.203457,4.7
0.203887,4.6
0.204509,5
0.205463,4.9
0.206758,5
0.207583,5.4
0.207877,5.6
0.208852,5.2
0.212317,5
0.214892,4.9
0.215997,4.8
0.216420,5.2
0.217977,4.9
0.218383,5.6
0.219513,5.3
0.222031,5
0.222457,5.1
0.223880,4.9
0.224557,5.2
0.225396,5.5
0.226954,5.5
0.228844,5.3
0.229469,5.5
0.232395,5.7
0.232705,5.8
0.235505,5.2
0.236740,5.4
0.237809,5.2
0.238831,5.4
0.239466,5.1
0.240170,5.7
0.240313,5.8
0.242375,5.3
0.243250,6.6
0.247039,5.4
0.248659,5.7
0.250213,5.8
0.252065,5
0.254856,4.7
0.255285,5.3
0.256217,5.3
0.256819,5.5
0.257070,5.3
0.257546,5.3
0.258684,5.6
0.260292,4.6
0.260651,4.9
0.262359,5.1
0.264915,4.6
0.266609,5
0.268411,5.9
0.270384,5.8
0.274224,4.9
0.274922,4.6
0.276517,5.3
0.278790,4.7
0.279419,5.2
0.282570,5.4
0.283282,5.3
0.283423,5.4
0.284000,5.3
0.285945,4.6
0.293501,5.6
0.294832,4.6
0.297559,5.4
