#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-06-14T14:41:09 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-06-14T14:41:09	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/257/59/table2&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22570059
#Name: J/ApJS/257/59
#Title: First CHIME/FRB Fast Radio Burst Catalog (CHIME/FRB Col.+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/apjs/257/59	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/257/59	    IVOID of underlying data collection
#INFO	creator=CHIME/FRB Col.	    First author or institution
#INFO	cites=bibcode:2021ApJS..257...59C	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/257/59	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22570059	    Dataset identifier that can be used for citation
#INFO	publication_date=2023-09-04	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_257_59_table2:
#Name: J/ApJS/257/59/table2
#Title: CHIME/FRB Catalog 1
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(A12)	TNS name (tns_name)	[ucd=meta.id;meta.main]
#Column	OName	(a15)	Previous name (previous_name)	[ucd=meta.id]
#Column	RpName	(a12)	Associated repeater name if any or "-9999" (repeater_name)	[ucd=meta.id]
#Column	RAJ2000	(F11.7)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	e_RAJ2000	(E9.2)	[4e-07/0.4] Right ascension error; see Section 3.2 (ra_err)	[ucd=stat.error;pos.eq.ra]
#Column	n_RAJ2000	(A1)	Notes on right ascension (ra_notes) (1)	[ucd=meta.note]
#Column	DEJ2000	(F11.7)	[-6.5/89.4] Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	e_DEJ2000	(E9.2)	[6e-07/0.5] Declination error; see Section 3.2 (dec_err)	[ucd=stat.error;pos.eq.dec]
#Column	n_DEJ2000	(A1)	Notes on declination (dec_notes) (1)	[ucd=meta.note]
#Column	GLON	(F6.2)	[16.3/360] Galactic longitude (gl)	[ucd=pos.galactic.lon]
#Column	GLAT	(F6.2)	[-68/89.6] Galactic latitude (gb)	[ucd=pos.galactic.lat]
#Column	ExpUp	(F7.2)	[1.8/1190] Exposure for upper transit of the source (exp_up)	[ucd=time.expo]
#Column	e_ExpUp	(F5.1)	[/330]? Exposure error for upper transit of the source (exp_up_err)	[ucd=stat.error]
#Column	n_ExpUp	(A1)	Notes on exposure for upper transit of the source (exp_up_notes) (1)	[ucd=meta.note]
#Column	ExpLo	(F7.1)	[8/960]? Exposure for lower transit of the source (exp_low)	[ucd=time.expo]
#Column	e_ExpLo	(F7.1)	[1.8/390]? Exposure error for lower transit of the source (exp_low_err)	[ucd=stat.error]
#Column	n_ExpLo	(A1)	Notes on exposure for lower transit of the source (exp_low_notes) (1)	[ucd=meta.note]
#Column	SNR	(F5.1)	[9/134] Detection SNR (bonsai_snr)	[ucd=stat.snr]
#Column	DM	(F6.1)	[101.9/3038] Detection dispersion measure, DM (bonsai_dm)	[ucd=phys.dispMeasure]
#Column	b_Ft68	(F5.1)	[0/204] Lower limit fluence threshold (68% confidence) (low_ft_68)	[ucd=instr.sensitivity]
#Column	B_Ft68	(F4.1)	[0/35] Upper limit fluence threshold (68% confidence) (up_ft_68)	[ucd=instr.sensitivity]
#Column	b_Ft95	(F5.1)	[0/401.5] Lower limit fluence threshold (95% confidence) (low_ft_95)	[ucd=instr.sensitivity]
#Column	B_Ft95	(F4.1)	[0/63] Upper limit fluence threshold (95% confidence) (up_ft_95)	[ucd=instr.sensitivity]
#Column	SNRfitb	(F5.1)	[7.9/458.5] SNR determined using the fitting algorithm fitburst (snr_fitb)	[ucd=stat.snr]
#Column	DMfitb	(F10.5)	[103/3039] DM determined using the fitting algorithm fitburst (dm_fitb) (2)	[ucd=phys.dispMeasure]
#Column	e_DMfitb	(F8.5)	[0.00016/0.8] DM error determined using the fitting algorithm fitburst (dm_fitb_err) (2)	[ucd=stat.error]
#Column	DMeNE2001	(F6.1)	[62/3007] DM excess between DM determined by fitburst + NE2001 (dm_exc_ne2001) (3)	[ucd=phys.dispMeasure]
#Column	DMeYMW16	(F6.1)	[23.9/3016] DM excess between DM determined by fitburst + YMW16 (dm_exc_ymw16) (3)	[ucd=phys.dispMeasure]
#Column	BcWidth	(F8.5)	[0.00098/0.13] Boxcar width of the pulse (bc_width)	[ucd=time.interval]
#Column	l_Scat	(A1)	Limit flag on scat_time	[ucd=meta.code.error]
#Column	Scat	(F11.8)	[0.0001/0.091] Scattering time at 600MHz (scat_time) (2)	[ucd=time;arith.diff]
#Column	e_Scat	(F14.8)	[6.5e-7/0.007]? Scattering time error (scat_time_err) (2)	[ucd=stat.error]
#Column	Flux	(F6.3)	[0/41] Peak flux of the band-average profile (lower limit)	[ucd=phot.flux.density;em.radio]
#Column	e_Flux	(F6.3)	[0/18] Flux error (flux_err)	[ucd=stat.error;phot.flux]
#Column	l_Flux	(A1)	Lower bound on Flux (flux_notes) (1)	[ucd=meta.code.error;phot.flux]
#Column	Fluence	(F5.2)	[0/95] Fluence (lower limit)	[ucd=phot.fluence]
#Column	e_Fluence	(F5.2)	[0/41] Fluence error (fluence_err)	[ucd=stat.error;phot.fluence]
#Column	l_Fluence	(A1)	Lower bound on Fluence (fluence_notes) (1)	[ucd=meta.code.error;phot.fluence]
#Column	Nsb	(I1)	[0/5] Sub-burst number (sub_num) (4)	[ucd=meta.number]
#Column	MJD400	(F17.11)	[58324.7/58666] Time of arrival with reference to 400.1953125MHz; Modified Julian Date (mjd_400) (5)	[ucd=time.epoch]
#Column	e_MJD400	(F14.11)	[1.7e-10/1.4] Error on MJD400 (mjd_400_err) (5)	[ucd=stat.error]
#Column	MJDinf	(F17.11)	[58324.7/58666] Time of arrival with reference to infinite frequency (mjd_inf) (5)	[ucd=time.epoch]
#Column	e_MJDinf	(F14.11)	[1.9e-10/1.4] Time of arrival error with reference to infinite frequency (mjd_inf_err) (5)	[ucd=stat.error]
#Column	l_Widthfitb	(A1)	Limit flag on width_fitb	[ucd=meta.code.error]
#Column	Widthfitb	(F10.7)	[0.0001/0.03] Width of sub-burst using fitburst (width_fitb)	[ucd=time.interval]
#Column	e_Widthfitb	(F13.7)	[2.3e-06/0.007]? Width error of sub-burst using fitburst (width_fitb_err)	[ucd=stat.error]
#Column	SpInd	(F6.3)	[-9.4/99] Spectral index for the sub-burst (sp_idx)	[ucd=spect.index]
#Column	e_SpInd	(F6.3)	[0.078/26] Spectral index error for the sub-burst (sp_idx_err)	[ucd=stat.error]
#Column	spRun	(F7.2)	[-910/10.3] Spectral running for the sub-burst (sp_run)	[ucd=spect.index]
#Column	e_spRun	(F6.2)	[0.13/170] Spectral running error for the sub-burst (sp_run_err)	[ucd=stat.error]
#Column	B_Freq	(F5.1)	[444.1/800.2] Highest frequency band of detection for the sub-burst at FWTM (high_freq)	[ucd=em.freq;stat.max]
#Column	b_Freq	(F5.1)	[400.2/658.6] Lowest frequency band of detection for the sub-burst at FWTM (low_freq)	[ucd=em.freq;stat.min]
#Column	Fpk	(F5.1)	[400.2/800.2] Peak frequency for the sub-burst (peak_freq)	[ucd=em.freq]
#Column	chi2	(F11.3)	[136752/9092629] Fit {chi}^2 from fitburst (chi_sq)	[ucd=stat.fit.param;meta.modelled]
#Column	dof	(I7)	[134058/9070841] Number of deg of freedom in fitburst	[ucd=meta.id]
#Column	Frac	(F6.3)	[0.232/0.657] Fraction of spectral channels flagged in fitburst (flag_frac)	[ucd=stat.fit.param]
#Column	Flag	(I1)	[0/1] Flag (excluded_flag) (6)	[ucd=meta.code.error]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
recno	Name	OName	RpName	RAJ2000	e_RAJ2000	n_RAJ2000	DEJ2000	e_DEJ2000	n_DEJ2000	GLON	GLAT	ExpUp	e_ExpUp	n_ExpUp	ExpLo	e_ExpLo	n_ExpLo	SNR	DM	b_Ft68	B_Ft68	b_Ft95	B_Ft95	SNRfitb	DMfitb	e_DMfitb	DMeNE2001	DMeYMW16	BcWidth	l_Scat	Scat	e_Scat	Flux	e_Flux	l_Flux	Fluence	e_Fluence	l_Fluence	Nsb	MJD400	e_MJD400	MJDinf	e_MJDinf	l_Widthfitb	Widthfitb	e_Widthfitb	SpInd	e_SpInd	spRun	e_spRun	B_Freq	b_Freq	Fpk	chi2	dof	Frac	Flag	Simbad
 	 	 	 	deg	deg	 	deg	deg	 	deg	deg	h	h	 	h	h	 	 	pc/cm3	Jy.ms	Jy.ms	Jy.ms	Jy.ms	 	pc/cm3	pc/cm3	pc/cm3	pc/cm3	s	 	s	s	Jy	Jy	 	Jy.ms	Jy.ms	 	 	d	d	d	d	 	s	s	 	 	 	 	MHz	MHz	MHz	 	 	 	 	
--------	------------	---------------	------------	-----------	---------	-	-----------	---------	-	------	------	-------	-----	-	-------	-------	-	-----	------	-----	----	-----	----	-----	----------	--------	------	------	--------	-	-----------	--------------	------	------	-	-----	-----	-	-	-----------------	--------------	-----------------	--------------	-	----------	-------------	------	------	-------	------	-----	-----	-----	-----------	-------	------	-	------
       1	FRB20180725A	180725.J0613+67	-9999       	093.4200000	 3.90e-02	 	+67.0700000	 2.10e-01	 	147.29	 21.29	  30.00	 18.0	 	       	       	 	 19.2	 716.6	  0.0	 2.7	  0.0	 5.0	 33.2	 715.80930	 0.00410	 644.2	 635.4	 0.00295	 	 0.00110000	    0.00032000	 1.700	 1.000	 	 4.10	 2.30	 	0	58324.74980320590	 0.00000000180	58324.74958856010	 0.00000000220	 	 0.0002960	    0.0000760	38.200	 3.700	 -45.80	  4.20	760.1	485.3	607.4	 371857.954	 371481	 0.403	1	Simbad
       2	FRB20180727A	180727.J1311+26	-9999       	197.7200000	 1.30e-01	 	+26.4200000	 2.60e-01	 	 24.76	 85.60	  10.40	  7.1	 	       	       	 	 10.4	 642.1	  0.0	 1.9	  0.0	 3.1	 12.2	 642.13400	 0.01500	 620.9	 622.4	 0.00295	<	 0.00170000	              	 0.580	 0.310	 	 2.31	 0.76	 	0	58326.03626158450	 0.00000000370	58326.03606903130	 0.00000000580	 	 0.0013900	    0.0001700	 3.800	 1.800	  -9.20	  3.00	800.2	400.2	493.3	 382969.318	 381818	 0.387	1	Simbad
       3	FRB20180729A	180729.J1316+55	-9999       	199.4000000	 1.20e-01	 	+55.5800000	 8.40e-02	 	115.26	 61.16	  21.00	 11.0	 	       	       	 	 32.0	 108.4	  0.0	 4.6	  0.0	 8.6	206.6	 109.59418	 0.00031	  78.8	  86.8	 0.00098	 	 0.00015740	    0.00000360	11.700	 6.800	 	17.00	10.00	 	0	58328.03356479831	 0.00000000032	58328.03353193490	 0.00000000034	<	 0.0001000	             	16.460	 0.240	 -30.21	  0.38	692.7	400.2	525.6	 264732.041	 186953	 0.399	1	Simbad
       4	FRB20180729B	180729.J0558+56	-9999       	089.9300000	 2.70e-01	 	+56.5000000	 2.40e-01	 	156.90	 15.68	  21.00	 12.0	 	       	       	 	 12.4	 318.6	  0.0	 0.9	  0.0	 1.7	 22.0	 317.22350	 0.00450	 223.2	 198.8	 0.00197	 	 0.00066000	    0.00018000	 0.920	 0.590	 	 1.20	 0.74	 	0	58328.72803239770	 0.00000000370	58328.72793727350	 0.00000000400	 	 0.0003140	    0.0000830	14.500	 3.500	 -14.60	  3.50	800.2	441.8	657.5	 425139.488	 421337	 0.323	1	Simbad
       5	FRB20180730A	180730.J0353+87	-9999       	057.3900000	 3.20e-02	 	+87.1900000	 2.00e-01	 	125.11	 25.11	 270.00	110.0	 	  214.0	   99.0	 	 69.5	 849.2	  3.3	 2.3	  6.1	 4.4	 89.8	 848.90410	 0.00180	 789.7	 790.5	 0.00492	 	 0.00207300	    0.00007400	 5.200	 2.800	 	27.00	12.00	 	0	58329.15113426630	 0.00000000120	58329.15087971000	 0.00000000130	 	 0.0004680	    0.0000400	 4.270	 0.300	 -11.31	  0.48	759.2	400.2	483.5	 429165.844	 417689	 0.329	1	Simbad
       6	FRB20180801A	180801.J2130+72	-9999       	322.5300000	 5.90e-02	 	+72.7200000	 2.20e-01	 	109.21	 15.46	  39.00	 22.0	 	   31.0	   17.0	 	 20.4	 656.7	 31.0	 4.4	 66.9	 8.4	 40.9	 655.72800	 0.01600	 565.6	 547.7	 0.00983	 	 0.00554000	    0.00037000	 1.110	 0.650	 	 7.90	 4.80	 	0	58331.36624987210	 0.00000000360	58331.36605324250	 0.00000000600	 	 0.0005800	    0.0002100	60.000	 4.800	 -75.50	  5.70	709.3	500.2	595.6	 804325.253	 800121	 0.357	1	Simbad
       7	FRB20180806A	180806.J1515+75	-9999       	228.5600000	 7.10e-02	 	+75.6200000	 3.90e-01	 	112.27	 38.40	  48.00	 26.0	 	   39.0	   20.0	 	 13.9	 739.2	  2.5	 0.4	  4.6	 0.8	 14.4	 739.94820	 0.00800	 699.3	 706.0	 0.00295	<	 0.00160000	              	 1.900	 1.800	 	 7.60	 6.60	 	0	58336.59251157610	 0.00000000330	58336.59228969180	 0.00000000410	 	 0.0014100	    0.0001200	 0.100	 1.200	  -0.10	  1.60	800.2	400.2	665.3	 370874.518	 369658	 0.406	1	Simbad
       8	FRB20180810A	180810.J0646+34	-9999       	101.4700000	 1.30e-01	 	+34.8600000	 2.40e-01	 	180.67	 14.06	  15.00	  8.3	 	       	       	 	 13.1	 415.7	  0.0	 1.5	  0.0	 2.7	 16.5	 414.88040	 0.00400	 310.2	 274.7	 0.00197	 	 0.00025300	    0.00008000	 1.100	 0.860	 	 1.70	 1.00	 	0	58340.72847223700	 0.00000008100	58340.72834782900	 0.00000008100	 	 0.0003220	    0.0000740	 1.100	 1.500	  -1.70	  1.90	800.2	400.2	552.9	 356074.278	 356889	 0.427	1	Simbad
       9	FRB20180810B	180810.J1159+83	-9999       	180.4100000	 1.60e-02	 	+83.1400000	 1.60e-01	 	124.71	 33.82	  58.00	 30.0	 	   38.0	   28.0	 	 38.6	 169.8	  2.7	 1.1	  4.7	 1.8	 55.1	 169.13850	 0.00170	 123.3	 129.6	 0.00098	 	 0.00020100	    0.00001300	 5.200	 1.300	 	 7.90	 2.10	 	0	58340.94495370880	 0.00000000240	58340.94490299010	 0.00000000250	 	 0.0003110	    0.0000260	-0.760	 0.400	  -4.06	  0.71	778.6	400.2	400.2	 191482.920	 183305	 0.411	1	Simbad
      10	FRB20180812A	180812.J0112+80	-9999       	019.3300000	 2.70e-01	 	+80.7800000	 2.80e-01	 	124.02	 17.96	  50.00	 28.0	 	   45.0	   27.0	 	 12.5	 795.8	  6.2	 2.1	 12.2	 4.1	 20.5	 802.45100	 0.03500	 722.1	 708.4	 0.00786	 	 0.00281000	    0.00032000	 0.930	 0.580	 	 5.40	 2.80	 	0	58342.49009258080	 0.00000000390	58342.48985195400	 0.00000001100	<	 0.0013000	             	-2.900	 1.400	  -8.30	  3.60	586.4	400.2	400.2	 563105.450	 560873	 0.399	1	Simbad
      11	FRB20180814B	180814.J1554+74	-9999       	238.2600000	 4.20e-02	 	+74.0200000	 3.80e-01	 	108.60	 37.62	  43.00	 24.0	 	   34.0	   17.0	 	 18.7	 237.8	  2.4	 0.3	  3.9	 0.5	 24.4	 238.34740	 0.00330	 197.2	 203.8	 0.00590	<	 0.00088000	              	 3.400	 2.800	 	10.60	 8.30	 	0	58344.59741895700	 0.00000000310	58344.59734748510	 0.00000000330	 	 0.0007640	    0.0000570	 0.300	 1.000	   1.20	  1.30	800.2	400.2	800.2	 366744.692	 363573	 0.416	1	Simbad
      12	FRB20180814B	180814.J1554+74	-9999       	238.2600000	 4.20e-02	 	+74.0200000	 3.80e-01	 	108.60	 37.62	  43.00	 24.0	 	   34.0	   17.0	 	 18.7	 237.8	  2.4	 0.3	  3.9	 0.5	 24.4	 238.34740	 0.00330	 197.2	 203.8	 0.00590	<	 0.00088000	              	 3.400	 2.800	 	10.60	 8.30	 	1	58344.59741899080	 0.00000000310	58344.59734751890	 0.00000000330	 	 0.0008300	    0.0001500	 0.100	 2.000	   0.20	  2.70	800.2	400.2	800.2	 366744.692	 363573	 0.416	1	Simbad
      13	FRB20180814A	180814.J0422+73	FRB20180814A	065.5400000	 1.90e-01	 	+73.6300000	 2.70e-01	 	136.46	 16.58	  41.00	 24.0	 	   43.5	    7.9	 	 11.0	 190.9	 43.8	 6.9	155.9	25.6	 22.1	 189.28600	 0.07600	 101.5	  80.9	 0.00786	<	 0.00310000	              	 0.390	 0.300	 	 2.60	 1.00	 	0	58344.61793975690	 0.00000000740	58344.61788299700	 0.00000002400	 	 0.0025400	    0.0002900	42.500	 5.500	-143.00	 19.00	527.0	408.9	464.2	 377384.635	 376346	 0.396	1	Simbad
      14	FRB20180817A	180817.J1533+42	-9999       	233.2000000	 5.20e-02	 	+42.2000000	 1.60e-01	 	 68.30	 53.98	  22.70	  2.5	 	       	       	 	 45.6	1002.8	  0.0	 6.2	  0.0	11.1	 65.1	1006.77140	 0.00850	 979.1	 982.0	 0.01769	 	 0.01103000	    0.00058000	 2.400	 1.500	 	29.00	16.00	 	0	58347.07608795980	 0.00000000310	58347.07578606470	 0.00000000400	 	 0.0018900	    0.0001700	 3.350	 0.400	  -7.46	  0.56	800.2	400.2	501.1	1069085.403	1057913	 0.434	1	Simbad
