burst_id,source,freq_mhz,toa_s,toa_err_s,snr
burst1.calibP,FRB20121102A?,1053.65,5.643269e-02,4.378437e-05,74.1
burst1.calibP,FRB20121102A?,1089.417,5.639318e-02,2.138947e-05,124.1
burst1.calibP,FRB20121102A?,1125.183,5.638281e-02,1.448271e-05,145.9
burst1.calibP,FRB20121102A?,1160.95,5.609632e-02,2.024526e-05,97.1
burst1.calibP,FRB20121102A?,1196.716,5.573044e-02,2.474234e-05,77.5
burst1.calibP,FRB20121102A?,1232.483,5.598943e-02,3.035698e-05,61.5
burst1.calibP,FRB20121102A?,1268.25,5.544042e-02,1.384085e-04,13.8
burst1.calibP,FRB20121102A?,1303.955,5.553707e-02,1.954630e-04,7.3
20191003_1032.calibP,FRB20121102A?,1053.65,3.844823e-01,1.004355e-04,29.4
20191003_1032.calibP,FRB20121102A?,1089.417,3.850530e-01,5.489084e-05,50.1
20191003_1032.calibP,FRB20121102A?,1125.183,3.849897e-01,4.264145e-05,62.2
20191003_1032.calibP,FRB20121102A?,1160.95,3.849834e-01,5.207698e-05,47.2
20191003_1032.calibP,FRB20121102A?,1196.716,3.848737e-01,6.230556e-05,41.0
20191003_1032.calibP,FRB20121102A?,1232.483,3.849649e-01,5.638954e-05,50.6
20191003_1032.calibP,FRB20121102A?,1268.25,3.853199e-01,1.543056e-04,16.6
20191003_1032.calibP,FRB20121102A?,1303.955,3.844602e-01,1.195576e-04,28.8
20191003_1032.calibP,FRB20121102A?,1339.6,3.846329e-01,2.165837e-04,16.8
20191003_1032.calibP,FRB20121102A?,1375.244,3.846917e-01,2.732010e-04,10.1
FRB20201124A_2021MayApr_0492,FRB20201124A,1020.997,1.277195e-02,1.092896e-04,10.8
FRB20201124A_2021MayApr_0492,FRB20201124A,1062.988,1.282215e-02,4.624918e-05,22.3
FRB20201124A_2021MayApr_0492,FRB20201124A,1104.982,1.268784e-02,5.952363e-05,16.5
FRB20201124A_2021MayApr_0492,FRB20201124A,1146.972,1.276836e-02,6.878628e-05,13.6
FRB20201124A_2021MayApr_0492,FRB20201124A,1188.956,1.262679e-02,1.075759e-04,7.8
FRB20201124A_2021MayApr_0680,FRB20201124A,1020.994,1.223278e-02,5.550346e-05,54.0
FRB20201124A_2021MayApr_0680,FRB20201124A,1062.984,1.223478e-02,3.277745e-05,82.5
FRB20201124A_2021MayApr_0680,FRB20201124A,1104.982,1.228290e-02,2.118985e-05,95.1
FRB20201124A_2021MayApr_0680,FRB20201124A,1146.976,1.228289e-02,1.426106e-05,103.4
FRB20201124A_2021MayApr_0680,FRB20201124A,1188.966,1.227261e-02,3.378539e-05,32.0
FRB20201124A_2021MayApr_0680,FRB20201124A,1230.955,1.218741e-02,2.181519e-05,40.6
FRB20201124A_2021MayApr_0680,FRB20201124A,1272.949,1.227695e-02,8.365506e-05,9.4
FRB20201124A_2021MayApr_0680,FRB20201124A,1314.941,1.232549e-02,7.995553e-05,6.8
FRB20201124A_2021MayApr_0022,FRB20201124A,1020.996,1.544244e-02,2.804224e-04,7.0
FRB20201124A_2021MayApr_0022,FRB20201124A,1062.988,1.295467e-02,3.521895e-05,39.1
FRB20201124A_2021MayApr_0022,FRB20201124A,1104.983,1.282001e-02,1.633516e-05,84.3
FRB20201124A_2021MayApr_0022,FRB20201124A,1146.969,1.272188e-02,1.035752e-05,132.9
FRB20201124A_2021MayApr_0022,FRB20201124A,1188.962,1.263367e-02,2.904692e-05,45.7
FRB20201124A_2021MayApr_0022,FRB20201124A,1230.958,1.259781e-02,4.890153e-05,26.1
FRB20201124A_2021MayApr_0022,FRB20201124A,1272.943,1.287193e-02,1.602121e-04,7.7
FRB20201124A_2021MayApr_0383,FRB20201124A,1104.98,1.484498e-02,2.390150e-04,8.4
FRB20201124A_2021MayApr_0383,FRB20201124A,1146.973,1.484506e-02,1.032129e-04,18.1
FRB20201124A_2021MayApr_0383,FRB20201124A,1188.958,1.475660e-02,5.582204e-05,33.5
FRB20201124A_2021MayApr_0383,FRB20201124A,1230.959,1.396697e-02,3.162171e-05,71.5
FRB20201124A_2021MayApr_0383,FRB20201124A,1272.944,1.375691e-02,2.078985e-05,127.7
FRB20201124A_2021MayApr_0383,FRB20201124A,1314.939,1.247574e-02,4.844276e-06,324.7
