#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-06-14T14:41:12 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-06-14T14:41:12	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/922/115/table5&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_19220115
#Name: J/ApJ/922/115
#Title: Additional bursts at 1.4GHz for FRB 121102 (Aggarwal+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/apj/922/115	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/922/115	    IVOID of underlying data collection
#INFO	creator=Aggarwal K.	    First author or institution
#INFO	cites=bibcode:2021ApJ...922..115A	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/922/115	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.19220115	    Dataset identifier that can be used for citation
#INFO	publication_date=2023-07-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_922_115_table5:
#Name: J/ApJ/922/115/table5
#Title: Properties of all the bursts presented in this analysis
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	ID	(a6)	Burst identifier; chronologically ordered (1)	[ucd=meta.id;meta.main]
#Column	f_ID	(A1)	[*d] Flag on ID (2)	[ucd=meta.code]
#Column	muf	(I4)	[0/3100] Mean of the spectra, {mu}_f_	[ucd=em.freq]
#Column	E_muf	(I4)	[1/1490] Upper 1{sigma} uncertainty in muf	[ucd=stat.error;stat.max]
#Column	e_muf	(I4)	[1/2000] Lower 1{sigma} uncertainty in muf	[ucd=stat.error]
#Column	sigmaf	(I4)	[31/3000] Width of the spectra, {sigma}_f_	[ucd=spect.line.width]
#Column	E_sigmaf	(I4)	[1/2790] Upper 1{sigma} uncertainty in sigmaf	[ucd=stat.error;stat.max]
#Column	e_sigmaf	(I4)	[1/2000] Lower 1{sigma} uncertainty in sigma_f	[ucd=stat.error]
#Column	S	(F7.4)	[0/20] Component fluence	[ucd=phot.fluence;em.radio.750-1500MHz]
#Column	E_S	(F7.4)	[0.0007/26.2] Upper 1{sigma} uncertainty in S	[ucd=stat.error;stat.max]
#Column	e_S	(F7.4)	[0.0007/10] Lower 1{sigma} uncertainty in S	[ucd=stat.error]
#Column	MJD	(F16.10)	[57644.4/57645.5] Modified Julian Date of mean pulse profile, {mu}_t_ (3)	[ucd=time.epoch]
#Column	e_MJD	(F7)	[4e-10/2e-07] The 1{sigma} uncertainty in MJD	[ucd=stat.error;time.epoch]
#Column	sigmat	(F5.2)	[0/8.3] Profile width, {sigma}_{tau}_	[ucd=time.interval]
#Column	E_sigmat	(F5.2)	[0.02/10] Upper 1{sigma} uncertainty in sigmat	[ucd=stat.error;stat.max]
#Column	e_sigmat	(F5.2)	[0.02/10] Lower 1{sigma} uncertainty in sigmat	[ucd=stat.error]
#Column	tau	(F5.2)	[0.12/3]? Scattering timescale at 1GHz	[ucd=time.scale]
#Column	E_tau	(F5.2)	[0.02/3.6]? Upper 1{sigma} uncertainty in tau	[ucd=stat.error;stat.max]
#Column	e_tau	(F5.2)	[0.01/1]? Lower 1{sigma} uncertainty in tau	[ucd=stat.error]
#Column	DM	(F6.2)	[551/600] Dispersion measure	[ucd=phys.dispMeasure;instr.dispersion]
#Column	E_DM	(F6.2)	[0.03/100] Upper 1{sigma} uncertainty in DM	[ucd=stat.error;stat.max]
#Column	e_DM	(F6.2)	[0.03/200] Lower 1{sigma} uncertainty in DM	[ucd=stat.error]
recno	ID	f_ID	muf	E_muf	e_muf	sigmaf	E_sigmaf	e_sigmaf	S	E_S	e_S	MJD	e_MJD	sigmat	E_sigmat	e_sigmat	tau	E_tau	e_tau	DM	E_DM	e_DM
 	 	 	MHz	MHz	MHz	MHz	MHz	MHz	Jy.ms	Jy.ms	Jy.ms	d	d	ms	ms	ms	ms	ms	ms	pc/cm3	pc/cm3	pc/cm3
--------	------	-	----	----	----	----	----	----	-------	-------	-------	----------------	-------	-----	-----	-----	-----	-----	-----	------	------	------
       1	B1    	*	1560	  30	  30	 210	  40	  40	 0.0900	 0.0200	 0.0200	57644.4089069760	  1e-09	 0.00	 0.02	 0.02	 1.90	 0.30	 0.30	565.30	  0.40	  0.40
       2	B2    	*	1200	  10	  10	  50	  10	  10	 0.0430	 0.0070	 0.0070	57644.4095676800	  1e-08	 1.35	 0.05	 0.05	     	     	     	562.40	  0.80	  0.80
       3	B3.1  	d	2900	 300	 600	 800	 300	 200	 0.6000	 0.7000	 0.3000	57644.4096736990	  3e-09	 0.40	 0.20	 0.20	 1.30	 0.70	 0.70	566.80	  0.80	  0.90
       4	B3.2  	d	1100	 300	1400	1000	2000	1000	 0.0900	 0.1300	 0.0400	57644.4096738400	  2e-08	 0.30	 1.40	 0.20	 0.30	 0.70	 0.10	564.70	  1.50	  0.40
       5	B4    	d	3100	 200	 600	 550	  80	 110	 2.0000	 4.0000	 2.0000	57644.4100728890	  4e-09	 1.10	 0.20	 0.20	 0.30	 0.20	 0.10	564.00	  1.00	  1.00
       6	B5    	d	2100	 900	1600	2700	 900	1200	 0.1900	 0.0500	 0.0400	57644.4101578340	  4e-09	 0.70	 0.30	 0.30	 1.00	 0.40	 0.30	562.10	  0.70	  0.60
       7	B6.1  	 	1393	   7	   7	 183	   7	   7	 0.4700	 0.0200	 0.0300	57644.4110719540	  1e-09	 1.09	 0.03	 0.04	     	     	     	562.30	  0.20	  0.10
       8	B6.2  	 	1417	   4	   5	 102	   5	   4	 0.3300	 0.0300	 0.0200	57644.4110719755	  9e-10	 0.57	 0.03	 0.02	     	     	     	560.90	  0.20	  0.10
       9	B7.1  	d	3100	 200	 300	 430	  60	  80	10.0000	20.0000	10.0000	57644.4122402140	  5e-09	 0.70	 0.30	 0.40	 0.80	 0.40	 0.40	569.00	  3.00	  3.00
      10	B7.2  	d	1460	  20	  20	  90	  30	  20	 0.0900	 0.0100	 0.0100	57644.4122404300	  2e-08	 1.90	 0.90	 1.00	 1.20	 0.60	 0.50	569.00	  3.00	  2.00
      11	B8    	d	3000	 200	 600	 700	 100	 100	 1.1000	 1.5000	 0.7000	57644.4141236280	  4e-09	 1.00	 0.30	 0.30	 0.80	 0.40	 0.30	567.50	  0.90	  0.70
      12	B9    	*	1430	  10	  10	  75	   9	   9	 0.0760	 0.0030	 0.0030	57644.4144716100	  2e-08	 2.00	 0.60	 0.60	 0.40	 0.60	 0.60	564.00	  2.00	  2.00
      13	B10   	 	1630	  10	  10	  82	   8	   8	 0.1000	 0.0100	 0.0100	57644.4144753910	  7e-09	 1.40	 0.30	 0.30	 0.50	 0.30	 0.20	562.00	  3.00	  3.00
      14	B11   	 	1550	  10	  10	 100	  10	  10	 0.0740	 0.0080	 0.0070	57644.4148788030	  4e-09	 0.80	 0.20	 0.20	 0.30	 0.20	 0.10	560.30	  0.90	  0.90
      15	B12   	 	3100	 200	 300	 450	  60	  80	20.0000	20.0000	10.0000	57644.4153780900	  1e-08	 1.90	 0.50	 0.50	 1.50	 1.30	 0.80	569.00	  3.00	  4.00
      16	B13   	 	1692	  13	   9	  90	  20	  10	 0.1400	 0.0100	 0.0100	57644.4163147360	  5e-09	 1.50	 0.20	 0.20	 0.60	 0.30	 0.20	572.00	  1.00	  1.00
      17	B14   	 	1260	  10	  10	  67	   9	   8	 0.1300	 0.0200	 0.0200	57644.4183067400	  8e-08	 3.00	 1.00	 1.00	 1.60	 0.60	 0.50	562.00	  6.00	  5.00
      18	B15.1 	d	1550	  10	  10	  80	  10	  10	 0.0700	 0.0100	 0.0100	57644.4183092060	  7e-09	 0.90	 0.30	 0.30	 0.80	 0.50	 0.40	565.00	  2.00	  1.00
      19	B15.2 	d	2000	1000	1000	3000	1000	1000	 0.1200	 0.0300	 0.0400	57644.4183092730	  2e-09	 0.20	 0.20	 0.10	 0.70	 0.20	 0.20	569.40	  0.40	  0.50
