#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-06-14T15:26:51 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-06-14T15:26:51	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/other/Nat/598.267/tables1&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_1038059801
#Name: J/other/Nat/598.267
#Title: List of radio bursts (Li+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/other/nat/598.267	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/other/nat/598.267	    IVOID of underlying data collection
#INFO	creator=Li D.	    First author or institution
#INFO	cites=bibcode:2021Natur.598..267L	    Article or Data origin sources
#INFO	journal=Natu	    Journal name
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/other/Nat/598.267	    Dataset landing page
#INFO	publication_date=2022-09-08	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_other_Nat_598_267_tables1:
#Name: J/other/Nat/598.267/tables1
#Title: All relevant data for the 1652 detected burst events
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Burst	(I4)	Burst ID	[ucd=meta.id;meta.main]
#Column	MJD	(F15.9)	Burst time (MJD) (1)	[ucd=time.epoch]
#Column	DM	(F5.1)	Dispersion measure	[ucd=phys.dispMeasure;instr.dispersion]
#Column	e_DM	(F4.1)	Dispersion measure error	[ucd=stat.error]
#Column	Width	(F5.2)	Pulse width error	[ucd=src.var.pulse]
#Column	e_Width	(F5.2)	Pulse width	[ucd=stat.error;spect.line.width]
#Column	Bandwidth	(F6.3)	Bandwidth (2)	[ucd=em.freq]
#Column	Fp	(F8.3)	Peak flux	[ucd=phot.flux]
#Column	e_Fp	(F4.1)	Peak flux error	[ucd=stat.error]
#Column	Fluence	(F7.4)	Fluence	[ucd=phot.fluence;em.gamma.hard]
#Column	e_Fluence	(F7.4)	Fluence error	[ucd=stat.error;phot.fluence]
#Column	E	(D10.3)	Energy	[ucd=phys.energy]
#Column	e_E	(E10.3)	Energy error	[ucd=stat.error]
recno	Burst	MJD	DM	e_DM	Width	e_Width	Bandwidth	Fp	e_Fp	Fluence	e_Fluence	E	e_E
 	 	d	pc/cm3	pc/cm3	ms	ms	GHz	mJy	mJy	Jy.ms	Jy.ms	10-7W	10-7W
--------	----	---------------	-----	----	-----	-----	------	--------	----	-------	-------	----------	----------
       1	   1	58724.877574724	567.3	 1.2	 6.13	 0.09	 0.110	  12.831	 0.2	 0.0787	 0.0002	 8.426e+37	 1.600e+35
       2	   2	58724.879789115	564.3	 0.7	 4.00	 0.30	 0.250	  28.250	 1.7	 0.1130	 0.0000	 1.210e+38	 0.000e+00
       3	   3	58724.885144007	565.1	 0.3	 2.83	 0.00	 0.400	 269.050	 1.9	 0.7614	 0.0000	 8.151e+38	 0.000e+00
       4	   4	58724.886345270	568.3	 0.5	 6.35	 0.09	 0.260	   7.003	 0.1	 0.0445	 0.0001	 4.764e+37	 8.000e+34
       5	   5	58724.886384602	565.8	 0.5	 8.51	 0.09	 0.160	   6.268	 0.1	 0.0534	 0.0001	 5.711e+37	 9.000e+34
       6	   6	58724.887370014	568.8	 0.5	 4.25	 0.06	 0.120	   4.474	 0.1	 0.0190	 0.0000	 2.036e+37	 3.000e+34
       7	   7	58724.887596868	567.6	 0.6	 5.49	 0.07	 0.200	  12.480	 1.3	 0.0685	 0.0001	 7.334e+37	 8.000e+34
       8	   8	58724.891114144	565.8	 0.5	 7.99	 0.09	 0.230	   7.943	 0.1	 0.0635	 0.0001	 6.796e+37	 1.000e+35
       9	   9	58724.902732246	567.6	 0.5	 6.52	 0.08	 0.100	   8.970	 1.0	 0.0585	 0.0001	 6.261e+37	 8.000e+34
      10	  10	58724.905970614	564.2	 0.2	 3.50	 0.10	 0.400	  21.050	 1.2	 0.0737	 0.0000	 7.887e+37	 0.000e+00
      11	  11	58724.905970706	564.7	 0.3	 5.35	 0.04	 0.400	 102.480	 1.5	 0.5483	 0.0001	 5.869e+38	 0.000e+00
      12	  12	58724.907803711	565.7	 0.7	 4.49	 0.05	 0.220	  15.700	 1.4	 0.0705	 0.0001	 7.546e+37	 6.000e+34
      13	  13	58724.909622982	565.7	 0.6	 8.54	 0.05	 0.150	  17.990	 0.9	 0.1536	 0.0000	 1.645e+38	 0.000e+00
      14	  14	58724.911838133	565.3	 0.6	 9.03	 0.08	 0.200	  12.860	 0.9	 0.1161	 0.0001	 1.243e+38	 0.000e+00
      15	  15	58724.915007440	565.1	 0.6	 9.61	 0.08	 0.200	  13.470	 0.9	 0.1295	 0.0001	 1.386e+38	 0.000e+00
      16	  16	58724.916569615	564.2	 0.3	 2.91	 0.02	 0.300	  23.490	 1.6	 0.0684	 0.0000	 7.317e+37	 3.000e+34
      17	  17	58724.917195581	567.3	 0.5	 5.38	 0.03	 0.220	  22.700	 1.2	 0.1221	 0.0000	 1.307e+38	 0.000e+00
      18	  18	58724.917196236	565.0	 0.6	 8.08	 0.04	 0.220	  25.100	 1.0	 0.2028	 0.0000	 2.171e+38	 0.000e+00
      19	  19	58724.920837633	566.1	 0.7	 1.51	 0.04	 0.300	  10.640	 2.4	 0.0161	 0.0001	 1.720e+37	 1.100e+35
      20	  20	58724.922249805	565.4	 0.4	 2.32	 0.01	 0.290	  35.140	 1.7	 0.0815	 0.0000	 8.727e+37	 2.000e+34
      21	  21	58724.922304628	567.1	 0.6	 2.43	 0.03	 0.150	  20.640	 1.9	 0.0502	 0.0001	 5.369e+37	 5.000e+34
      22	  22	58724.922304888	565.2	 0.3	 1.89	 0.00	 0.100	  31.700	 1.7	 0.0599	 0.0000	 6.414e+37	 0.000e+00
      23	  23	58724.922304919	566.0	 0.3	 6.37	 0.04	 0.400	 198.200	 3.2	 1.2625	 0.0001	 1.352e+39	 0.000e+00
      24	  24	58724.923026148	567.4	 0.4	 9.12	 0.08	 0.210	  12.110	 0.9	 0.1104	 0.0001	 1.182e+38	 0.000e+00
      25	  25	58724.924419439	563.9	 0.4	 4.68	 0.06	 0.295	  11.220	 1.2	 0.0525	 0.0001	 5.621e+37	 7.000e+34
      26	  26	58724.924419988	564.7	 0.2	 3.28	 0.03	 0.300	  17.020	 1.4	 0.0558	 0.0000	 5.976e+37	 4.000e+34
      27	  27	58724.925545347	566.0	 0.5	 3.08	 0.04	 0.150	  12.327	 0.1	 0.0379	 0.0001	 4.058e+37	 5.000e+34
      28	  28	58724.929142015	564.3	 0.5	 3.35	 0.05	 0.190	   5.409	 0.1	 0.0181	 0.0000	 1.940e+37	 2.000e+34
      29	  29	58724.930911228	564.5	 0.5	 5.75	 0.04	 0.210	  15.980	 0.9	 0.0919	 0.0000	 9.836e+37	 3.000e+34
      30	  30	58724.931130178	566.9	 0.7	 8.10	 0.60	 0.110	  12.760	 0.8	 0.1034	 0.0000	 1.106e+38	 0.000e+00
      31	  31	58724.933070175	567.6	 0.3	 4.74	 0.04	 0.190	  15.080	 1.0	 0.0715	 0.0000	 7.652e+37	 4.000e+34
      32	  32	58724.933262744	564.1	 0.3	 2.01	 0.01	 0.320	  58.500	 1.4	 0.1176	 0.0000	 1.259e+38	 0.000e+00
      33	  33	58724.933455784	566.5	 0.6	12.90	 0.80	 0.260	  12.950	 0.6	 0.1671	 0.0000	 1.788e+38	 0.000e+00
      34	  34	58724.934141764	568.8	 0.5	 8.81	 0.09	 0.070	   2.872	 0.0	 0.0253	 0.0000	 2.709e+37	 3.000e+34
      35	  35	58724.935844282	565.9	 0.5	 5.96	 0.06	 0.130	   8.380	 0.7	 0.0499	 0.0000	 5.347e+37	 4.000e+34
      36	  36	58724.937217213	564.8	 0.5	 6.79	 0.09	 0.100	  15.709	 0.2	 0.1067	 0.0001	 1.142e+38	 1.000e+35
      37	  37	58724.937990740	565.5	 0.4	 3.75	 0.01	 0.190	  35.390	 1.1	 0.1327	 0.0000	 1.421e+38	 0.000e+00
      38	  38	58724.939026312	565.3	 0.6	 1.92	 0.02	 0.190	  20.000	 1.6	 0.0384	 0.0000	 4.111e+37	 3.000e+34
      39	  39	58724.939193506	565.8	 0.5	 7.78	 0.07	 0.140	  10.750	 0.8	 0.0836	 0.0001	 8.953e+37	 5.000e+34
      40	  40	58724.942386480	567.8	 0.5	 7.23	 0.09	 0.090	  14.683	 0.1	 0.1062	 0.0001	 1.137e+38	 1.000e+35
      41	  41	58724.942504340	568.1	 0.1	 5.41	 0.05	 0.230	  13.150	 1.0	 0.0711	 0.0000	 7.616e+37	 5.000e+34
      42	  42	58724.943999917	568.6	 0.7	 7.46	 0.04	 0.310	  21.230	 0.9	 0.1584	 0.0000	 1.695e+38	 0.000e+00
      43	  43	58724.944237051	566.9	 0.4	 6.39	 0.07	 0.310	  10.280	 0.9	 0.0657	 0.0001	 7.032e+37	 6.000e+34
      44	  44	58724.945983368	560.8	 0.5	 4.12	 0.06	 0.120	  14.000	 0.1	 0.0577	 0.0001	 6.179e+37	 7.000e+34
      45	  45	58724.947858821	557.3	 0.5	 4.61	 0.07	 0.250	   7.726	 0.1	 0.0356	 0.0000	 3.811e+37	 4.000e+34
      46	  46	58724.949430947	565.7	 0.4	 3.10	 0.20	 0.190	  22.260	 1.3	 0.0690	 0.0000	 7.387e+37	 3.000e+34
      47	  47	58724.952853351	564.1	 0.6	 1.50	 0.20	 0.190	  24.480	 2.0	 0.0367	 0.0000	 3.931e+37	 3.000e+34
      48	  48	58724.952853391	564.1	 0.5	 3.80	 0.30	 0.170	  27.180	 1.2	 0.1033	 0.0000	 1.106e+38	 0.000e+00
      49	  49	58724.952934161	567.1	 0.6	 5.86	 0.05	 0.320	  14.470	 0.9	 0.0848	 0.0000	 9.077e+37	 4.000e+34
      50	  50	58724.953352885	564.0	 0.4	 2.49	 0.02	 0.300	  22.330	 1.4	 0.0556	 0.0000	 5.952e+37	 2.000e+34
      51	  51	58724.953924721	565.8	 0.4	 2.27	 0.03	 0.310	  15.930	 1.5	 0.0362	 0.0000	 3.871e+37	 3.000e+34
      52	  52	58724.955146206	563.4	 0.5	 2.49	 0.01	 0.200	  50.330	 1.4	 0.1253	 0.0000	 1.342e+38	 0.000e+00
      53	  53	58724.956157021	568.0	 0.6	 4.60	 0.40	 0.190	  14.130	 1.0	 0.0650	 0.0000	 6.958e+37	 4.000e+34
      54	  54	58724.956611826	565.4	 0.5	 2.13	 0.02	 0.160	  25.570	 1.5	 0.0545	 0.0000	 5.830e+37	 2.000e+34
      55	  55	58724.960656516	567.5	 0.9	 3.44	 0.06	 0.160	   9.460	 1.2	 0.0325	 0.0001	 3.484e+37	 7.000e+34
      56	  56	58724.960656588	567.6	 0.9	 4.26	 0.06	 0.160	  26.900	 1.9	 0.1146	 0.0001	 1.227e+38	 1.000e+35
      57	  57	58724.960656635	568.2	 1.0	 3.75	 0.04	 0.180	  28.360	 3.0	 0.1064	 0.0001	 1.138e+38	 1.000e+35
      58	  58	58724.962651274	565.8	 0.5	 5.63	 0.08	 0.130	  16.295	 0.1	 0.0918	 0.0001	 9.825e+37	 9.000e+34
      59	  59	58724.969017661	566.0	 0.5	 3.21	 0.05	 0.110	   9.323	 0.1	 0.0299	 0.0000	 3.205e+37	 3.000e+34
      60	  60	58724.970650465	566.8	 0.6	 9.83	 0.09	 0.170	   7.510	 0.7	 0.0738	 0.0001	 7.903e+37	 7.000e+34
      61	  61	58724.970715464	568.6	 0.6	 6.67	 0.05	 0.170	  11.870	 0.8	 0.0792	 0.0000	 8.475e+37	 4.000e+34
      62	  62	58724.971621807	567.8	 0.6	 6.49	 0.06	 0.220	  10.610	 0.8	 0.0689	 0.0000	 7.371e+37	 4.000e+34
      63	  63	58724.971795673	566.3	 0.4	 3.02	 0.02	 0.200	  23.820	 1.1	 0.0719	 0.0000	 7.701e+37	 2.000e+34
      64	  64	58724.973164234	565.8	 0.5	 2.97	 0.01	 0.400	  38.960	 1.2	 0.1157	 0.0000	 1.239e+38	 0.000e+00
      65	  65	58724.973294692	566.0	 0.5	 3.45	 0.05	 0.150	   8.339	 0.1	 0.0288	 0.0000	 3.084e+37	 2.000e+34
      66	  66	58724.973315882	565.0	 0.3	 3.10	 0.40	 0.120	  13.980	 2.0	 0.0433	 0.0001	 4.639e+37	 9.000e+34
      67	  67	58724.973430444	565.9	 0.6	 6.01	 0.06	 0.190	   9.940	 0.8	 0.0597	 0.0000	 6.395e+37	 4.000e+34
      68	  68	58724.974034678	568.0	 0.7	 2.71	 0.06	 0.190	   6.920	 1.3	 0.0187	 0.0001	 2.008e+37	 8.000e+34
      69	  69	58724.974622802	568.0	 0.7	 4.86	 0.03	 0.280	  16.430	 0.9	 0.0799	 0.0000	 8.548e+37	 3.000e+34
      70	  70	58724.975333910	564.9	 0.5	 3.42	 0.02	 0.160	  17.490	 1.0	 0.0598	 0.0000	 6.403e+37	 2.000e+34
      71	  71	58724.975827187	567.2	 0.8	 4.00	 0.20	 0.210	  22.280	 0.9	 0.0891	 0.0000	 9.540e+37	 1.000e+34
      72	  72	58724.976403537	564.0	 1.2	 5.19	 0.03	 0.190	  16.140	 0.8	 0.0838	 0.0000	 8.967e+37	 2.000e+34
      73	  73	58724.979800125	566.8	 0.4	 3.77	 0.02	 0.390	  17.910	 1.0	 0.0675	 0.0000	 7.228e+37	 2.000e+34
      74	  74	58724.981515494	565.6	 0.3	 2.55	 0.02	 0.130	  18.750	 1.0	 0.0478	 0.0000	 5.118e+37	 1.000e+34
      75	  75	58724.981515628	565.2	 0.2	 4.38	 0.05	 0.210	   8.070	 0.8	 0.0353	 0.0000	 3.784e+37	 4.000e+34
      76	  76	58724.983679670	566.0	 0.5	 3.31	 0.05	 0.150	   8.130	 0.1	 0.0269	 0.0000	 2.882e+37	 2.000e+34
      77	  77	58724.987275493	564.8	 0.5	 8.53	 0.09	 0.205	   4.211	 0.0	 0.0359	 0.0000	 3.844e+37	 3.000e+34
      78	  78	58724.987452304	566.0	 0.5	 2.58	 0.04	 0.070	   6.591	 0.1	 0.0170	 0.0000	 1.823e+37	 1.000e+34
      79	  79	58724.987467774	564.5	 0.4	 3.20	 0.40	 0.400	  10.290	 1.0	 0.0329	 0.0000	 3.525e+37	 4.000e+34
      80	  80	58724.987468103	563.8	 0.2	 5.52	 0.06	 0.400	   7.690	 0.8	 0.0425	 0.0001	 4.544e+37	 5.000e+34
      81	  81	58724.989651176	563.8	 0.2	 4.26	 0.02	 0.205	  28.960	 1.0	 0.1234	 0.0000	 1.321e+38	 0.000e+00
      82	  82	58724.990468879	564.6	 0.4	 2.54	 0.01	 0.310	  29.240	 1.2	 0.0743	 0.0000	 7.950e+37	 1.000e+34
      83	  83	58724.992182123	563.8	 0.4	 5.13	 0.05	 0.360	   9.330	 0.7	 0.0479	 0.0000	 5.124e+37	 3.000e+34
      84	  84	58724.993445518	567.1	 0.3	 4.92	 0.03	 0.360	  11.610	 0.7	 0.0571	 0.0000	 6.115e+37	 2.000e+34
      85	  85	58724.995190620	568.6	 0.4	 1.82	 0.02	 0.360	  24.350	 2.4	 0.0443	 0.0000	 4.744e+37	 4.000e+34
      86	  86	58724.995190653	568.0	 0.3	 4.88	 0.04	 0.160	  24.010	 0.8	 0.1172	 0.0000	 1.254e+38	 0.000e+00
      87	  87	58724.997333743	567.8	 0.5	 3.42	 0.05	 0.180	  14.924	 0.1	 0.0510	 0.0000	 5.463e+37	 4.000e+34
      88	  88	58725.876003233	567.1	 0.6	 2.85	 0.03	 0.250	 130.230	 9.7	 0.3712	 0.0002	 3.973e+38	 2.000e+35
      89	  89	58725.876225404	562.3	 0.5	 6.13	 0.09	 0.210	   4.462	 0.1	 0.0274	 0.0001	 2.928e+37	 5.000e+34
      90	  90	58725.880203168	563.0	 0.7	 1.77	 0.03	 0.350	  84.730	11.7	 0.1500	 0.0004	 1.605e+38	 4.000e+35
      91	  91	58725.880203207	566.9	 0.5	 2.93	 0.04	 0.300	  90.800	 9.4	 0.2660	 0.0004	 2.848e+38	 4.000e+35
      92	  92	58725.881791164	565.9	 0.5	 6.26	 0.09	 0.290	   6.499	 0.1	 0.0407	 0.0001	 4.355e+37	 7.000e+34
      93	  93	58725.885653541	566.0	 0.5	 3.84	 0.06	 0.150	  14.537	 0.2	 0.0559	 0.0001	 5.981e+37	 9.000e+34
      94	  94	58725.885758410	565.4	 0.5	 3.18	 0.02	 0.200	 144.650	 8.2	 0.4600	 0.0002	 4.924e+38	 1.000e+35
      95	  95	58725.887654087	566.0	 0.5	 3.47	 0.05	 0.290	  33.860	 0.5	 0.1175	 0.0002	 1.258e+38	 2.000e+35
      96	  96	58725.887654101	565.7	 0.5	 3.44	 0.02	 0.200	 132.810	 7.6	 0.4569	 0.0002	 4.891e+38	 1.000e+35
      97	  97	58725.888099642	566.0	 0.5	 3.01	 0.04	 0.230	  33.251	 0.5	 0.1001	 0.0002	 1.072e+38	 1.000e+35
      98	  98	58725.888099645	566.1	 0.7	 2.83	 0.02	 0.100	 122.030	 8.8	 0.3453	 0.0002	 3.697e+38	 2.000e+35
      99	  99	58725.888616939	565.0	 0.5	 7.37	 0.09	 0.260	  21.735	 0.3	 0.1601	 0.0003	 1.714e+38	 2.000e+35
     100	 100	58725.888616945	564.1	 0.2	 3.98	 0.03	 0.100	 105.270	 7.5	 0.4190	 0.0002	 4.485e+38	 2.000e+35
     101	 101	58725.889445554	564.5	 0.3	 2.03	 0.02	 0.100	 144.070	10.3	 0.2925	 0.0002	 3.131e+38	 1.000e+35
     102	 102	58725.890731808	566.1	 0.4	 4.44	 0.06	 0.100	  62.650	 6.8	 0.2782	 0.0004	 2.978e+38	 4.000e+35
     103	 103	58725.893190360	564.5	 0.4	 3.12	 0.03	 0.100	  97.590	 7.8	 0.3045	 0.0002	 3.259e+38	 2.000e+35
     104	 104	58725.896969716	559.7	 0.5	 3.66	 0.05	 0.180	  20.889	 0.2	 0.0766	 0.0001	 8.195e+37	 1.100e+35
     105	 105	58725.898777609	568.5	 0.5	 8.88	 0.09	 0.130	  11.459	 0.1	 0.1017	 0.0001	 1.089e+38	 1.000e+35
     106	 106	58725.900736313	566.7	 0.5	 4.92	 0.07	 0.130	  13.059	 0.1	 0.0642	 0.0001	 6.877e+37	 8.000e+34
     107	 107	58725.901011470	564.7	 0.3	 2.93	 0.02	 0.400	 184.070	 7.8	 0.5393	 0.0001	 5.773e+38	 1.000e+35
     108	 108	58725.901011486	566.0	 0.5	 3.34	 0.05	 0.450	  44.469	 0.5	 0.1485	 0.0002	 1.590e+38	 2.000e+35
     109	 109	58725.901675614	566.0	 0.5	 3.37	 0.05	 0.120	  18.750	 0.2	 0.0632	 0.0001	 6.768e+37	 8.000e+34
     110	 110	58725.901684753	565.4	 0.4	 1.61	 0.01	 0.150	 169.740	10.5	 0.2733	 0.0001	 2.925e+38	 1.000e+35
     111	 111	58725.901684764	566.0	 0.5	 1.90	 0.30	 0.130	  38.466	 0.4	 0.0730	 0.0001	 7.818e+37	 9.000e+34
     112	 112	58725.902434478	566.0	 0.5	 3.48	 0.05	 0.190	  27.981	 0.3	 0.0974	 0.0001	 1.043e+38	 1.000e+35
     113	 113	58725.902434492	566.5	 0.4	 4.25	 0.04	 0.200	  90.210	 6.2	 0.3834	 0.0002	 4.104e+38	 2.000e+35
     114	 114	58725.902874998	561.0	 0.5	 3.60	 0.50	 0.180	  10.232	 0.1	 0.0369	 0.0000	 3.947e+37	 4.000e+34
     115	 115	58725.903052755	562.9	 0.7	 1.20	 0.10	 0.100	 162.740	12.0	 0.1953	 0.0001	 2.091e+38	 1.000e+35
     116	 116	58725.903419641	567.2	 0.5	11.65	 0.09	 0.105	   8.136	 0.1	 0.0948	 0.0001	 1.015e+38	 1.000e+35
     117	 117	58725.915557003	568.5	 0.5	 5.89	 0.09	 0.200	  18.220	 0.2	 0.1073	 0.0002	 1.148e+38	 1.000e+35
     118	 118	58725.916229818	569.8	 0.5	 4.26	 0.06	 0.070	   7.496	 0.1	 0.0319	 0.0000	 3.420e+37	 4.000e+34
     119	 119	58725.916365197	566.0	 0.5	 3.38	 0.05	 0.120	   9.399	 0.1	 0.0318	 0.0000	 3.402e+37	 4.000e+34
     120	 120	58725.917651625	566.0	 0.5	 3.37	 0.05	 0.105	  14.154	 0.2	 0.0478	 0.0001	 5.112e+37	 7.000e+34
     121	 121	58725.918913617	566.0	 0.5	 3.54	 0.05	 0.200	  10.218	 0.1	 0.0362	 0.0001	 3.870e+37	 5.000e+34
     122	 122	58725.920270328	566.3	 0.4	 1.92	 0.01	 0.150	 154.730	 8.4	 0.2971	 0.0001	 3.180e+38	 1.000e+35
     123	 123	58725.920543411	567.7	 0.2	 4.11	 0.05	 0.400	  60.170	 5.8	 0.2473	 0.0003	 2.647e+38	 2.000e+35
     124	 124	58725.920543516	562.1	 0.4	 3.70	 0.20	 0.400	 134.230	 6.1	 0.4966	 0.0001	 5.317e+38	 1.000e+35
     125	 125	58725.921183791	566.2	 0.3	 2.42	 0.02	 0.150	 100.320	 7.4	 0.2428	 0.0002	 2.599e+38	 1.000e+35
     126	 126	58725.925513631	562.8	 0.5	 7.54	 0.09	 0.070	   9.652	 0.1	 0.0728	 0.0001	 7.793e+37	 1.000e+35
     127	 127	58725.927380409	566.0	 0.5	 3.84	 0.06	 0.160	  14.120	 0.2	 0.0542	 0.0001	 5.797e+37	 7.000e+34
     128	 128	58725.928638589	568.1	 0.5	 5.71	 0.08	 0.150	   3.300	 0.0	 0.0188	 0.0000	 2.018e+37	 2.000e+34
     129	 129	58725.928938722	564.8	 0.4	 6.12	 0.05	 0.400	  73.380	 4.8	 0.4491	 0.0003	 4.807e+38	 2.000e+35
     130	 130	58725.928938767	563.7	 0.5	13.42	 0.09	 0.300	  11.882	 0.1	 0.1594	 0.0002	 1.707e+38	 2.000e+35
     131	 131	58725.928938805	565.9	 0.5	 3.40	 0.60	 0.400	  47.600	 6.2	 0.1618	 0.0004	 1.732e+38	 3.000e+35
     132	 132	58725.929864657	563.2	 0.5	 4.54	 0.07	 0.220	   9.191	 0.1	 0.0417	 0.0001	 4.468e+37	 5.000e+34
     133	 133	58725.931323731	567.6	 0.5	 7.91	 0.09	 0.290	  15.082	 0.2	 0.1192	 0.0002	 1.276e+38	 1.000e+35
     134	 134	58725.932386703	566.0	 0.5	 3.81	 0.06	 0.300	  13.725	 0.1	 0.0523	 0.0001	 5.593e+37	 7.000e+34
     135	 135	58725.932956010	569.4	 0.5	 2.72	 0.04	 0.140	   8.502	 0.1	 0.0231	 0.0000	 2.475e+37	 3.000e+34
     136	 136	58725.936511438	564.1	 0.4	 1.67	 0.01	 0.100	 114.480	 8.4	 0.1912	 0.0001	 2.047e+38	 1.000e+35
     137	 137	58725.937982134	563.4	 0.8	 2.58	 0.01	 0.100	 163.740	 7.0	 0.4224	 0.0001	 4.522e+38	 0.000e+00
     138	 138	58725.937984158	564.9	 0.6	28.30	 0.50	 0.200	 233.250	 3.1	 6.6010	 0.0002	 7.066e+39	 0.000e+00
