Table A1 
Derived DM_host (Source Frame) from the DM Budget and Halpha Luminosity of the FRB Host-galaxy Spectra, as Shown in Figure 9 in Section 6.1


Name	z _spec	DM_obs	References ^a	DM_MW disk; NE2001	DM_MW halo	DM_IGM	DM${}_{{\rm{host}}}^{s;}$ ^b	L _Halpha	
		(pc cm^-3)		(pc cm^-3)	(pc cm^-3)	(pc cm^-3)	(pc cm^-3)	(10^40 erg s^-1)	
FRB 20121102A	0.1927	557	(1), (2)	188.43	40.91	164.76	194.29	2.95	
FRB 20180301A	0.3305	536	(3)	151.72	38.06	282.58	84.68	65.22	
FRB 20180916B	0.0337	348.8	(4)	198.96	43.08	28.81	80.58	1.13	
FRB 20180924B	0.3214	362.16	(5)	40.5	45.54	274.8	1.75	10.05	
FRB 20181112A	0.4755	589	(6)	41.72	45.04	406.55	141.18	5.79	
FRB 20190102C	0.2913	364.54	(7)	57.4	46.99	249.06	14.33	16.25	
FRB 20190520B	0.241	1205	(8)	60.21	69.16	206.06	1079.14	13.05	
FRB 20190608B	0.1178	340.05	(9), (10)	37.27	38.89	100.72	182.39	10.66	
FRB 20190611B	0.3778	321	(4)	57.83	47.21	323.02	-147.51	2.57	
FRB 20190714A	0.2365	504.13	(11)	38.49	36.44	202.21	280.68	6.95	
FRB 20191001A	0.234	507.9	(11)	44.17	46.71	200.07	267.71	47.78	
FRB 20191228A	0.2432	297.5	(11)	32.95	36.88	207.94	24.54	0.57	
FRB 20200430A	0.1608	380.25	(11)	27.18	42.24	137.48	201.22	3.23	
FRB 20200906A	0.3688	577.8	(11)	35.84	30.16	315.32	268.94	32.2	
FRB 20201124A	0.0979	413.52	(12)	139.95	36.24	83.7	168.67	14.73	
FRB 20210117A	0.2145	728.95	(11)	34.38	37.17	183.4	575.69	0.24	
FRB 20210410D	0.1415	578.78	(13)	56.19	46.48	120.98	405.37	0.86	
FRB 20220207C	0.04304	262.38	(14), (15)	76.1	39.21	36.8	115.02	0.4	
FRB 20220208A	0.351	440.73	(15)	101.56	41.46	300.1	-3.24	239.6	
FRB 20220307B	0.248123	499.27	(14), (15)	128.23	41.27	212.15	146.81	108.32	
FRB 20220330D	0.3714	467.79	(15)	38.54	31.22	317.55	110.37	37.73	
FRB 20220506D	0.30039	396.97	(14), (15)	84.56	39.75	256.83	20.58	53.62	
FRB 20220726A	0.3619	686.23	(15)	89.52	35.32	309.42	343.16	8.12	
FRB 20220912A	0.0771	219.46	(16)	125.2	43.44	65.92	-16.27	1.92	
FRB 20220920A	0.158239	314.99	(14), (15)	39.86	34.12	135.29	122.45	11.98	
FRB 20221101B	0.2395	491.55	(15)	131.25	42.13	204.77	140.57	0.63	
FRB 20221113A	0.2505	411.03	(15)	91.73	35.54	214.18	87.01	131.44	
FRB 20221116A	0.2764	643.45	(15)	132.26	39.85	236.32	299.98	0.57	
FRB 20230124A	0.0939	590.57	(15)	38.61	33.58	80.28	479.23	103.06	
FRB 20230307A	0.2706	608.85	(15)	37.58	31.51	231.36	391.86	0.99	
FRB 20230501A	0.3015	532.47	(15)	125.7	41.9	257.78	139.37	43.2	
FRB 20230626A	0.327	452.72	(15)	39.25	33.81	279.59	132.8	51.37	
FRB 20230628A	0.127	344.95	(15)	39	31.44	108.58	187	91.41	
FRB 20231120A	0.0368	437.74	(15)	43.81	31.62	31.46	343.02	4.3	
FRB 20231123B	0.2621	396.86	(15)	40.31	34.28	224.1	123.9	2.89	
FRB 20240114A	0.1306	527.7	(17), (18)	49.67	45.05	111.66	363.28	12.04	
Notes.
^a DM_obs and redshift references of FRBs: (1) S. Chatterjee et al. (2017); (2) S. P. Tendulkar et al. (2017); (3) R. Luo et al. (2020); (4) B. Marcote et al. (2020); (5) K. W. Bannister et al. (2019); (6) J. X. Prochaska et al. (2019); (7) J. P. Macquart et al. (2020); (8) C. H. Niu et al. (2022); (9) C. K. Day et al. (2020); (10) S. Bhandari et al. (2020); (11) S. Bhandari et al. (2022); (12) V. Ravi et al. (2022); (13) M. Caleb et al. (2023); (14) C. J. Law et al. (2024); (15) K. Sharma et al. (2024); (16) V. Ravi et al. (2023); (17) J. Tian et al. (2024); (18) X.-L. Chen et al. (2025).
^b DM${}_{{\rm{host}}}^{s}=$ DM_host x (1 + z), where DM_host is the DM budget-derived value, and DM${}_{{\rm{host}}}^{s}$ represents the source-frame value.
