Table 1 
Properties of FRBs and Host Galaxies


FRB Name	Redshift	DM	DM_exc	tau_exc	i	Offset	Area	${\rm{log}}(M/{M}_{\odot })$	SFR	${\rm{log}}({{\rm{sSFR}}/{\rm{yr}}}^{-1})$	References	Quality	
		(pc cm^-3)	(pc cm^-3)	(ms)	(deg)	(kpc)	(kpc^2)		(M_sun yr^-1)				
		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	
20231229A	0.019	198.50	140.32	cdots	cdots	cdots	cdots	9.50 +or- 0.10	0.25 +or- 0.15	-10.11 +or- 0.36	(4)	1	
20231230A	0.0298	131.40	69.82	cdots	27.23	8.15	cdots	9.57 +or- 0.04	0.54 +or- 0.34	-9.84 +or- 0.27	(4)	1, 43	
20231206A	0.0659	457.70	398.56	cdots	69.84	cdots	144.38 +or- 0.45	10.56 +or- 0.07	8.19 +or- 2.90	-9.66 +or- 0.21	(0)	1	
20230926A	0.0553	222.80	170.18	cdots	64.12	cdots	163.72 +or- 0.93	10.64 +or- 0.05	0.63 +or- 0.18	-10.83 +or- 0.14	(0)	1	
20231223C	0.1059	165.80	117.93	cdots	30.94	cdots	201.92 +or- 1.24	10.54 +or- 0.06	1.07 +or- 0.43	-10.48 +or- 0.20	(4)	1	
20231128A	0.1079	331.60	306.59	cdots	40.43	cdots	82.06 +or- 0.07	10.43 +or- 0.09	16.28 +or- 4.24	-9.21 +or- 0.18	(0)	1	
20230703A	0.1184	291.30	264.37	cdots	36.57	cdots	68.16 +or- 0.07	10.12 +or- 0.09	3.25 +or- 1.20	-9.59 +or- 0.21	(0)	1	
20230222B	0.11	187.80	160.07	cdots	22.47	cdots	180.55 +or- 1.03	10.37 +or- 0.08	1.81 +or- 0.57	-10.12 +or- 0.19	(0)	1	
20231204A	0.0644	221.00	191.17	cdots	26.80	cdots	279.63 +or- 3.02	10.69 +or- 0.07	4.32 +or- 2.63	-10.04 +or- 0.29	(0)	1	
20230222A	0.1223	706.10	571.90	cdots	35.56	cdots	45.98 +or- 0.81	10.16 +or- 0.17	13.16 +or- 8.34	-9.04 +or- 0.41	(0)	1	
20231005A	0.0713	189.40	155.93	cdots	71.22	cdots	44.94 +or- 0.09	10.11 +or- 0.10	0.67 +or- 1.41	-10.32 +or- 1.54	(0)	1	
20230203A	0.1464	420.10	383.84	cdots	62.50	cdots	158.26 +or- 0.35	10.63 +or- 0.10	5.24 +or- 3.49	-9.91 +or- 0.31	(0)	1	
20231011A	0.0783	186.30	115.95	cdots	75.33	cdots	120.90 +or- 2.77	9.50 +or- 0.18	1.20 +or- 0.57	-9.42 +or- 0.39	(0)	1	
20231017A	0.245	344.20	279.65	cdots	59.03	6.60	200.33 +or- 18.13	9.99 +or- 0.18	0.00 +or- 0.29	-12.94 +or- 5.76	(0)	1	
20231201A	0.1119	169.40	99.45	cdots	37.47	cdots	159.35 +or- 13.04	9.44 +or- 0.18	0.75 +or- 0.34	-9.55 +or- 0.30	(0)	1	
20231025B	0.3238	368.70	320.11	cdots	28.57	cdots	185.11 +or- 1.48	9.74 +or- 0.12	2.06 +or- 0.81	-9.43 +or- 0.24	(0)	1	
20231123A	0.0729	302.10	212.35	cdots	34.33	cdots	71.32 +or- 1.71	9.56 +or- 0.24	0.83 +or- 0.76	-9.62 +or- 1.00	(0)	1	
20230311A	0.1918	364.30	271.84	cdots	27.08	11.00	372.23 +or- 3.04	10.07 +or- 0.12	4.07 +or- 1.87	-9.47 +or- 0.25	(0)	1	
20230730A	0.2115	312.50	227.34	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	1	
20180924B	0.3214	361.42	319.54	9.28	34.07	3.40	145.95 +or- 0.49	10.25 +or- 0.10	4.31 +or- 1.72	-9.61 +or- 0.24	(0)	2	
20190102C	0.2913	364.50	307.69	0.83	45.66	2.00	166.56 +or- 1.35	9.57 +or- 0.14	1.46 +or- 0.92	-9.41 +or- 0.32	(1)	3	
20180301A	0.3304	536.00	384.28	1.51	cdots	10.80	cdots	cdots	cdots	cdots	cdots	4, 5	
20191228A	0.2432	297.50	263.56	136.95	cdots	5.70	cdots	cdots	cdots	cdots	cdots	4, 6	
20200906A	0.3688	577.80	544.16	cdots	63.00	5.90	260.69 +or- 0.77	10.29 +or- 0.11	8.09 +or- 4.18	-9.36 +or- 0.25	(0)	7	
20210117A	0.214	728.95	693.85	5.28	cdots	2.80	cdots	cdots	cdots	cdots	cdots	8	
20181030A	0.0039	103.50	63.06	1.60	cdots	14.00	cdots	cdots	cdots	cdots	cdots	8	
20181220A	0.0275	209.40	83.40	0.44	81.53	cdots	39.82 +or- 0.61	10.15 +or- 0.11	1.81 +or- 0.92	-9.89 +or- 0.34	(0)	9	
20190418A	0.0715	184.50	113.50	0.78	52.81	cdots	20.28 +or- 0.43	10.16 +or- 0.09	1.33 +or- 0.87	-10.05 +or- 0.32	(0)	9	
20190425A	0.03122	128.20	79.20	0.38	58.38	cdots	1002.76 +or- 6.63	10.21 +or- 0.06	1.56 +or- 0.60	-10.02 +or- 0.20	(0)	9	
20181223C	0.0302	112.50	92.50	0.11	40.95	cdots	23.39 +or- 0.04	9.25 +or- 0.06	0.18 +or- 0.04	-10.00 +or- 0.11	(0)	9	
20210410D	0.1415	578.78	522.58	226.90	42.48	2.90	76.83 +or- 1.03	9.37 +or- 0.13	0.14 +or- 0.38	-10.20 +or- 3.72	(1)	10	
20210603A	0.1772	500.15	460.15	0.16	64.84	7.20	195.96 +or- 0.64	10.97 +or- 0.10	0.00 +or- 0.22	-15.28 +or- 6.84	(0)	11	
20190608B	0.1178	339.50	301.44	66.76	36.81	6.60	78.03 +or- 0.13	10.21 +or- 0.10	6.37 +or- 2.27	-9.41 +or- 0.25	(0)	12, 3	
20230930A	0.0925	456.00	422.27	cdots	30.60	cdots	cdots	cdots	cdots	cdots	cdots	13	
20230506C	0.3896	761.00	740.52	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	13	
20240213A	0.1185	357.40	317.30	cdots	70.12	cdots	93.64 +or- 0.15	10.13 +or- 0.11	4.94 +or- 2.65	-9.44 +or- 0.29	(0)	14	
20240215A	0.21	549.50	501.50	cdots	40.97	cdots	121.18 +or- 0.34	9.34 +or- 0.10	2.60 +or- 1.39	-8.91 +or- 0.28	(1)	14	
20240229A	0.287	491.15	453.25	cdots	23.77	cdots	196.57 +or- 1.49	10.08 +or- 0.20	1.80 +or- 2.08	-9.79 +or- 1.55	(0)	14	
20231220A	0.3355	491.20	441.30	cdots	47.87	cdots	261.75 +or- 1.05	10.35 +or- 0.10	5.88 +or- 3.06	-9.57 +or- 0.26	(0)	14	
20240119A	0.376	483.10	445.20	cdots	31.73	cdots	444.51 +or- 5.91	9.56 +or- 0.14	2.51 +or- 1.54	-9.14 +or- 0.32	(0)	14	
20220831A	0.262	1146.25	1019.55	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	14	
