Table 1 
A Summary of Polarization Properties Analyzed in This Work for the 89 Well-fit FRBs and 29 Unpolarized FRBs


TNS Name	n _down	L/I	DM_obs,struct	DM_MW	RM_obs,FDF	RM_obs,QU	RM_MW	PA ${\chi }_{\nu }^{2}$	f _depol	
			(pc cm^-3)	(pc cm^-3)	(rad m^-2)	(rad m^-2)	(rad m^-2)			
Polarized FRBs										
										
FRB 20181209A	1	0.90(1)	328.59(1)	47	-110.28(5)	106.81(1)	-21(8)	1.79	cdots	
FRB 20181213A	4	1.09(3)	678.69(1)	44	10.20(9)	10.2(1)	-12(6)	1.92	0.88(6)	
FRB 20181214C	32	0.60(3)	632.832(3)	41	23.6(2)	23.8(2)	6(2)	2.07	1.8(2)	
FRB 20181215B	1	1.017(9)	494.044(6)	43	8.59(2)	8.18(3)	14(4)	4.43	1.06(2)	
FRB 20181220A ^a	8	0.43(2)	209.525(8)	46	97.5(4)	-0.64(7)	-23(11)	4.09	cdots	
FRB 20181221A	32	0.42(2)	316.25(5)	42	39.0(4)	-44.3(4)	7(3)	10.56	cdots	
FRB 20181222E	32	0.70(3)	327.989(4)	45	-91.8(1)	-92.9(1)	-11(8)	1.50	cdots	
FRB 20181224E	8	0.62(2)	581.84(1)	44	1.65(8)	0.67(9)	8(6)	4.70	cdots	
FRB 20181226D	1	1.00(1)	385.338(5)	66	64.63(5)	64.73(5)	25(8)	1.49	1.09(4)	
FRB 20181226E	16	0.57(2)	308.78(1)	45	-1.0(2)	-0.2(2)	0(15)	1.42	cdots	
FRB 20181228B	256	0.58(5)	568.538(6)	43	-0.1(5)	-14.1(9)	-1(7)	1.49	cdots	
FRB 20181231B	2	0.78(1)	197.366(9)	45	-9.66(5)	10.51(1)	-16(3)	1.32	cdots	
FRB 20190102A	16	0.74(1)	699.1(4)	44	198.8(2)	-198.40(4)	-52(8)	1.36	cdots	
FRB 20190102B	32	0.86(3)	367.07(4)	43	-13.4(1)	-13.31(3)	-41(9)	0.76	1.10(8)	
FRB 20190106B	1	0.910(9)	316.536(2)	46	-73.18(3)	72.99(3)	-133(36)	11.54	cdots	
FRB 20190110A	1	0.92(1)	472.788(3)	54	-31.14(5)	-30.74(6)	-36(23)	3.54	cdots	
FRB 20190110C	32	0.96(6)	222.01(1)	42	118.5(3)	118.4(3)	8(2)	2.15	cdots	
FRB 20190111B	2	0.63(1)	1336.87(1)	46	332.0(1)	331.9(1)	37(15)	2.45	cdots	
FRB 20190118A ^a	1	0.453(4)	225.108(5)	46	85.99(3)	-0.670(1)	41(13)	2.48	cdots	
FRB 20190121A	32	0.97(1)	425.28(3)	46	95.47(5)	95.41(6)	10(15)	2.48	1.01(3)	
FRB 20190122C	4	1.07(1)	690.032(8)	41	50.64(2)	50.71(2)	2(3)	3.73	1.07(2)	
FRB 20190124F	2	0.72(1)	254.799(4)	42	5.00(8)	4.62(9)	-4(11)	3.73	cdots	
FRB 20190130B	4	1.01(2)	988.75(1)	41	75.54(6)	77.54(3)	9(7)	1.72	cdots	
FRB 20190131E ^a	2	0.38(1)	279.798(6)	43	174.3(1)	-0.56(1)	-29(12)	1.25	cdots	
FRB 20190201B	32	0.77(3)	749.07(2)	48	-157.2(2)	-156.62(9)	-3(5)	3.99	cdots	
FRB 20190202B	2	0.31(1)	464.839(4)	66	-572.0(3)	571.3(2)	2(4)	20.42	cdots	
FRB 20190203A	16	0.64(2)	420.586(6)	44	-341.6(1)	-337.8(1)	-16(4)	2.39	cdots	
FRB 20190204B	64	0.85(5)	1464.842(6)	44	391.5(3)	391.7(3)	-23(16)	2.67	cdots	
FRB 20190206A ^a	64	0.57(2)	188.353(3)	45	-11.8(1)	-0.30(6)	13(7)	3.05	cdots	
FRB 20190208C	4	0.73(3)	238.323(5)	44	-77.6(1)	-80.7(1)	-15(7)	0.88	cdots	
FRB 20190210B	4	0.81(1)	624.24(1)	76	-359.3(1)	-359.42(9)	32(17)	25.44	cdots	
FRB 20190212B	4	0.73(2)	600.185(3)	43	175.8(2)	-175.7(2)	-10(3)	2.17	cdots	
FRB 20190213D	256	0.89(4)	1346.7(4)	47	-319.4(4)	318.3(5)	-126(33)	3.33	cdots	
FRB 20190214C	128	0.84(3)	532.96(1)	42	1169.0(1)	-1169.6(1)	8(5)	6.10	cdots	
FRB 20190217A	256	0.94(6)	798.14(4)	62	594.0(2)	595.1(3)	6(11)	2.83	0.8(1)	
FRB 20190224C	128	0.54(2)	497.12(2)	63	0.6(3)	0.8(3)	23(9)	6.42	cdots	
FRB 20190224D	2	0.81(2)	752.892(6)	44	-42.49(9)	-41.86(9)	-16(8)	24.68	1.04(8)	
FRB 20190226A	4	0.65(2)	601.546(7)	55	234.4(2)	-234.1(1)	23(21)	2.48	0.96(7)	
FRB 20190303B	1	0.624(3)	193.429(5)	44	31.08(1)	31.074(3)	-23(3)	3.55	cdots	
FRB 20190304A	8	0.57(2)	483.521(8)	44	-78.0(1)	78.0(1)	-12(5)	1.83	cdots	
FRB 20190304B	64	1.03(5)	469.90(2)	41	39.5(2)	-39.0(1)	5(1)	1.12	cdots	
FRB 20190320B	1	0.98(1)	489.501(8)	42	53.34(6)	53.36(6)	21(3)	1.91	0.99(3)	
FRB 20190320E	32	0.95(3)	299.09(2)	44	-75.1(1)	75.74(1)	-17(7)	1.63	0.85(6)	
FRB 20190323B	1	0.911(5)	789.527(7)	43	229.46(2)	229.058(3)	-15(8)	2.57	0.94(1)	
FRB 20190327A	8	0.48(1)	346.579(7)	44	11.2(1)	11.2(1)	61(19)	3.03	1.18(7)	
