pulsar,jname,glitch_no,mjd,df_f,df_f_err,df1_f1,df1_f1_err,reference
J0007+7303,0007+7303,1,54953.0,554.0,1.0,1.0,0.1,"Abdo+2012 [ awd+12 ], also in Ray+2011 [ rkp+11 ]"
J0007+7303,0007+7303,2,55466.0,1260.0,,,,Belfore+2011 [ 3rd Fermi symp. ]
J0040-7335,0040-7335,1,59919.7,1.31,0.18,0.056,0.025,New. Also in Carli+24 [ cab+24 ]
J0040-7337,0040-7337,1,60013.13,1810.0,,7.0,,Carli+24 [ cab+24 ]
J0048-7317,0048-7317,1,59707.46,1950.0,,7.0,,Carli+24 [ cab+24 ]
4U_0142+61,0146+6145,1,51141.0,650.0,150.0,14.0,5.0,Morii+2005 [ mks05 ]
4U_0142+61,0146+6145,2,53809.0,1627.0,348.0,11.6,0.4,Gavriil et al. (2011) [ gdk11 ]
B0144+59,0147+5922,1,53682.0,0.056,0.003,-0.21,0.05,Yuan+2010 [ ywml10 ]
B0154+61,0157+6212,1,48512.0,4.0,1.0,-11.0,6.0,"Espinoza+2011 [ elsk11 ], also in Krawczyk+2003 [ klgj03 ]"
B0154+61,0157+6212,2,57116.0,0.74,0.09,,,New - our measurement
B0154+61,0157+6212,3,58283.0,2.6,0.3,,,Basu+2021 [ bsa+21 ]
J0205+6449,0205+6449,1,52555.0,340.0,110.0,5.0,1.0,Livingstone+2009 [ lrc+09 ]
J0205+6449,0205+6449,2,52920.0,3800.0,400.0,12.0,1.0,Livingstone+2009 [ lrc+09 ]
J0205+6449,0205+6449,3,54907.0,1761.0,7.0,12.0,2.0,Basu+2021 [ bsa+21 ]
J0205+6449,0205+6449,4,55719.0,126.0,5.0,3.0,1.0,Basu+2021 [ bsa+21 ]
J0205+6449,0205+6449,5,55836.0,2933.0,5.0,13.0,1.0,Basu+2021 [ bsa+21 ]
J0205+6449,0205+6449,6,56854.0,84.0,14.0,3.0,2.0,Basu+2021 [ bsa+21 ]
J0205+6449,0205+6449,7,57345.0,527.0,7.0,5.0,1.0,Basu+2021 [ bsa+21 ]
J0205+6449,0205+6449,8,57696.75,43.0,2.0,,,Basu+2021 [ bsa+21 ]
J0205+6449,0205+6449,9,58320.0,3140.0,50.0,20.0,3.0,Basu+2021 [ bsa+21 ]
J0215+6218,0215+6218,1,55965.0,0.06,0.04,,,Basu+2021 [ bsa+21 ]
B0355+54,0358+5413,1,46082.0,6.0,1.0,6.0,5.0,"Espinoza+2011 [ elsk11 ], also in Lyne (1987) [ lyn87 ]"
B0355+54,0358+5413,2,46470.0,4366.0,1.0,430.0,154.0,"Espinoza+2011 [ elsk11 ], also in Lyne (1987) [ lyn87 ]"
B0402+61,0406+6138,1,53041.0,0.62,0.04,0.5,0.1,Yuan+2010 [ ywml10 ]
B0410+69,0415+6954,1,57120.0,0.011,0.006,,,Basu+2021 [ bsa+21 ]
J0417+35,0417+35,1,57053.63,24.54,0.03,3.4,0.1,Basu+2021 [ bsa+21 ]
B0458+46,0502+4654,1,52616.0,0.33,0.02,0.7,0.2,Espinoza+2011 [ elsk11 ]
B0523+11,0525+1115,1,56010.4,0.312,0.002,0.6,0.2,Basu+2021 [ bsa+21 ]
B0525+21,0528+2200,1,42051.5,1.9,0.2,13.0,5.0,"Espinoza+2011 [ elsk11 ], also in Downs (1982) [ dow82 ]"
B0525+21,0528+2200,2,52296.0,2.3,0.2,7.0,2.0,"Janssen+2006 [ js06 ], also in Yuan+2010 [ ywml10 ]"
B0525+21,0528+2200,3,53379.0,0.2,0.1,,,Janssen+2006 [ js06 ]
B0525+21,0528+2200,4,53980.0,0.5,0.1,0.1,0.1,Yuan+2010 [ ywml10 ]
B0531+21,0534+2200,1,40491.8,7.2,0.4,0.44,0.04,"Espinoza+2011 [ elsk11 ], also in Lohsen (1981) [ loh81 ]"
B0531+21,0534+2200,2,41161.98,1.9,0.1,0.17,0.01,"Espinoza+2011 [ elsk11 ], also in Lohsen (1981) [ loh81 ]"
B0531+21,0534+2200,3,41250.32,2.1,0.1,0.11,0.01,"Espinoza+2011 [ elsk11 ], also in Lohsen (1981) [ loh81 ]"
