name,mjd_start,mjd_end,exposure_s
PSR_J0537-6910,57924.5571990741,57924.9480555556,0.0
PSR_J0537-6910,57925.2595138889,57925.2700810185,0.0
PSR_J0537-6910,57926.4195486111,57926.4318402778,0.0
PSR_J0537-6910,57932.9137615741,57932.9185300926,120.0
PSR_J0537-6910,57948.137025463,57948.8500115741,203.0
PSR_J0537-6910,57952.6497685185,57952.9821759259,1907.0
PSR_J0537-6910,57953.0326388889,57953.9365277778,8278.0
PSR_J0537-6910,57954.0604166667,57954.8994560185,569.754316911101
PSR_J0537-6910,57955.0377314815,57955.9421527778,5064.75269572437
PSR_J0537-6910,57955.9988425926,57956.9757638889,3613.27489072084
PSR_J0537-6910,57957.0833333333,57957.6027546296,991.0
PSR_J0537-6910,57958.0641435185,57958.897337963,555.0
PSR_J0537-6910,57959.0729166667,57959.9296296296,2510.0
PSR_J0537-6910,57960.4218055556,57960.8793634259,1337.50382335484
PSR_J0537-6910,57961.5357986111,57961.5427893518,26.0
PSR_J0537-6910,57962.5617824074,57962.6360532407,254.0
PSR_J0537-6910,57963.0189814815,57963.3974421296,1865.0
PSR_J0537-6910,57974.5275347222,57974.5349537037,6.0
PSR_J0537-6910,57981.193900463,57981.7787615741,956.0
PSR_J0537-6910,57982.0972453704,57982.9393055556,833.0
PSR_J0537-6910,57983.0605902778,57983.9722800926,2002.32981422544
PSR_J0537-6910,57984.0949074074,57984.9435185185,3862.46334215999
PSR_J0537-6910,57985.0673842593,57985.9766203704,4113.4632050395
PSR_J0537-6910,57986.0344907407,57986.9391898148,2137.0
PSR_J0537-6910,57987.0009259259,57987.6507986111,1186.0
PSR_J0537-6910,57988.4226851852,57988.424837963,0.0
PSR_J0537-6910,57989.9588078704,57989.9684722222,626.0
PSR_J0537-6910,57990.0200578704,57990.4824305556,1499.0
PSR_J0537-6910,57996.0553240741,57996.6461689815,1244.0
PSR_J0537-6910,58003.0807407407,58003.0828703704,0.0
PSR_J0537-6910,58007.5525810185,58007.8143287037,14.0
PSR_J0537-6910,58008.1951967593,58008.9869212963,1257.93920639157
PSR_J0537-6910,58009.1135763889,58009.998900463,1770.0
PSR_J0537-6910,58010.0591666667,58010.5134837963,0.0
PSR_J0537-6910,58031.4282407407,58031.8060185185,3670.0579187423
PSR_J0537-6910,58036.4481481481,58036.7759259259,1808.0
PSR_J0537-6910,58042.798125,58042.801412037,78.0
PSR_J0537-6910,58043.5711689815,58043.5757291667,232.0
PSR_J0537-6910,58046.4819444444,58046.4868287037,0.0
PSR_J0537-6910,58047.5130555556,58047.5156944444,71.0
PSR_J0537-6910,58048.2206944444,58048.8663773148,1900.0
PSR_J0537-6910,58049.0469907407,58049.7022569444,1848.0
PSR_J0537-6910,58051.4831828704,58051.6172800926,735.712248578668
PSR_J0537-6910,58054.1178240741,58054.1315162037,336.0
PSR_J0537-6910,58055.0178240741,58055.9344212963,2349.0
PSR_J0537-6910,58056.1847222222,58056.8990509259,3148.0
PSR_J0537-6910,58057.4710069444,58057.8002314815,1543.0
PSR_J0537-6910,58058.3641203704,58058.3740046296,569.0
PSR_J0537-6910,58059.2636921296,58059.915150463,561.0
PSR_J0537-6910,58060.2981481481,58060.4928703704,221.0
PSR_J0537-6910,58061.1431597222,58061.1442476852,0.0
PSR_J0537-6910,58072.3127430556,58072.8943518518,314.0
PSR_J0537-6910,58073.0800925926,58073.0947453704,932.760382756591
PSR_J0537-6910,58074.3087962963,58074.4397337963,300.0
PSR_J0537-6910,58076.3572453704,58076.9522800926,1800.0
PSR_J0537-6910,58077.1301273148,58077.5812037037,1050.0
PSR_J0537-6910,58081.3803240741,58081.3824189815,0.0
PSR_J0537-6910,58082.7310185185,58082.9915162037,748.0
PSR_J0537-6910,58083.3743055556,58083.9641435185,2291.0
PSR_J0537-6910,58084.0175925926,58084.475150463,1284.0
PSR_J0537-6910,58085.6979166667,58085.7027199074,46.0
PSR_J0537-6910,58101.1940740741,58101.2007523148,355.0
PSR_J0537-6910,58102.0814814815,58102.2122800926,296.0
PSR_J0537-6910,58105.4350694444,58105.4397106481,76.0
PSR_J0537-6910,58106.0018518519,58106.9914351852,766.0
PSR_J0537-6910,58107.1103009259,58107.9388888889,2637.0
PSR_J0537-6910,58108.0613425926,58108.8567013889,1856.0
PSR_J0537-6910,58109.1731134259,58109.9266782407,1649.0
PSR_J0537-6910,58112.5016203704,58112.8865972222,74.0
PSR_J0537-6910,58115.2159722222,58115.2261574074,127.0
PSR_J0537-6910,58116.2469907407,58116.6414351852,0.0
PSR_J0537-6910,58131.4021643518,58131.4049189815,0.0
PSR_J0537-6910,58135.9025462963,58135.9090625,264.0
PSR_J0537-6910,58136.9314467593,58136.9384606481,313.0
PSR_J0537-6910,58137.1253240741,58137.9664236111,2568.0
PSR_J0537-6910,58138.0251967593,58138.9955787037,2529.0
PSR_J0537-6910,58139.0561805556,58139.9703703704,3520.0
PSR_J0537-6910,58140.0183449074,58140.9895601852,5633.75564698875
PSR_J0537-6910,58140.9979166667,58141.9543634259,3192.0
PSR_J0537-6910,58142.012037037,58142.981087963,2917.0
PSR_J0537-6910,58143.0415625,58143.7012152778,2.0
PSR_J0537-6910,58144.6634259259,58144.7314814815,0.0
PSR_J0537-6910,58145.6925925926,58145.6953703704,0.0
PSR_J0537-6910,58159.8835648148,58159.9504861111,154.0
PSR_J0537-6910,58160.0122685185,58160.7877314815,976.0
PSR_J0537-6910,58161.1712962963,58161.2393518519,206.0
PSR_J0537-6910,58162.9716435185,58162.9805902778,176.0
PSR_J0537-6910,58163.1003472222,58163.9476157407,6989.0
PSR_J0537-6910,58164.0071412037,58164.9848842593,5643.0
PSR_J0537-6910,58165.1630787037,58165.500462963,2446.0
PSR_J0537-6910,58167.0886574074,58167.9874652778,0.0
PSR_J0537-6910,58168.1123842593,58168.9614699074,1351.75882351398
PSR_J0537-6910,58169.0767361111,58169.9921296296,3098.75172260404
PSR_J0537-6910,58170.0449074074,58170.9512615741,6591.0
PSR_J0537-6910,58171.0087847222,58171.9910416667,3467.46985694766
PSR_J0537-6910,58172.050625,58172.9444444444,462.0
PSR_J0537-6910,58173.0010300926,58173.0729166667,586.0
PSR_J0537-6910,58174.8819444444,58174.8888888889,430.0
PSR_J0537-6910,58175.0104166667,58175.856875,504.0
PSR_J0537-6910,58176.1750115741,58176.2435185185,0.0
PSR_J0537-6910,58195.5730208333,58195.7824074074,1649.0
PSR_J0537-6910,58197.5670601852,58197.9782407407,2606.0
PSR_J0537-6910,58198.0960416667,58198.9458333333,3481.0
PSR_J0537-6910,58199.1213078704,58199.1259259259,299.0
PSR_J0537-6910,58201.4405092593,58201.9494907407,4052.0
PSR_J0537-6910,58202.0030555556,58202.9823726852,9126.82011458278
PSR_J0537-6910,58203.0322800926,58203.9617824074,7576.0
PSR_J0537-6910,58204.7859953704,58204.9890740741,1222.0
PSR_J0537-6910,58205.0328587963,58205.9409722222,7055.0
PSR_J0537-6910,58205.9990625,58206.9837962963,4266.0
PSR_J0537-6910,58207.0293865741,58207.7520601852,2754.0
PSR_J0537-6910,58208.0592361111,58208.9122685185,4368.0
PSR_J0537-6910,58209.0241435185,58209.9407407407,5411.0
PSR_J0537-6910,58210.1211226852,58210.8405092593,1922.0
PSR_J0537-6910,58212.4814351852,58212.4905092593,420.0
PSR_J0537-6910,58219.104212963,58219.2452314815,161.0
PSR_J0537-6910,58229.9048611111,58229.9151851852,0.0
PSR_J0537-6910,58230.9344907407,58230.9459490741,0.0
PSR_J0537-6910,58231.4574074074,58231.9103587963,211.0
PSR_J0537-6910,58232.2215277778,58232.7522569444,8243.0
