obsid,name,mjd_start,exposure_s
0020180102,PSR_B0833-45,57941.0583217593,6918.0
0020180103,PSR_B0833-45,57942.0228125,10070.0
0020180104,PSR_B0833-45,57942.9874421296,8588.70558646321
0020180105,PSR_B0833-45,57945.4406134259,1429.0
0020180106,PSR_B0833-45,57946.0828703704,1318.0
0020180107,PSR_B0833-45,57947.0453125,2158.0
0020180108,PSR_B0833-45,57948.2002199074,1221.51739259064
1020180101,PSR_B0833-45,57953.9960648148,187.713040798903
1020180102,PSR_B0833-45,57954.1888888889,896.0
1020180103,PSR_B0833-45,57955.0893518518,1534.0
1020180104,PSR_B0833-45,57956.0541666667,6510.76042364538
1020180105,PSR_B0833-45,57957.0189814815,4854.0
1020180106,PSR_B0833-45,57957.9990509259,1399.0
1020180107,PSR_B0833-45,57959.2011574074,2230.0
1020180108,PSR_B0833-45,57960.1028587963,981.0
1020180109,PSR_B0833-45,57962.0988425926,1225.0
1020180110,PSR_B0833-45,57963.0797916667,2479.0
1020180111,PSR_B0833-45,57964.0349537037,96.0
1020180112,PSR_B0833-45,57968.7292361111,239.0
1020180113,PSR_B0833-45,57969.3015277778,608.0
1020180114,PSR_B0833-45,57970.1453703704,460.0
1020180115,PSR_B0833-45,57971.1743055556,834.0
1020180116,PSR_B0833-45,57972.0203356482,2258.0
1020180117,PSR_B0833-45,57973.0996064815,4969.76037365198
1020180118,PSR_B0833-45,57974.0048611111,4112.0
1020180119,PSR_B0833-45,57975.23125,4902.52185484767
1020180120,PSR_B0833-45,57976.2605439815,3429.7601724416
1020180121,PSR_B0833-45,57977.0347569444,2722.76039934158
1020180122,PSR_B0833-45,57978.0636342593,426.0
1020180123,PSR_B0833-45,57979.491412037,152.0
1020180124,PSR_B0833-45,57980.1955555556,40.0
1020180125,PSR_B0833-45,57981.5242824074,5.0
1020180126,PSR_B0833-45,58042.4100694444,1679.0
1020180127,PSR_B0833-45,58046.5354166667,1527.0
1020180128,PSR_B0833-45,58049.1074074074,543.0
1020180129,PSR_B0833-45,58050.079837963,2095.0
1020180130,PSR_B0833-45,58051.1074074074,2124.0
1020180131,PSR_B0833-45,58052.4032407407,2868.0
1020180132,PSR_B0833-45,58053.1075925926,1761.0
1020180133,PSR_B0833-45,58075.3381944444,83.0
1020180134,PSR_B0833-45,58076.8822916667,83.0
1020180135,PSR_B0833-45,58077.70625,190.0
1020180136,PSR_B0833-45,58097.1282407407,381.0
1020180137,PSR_B0833-45,58098.1578703704,865.0
1020180138,PSR_B0833-45,58099.0583333333,1101.0
1020180139,PSR_B0833-45,58100.0231481481,568.0
1020180140,PSR_B0833-45,58101.1164351852,393.0
1020180141,PSR_B0833-45,58102.5506944444,994.0
1020180142,PSR_B0833-45,58102.9999537037,414.0
1020180143,PSR_B0833-45,58104.0803240741,646.0
1020180144,PSR_B0833-45,58105.3675925926,196.0
1020180145,PSR_B0833-45,58106.0877314815,1022.0
1020180146,PSR_B0833-45,58107.1671296296,742.0
1020180147,PSR_B0833-45,58108.7710185185,724.0
1020180148,PSR_B0833-45,58109.1580555556,830.0
1020180149,PSR_B0833-45,58112.7618055556,402.0
1020180150,PSR_B0833-45,58115.0136574074,457.0
1020180151,PSR_B0833-45,58116.4270833333,614.0
1020180152,PSR_B0833-45,58117.0094444444,835.0
1020180153,PSR_B0833-45,58118.1640046296,1990.0
1020180154,PSR_B0833-45,58119.0027314815,2493.95685733855
1020180155,PSR_B0833-45,58120.0288888889,1718.0
1020180156,PSR_B0833-45,58121.0641550926,2557.74890452623
1020180157,PSR_B0833-45,58122.0931018519,1550.0
1020180158,PSR_B0833-45,58123.3140509259,1523.0
1020180159,PSR_B0833-45,58126.0798611111,778.0
1020180160,PSR_B0833-45,58127.1824074074,122.0
1020180161,PSR_B0833-45,58165.2138078704,552.0
1020180162,PSR_B0833-45,58166.1840277778,1471.0
1020180163,PSR_B0833-45,58167.2229166667,401.0
1020180164,PSR_B0833-45,58168.1881944444,1611.0
1020180165,PSR_B0833-45,58169.2054976852,1904.0
1020180166,PSR_B0833-45,58170.16875,2604.0
1020180167,PSR_B0833-45,58173.1256944444,2710.0
1020180168,PSR_B0833-45,58174.0277777778,3799.0
1020180169,PSR_B0833-45,58175.057349537,4751.0
1020180170,PSR_B0833-45,58176.2829976852,1654.0
1020180171,PSR_B0833-45,58177.2681134259,140.0
1020180172,PSR_B0833-45,58178.8536921296,0.0
1020180173,PSR_B0833-45,58179.7546180556,0.0
1020180174,PSR_B0833-45,58184.3196759259,2.49691224098206
1020180175,PSR_B0833-45,58185.4228472222,21.5428965389729
1020180176,PSR_B0833-45,58186.1312847222,38.0
1020180177,PSR_B0833-45,58187.1703125,2047.21795584261
1020180178,PSR_B0833-45,58188.0703703704,434.0
1020180179,PSR_B0833-45,58189.4837037037,1002.0
1020180180,PSR_B0833-45,58189.9995717593,1790.0
1020180181,PSR_B0833-45,58191.9346064815,101.0
1020180182,PSR_B0833-45,58192.1246759259,2776.0
1020180183,PSR_B0833-45,58193.0954513889,451.0
1020180184,PSR_B0833-45,58201.2648148148,0.0
1020180185,PSR_B0833-45,58202.1415162037,1081.0
1020180186,PSR_B0833-45,58203.0476851852,336.0
1020180187,PSR_B0833-45,58204.7217013889,0.0
1020180188,PSR_B0833-45,58230.4710648148,52.0
1020180189,PSR_B0833-45,58231.504849537,47.0
1020180190,PSR_B0833-45,58232.1643518519,270.0
1020180191,PSR_B0833-45,58234.8571759259,0.0
1020180192,PSR_B0833-45,58235.0502314815,88.0
1020180193,PSR_B0833-45,58239.9377314815,16.0
1020180194,PSR_B0833-45,58240.0612615741,213.0
1020180195,PSR_B0833-45,58241.7405092593,0.0
1020180196,PSR_B0833-45,58242.7050925926,0.0
1020180197,PSR_B0833-45,58246.1729166667,110.0
1020180198,PSR_B0833-45,58253.1986111111,2365.0
1020180199,PSR_B0833-45,58270.898599537,223.0
1020180201,PSR_B0833-45,58271.0273148148,211.0
1020180202,PSR_B0833-45,58272.4402777778,1662.0
1020180203,PSR_B0833-45,58275.9744791667,0.0
1020180204,PSR_B0833-45,58276.1645833333,12.0
1020180205,PSR_B0833-45,58277.1298611111,0.0
1020180206,PSR_B0833-45,58278.0951388889,0.0
1020180207,PSR_B0833-45,58284.3032291667,96.0
1020180208,PSR_B0833-45,58287.0016203704,0.0
1020180209,PSR_B0833-45,58289.7747106481,590.0
1020180210,PSR_B0833-45,58290.2746064815,23.0
1020180211,PSR_B0833-45,58299.3405208333,40.0
1020180212,PSR_B0833-45,58301.4027777778,198.0
1020180213,PSR_B0833-45,58302.7599537037,0.0
1020180214,PSR_B0833-45,58304.2297569444,745.0
1020180215,PSR_B0833-45,58305.2591898148,5213.19184479117
1020180216,PSR_B0833-45,58306.0330902778,1872.81268855929
1020180217,PSR_B0833-45,58307.3824074074,1423.65209525824
1020180218,PSR_B0833-45,58310.0885069444,2017.55384379625
1020180219,PSR_B0833-45,58312.7907291667,2601.0
1020180220,PSR_B0833-45,58313.1751967593,1664.0
1020180221,PSR_B0833-45,58314.7189814815,176.0
1020180222,PSR_B0833-45,58315.2344907407,2250.0
1020180223,PSR_B0833-45,58316.2650462963,2044.75150942802
1020180224,PSR_B0833-45,58317.4884259259,1062.0
1020180225,PSR_B0833-45,58318.4537037037,0.0
1020180226,PSR_B0833-45,58319.0326388889,1836.0
1020180227,PSR_B0833-45,58320.1465277778,1031.0
1020180228,PSR_B0833-45,58321.0469907407,3770.0
1020180229,PSR_B0833-45,58321.9921296296,5923.0
1020180230,PSR_B0833-45,58325.1418981481,4109.0
1020180231,PSR_B0833-45,58326.0449074074,2760.0
1020180232,PSR_B0833-45,58327.3981481481,2682.0
1020180233,PSR_B0833-45,58328.2356481481,2939.0
1020180234,PSR_B0833-45,58329.0083333333,1080.0
1020180235,PSR_B0833-45,58330.5541666667,941.0
1020180236,PSR_B0833-45,58332.9962847222,849.0
1020180237,PSR_B0833-45,58334.8564814815,596.0
1020180238,PSR_B0833-45,58335.2486111111,323.0
1020180239,PSR_B0833-45,58336.0849537037,593.643867790699
1020180240,PSR_B0833-45,58337.0534722222,2311.0
1020180241,PSR_B0833-45,58338.4706018519,2128.0
1020180242,PSR_B0833-45,58339.4347222222,2228.0
1020180243,PSR_B0833-45,58340.0166666667,7667.0
1020180244,PSR_B0833-45,58341.0467361111,5007.0
1020180245,PSR_B0833-45,58342.0787037037,4639.0
1020180246,PSR_B0833-45,58343.0456018519,525.0
1020180247,PSR_B0833-45,58359.2143518518,0.0
1020180248,PSR_B0833-45,58360.0506944444,0.0
1020180249,PSR_B0833-45,58362.0430555556,249.0
1020180250,PSR_B0833-45,58364.8731365741,302.0
1020180251,PSR_B0833-45,58368.5518518519,919.0
1020180252,PSR_B0833-45,58385.9166666667,956.0
1020180253,PSR_B0833-45,58386.0407407407,3783.82498815656
1020180254,PSR_B0833-45,58388.2356481481,1452.0
1020180255,PSR_B0833-45,58389.3284722222,0.0
1020180256,PSR_B0833-45,58390.2907407407,2787.0
1020180257,PSR_B0833-45,58391.1935185185,3435.0
1020180258,PSR_B0833-45,58392.030787037,1131.0
1020180259,PSR_B0833-45,58393.1252314815,1877.0
