psr_j,epoch_mjd,dnu_g,Q,Q_err,tau_d,tau_d_err,comp_index,reference
J0146+6145,53809.18584,1630.0,1.1,0.30000000000000004,17.0,1.7,0,gdk11
J0205+6449,52920.0,5400.0,0.77,0.11,288.0,8.0,0,lrc+09
J0358+5413,46497.0,4368.0,0.00117,4e-05,160.0,8.0,0,sl96
J0528+2200,42057.0,1.2,0.6,0.2,140.0,80.0,0,sl96
J0528+2200,52280.0,1.6,0.44,0.05,650.0,50.0,0,ywml10
J0534+2200,40494.0,4.0,0.6,0.1,18.7,1.6,0,lps93
J0534+2200,42447.5,43.8,0.8,0.1,18.0,2.0,0,lps93
J0534+2200,42447.5,,0.536,0.012,97.0,4.0,1,
J0534+2200,46664.4,4.1,1.0,0.04,9.3,0.2,0,lps93
J0534+2200,46664.4,,0.89,0.09,123.0,40.0,1,
J0534+2200,47767.4,85.1,0.894,0.006,18.0,2.0,0,lps93
J0534+2200,47767.4,,0.827,0.005,265.0,5.0,1,
J0534+2200,48947.0,4.2,0.87,0.18,2.0,0.4,0,wbl01
J0534+2200,50020.6,2.1,0.8,0.3,3.2,7.3,0,wbl01
J0534+2200,50259.93,31.9,0.68,0.01,10.3,1.5,0,wbl01
J0534+2200,50459.15,6.1,0.87,0.06,3.0,0.5,0,wbl01
J0534+2200,50812.9,6.2,0.9,0.30000000000000004,2.9,1.8,0,wbl01
J0534+2200,51452.3,6.8,0.8,0.2,3.4,0.5,0,wbl01
J0631+1036,52852.0,19.1,0.62,0.05,120.0,20.0,0,ywml10
J0631+1036,54632.41,44.0,0.13,0.02,40.0,15.0,0,ywml10
J0835-4510,40280.0,2338.0,0.00198,1.8e-05,10.0,1.0,0,cdk88
J0835-4510,40280.0,,0.01782,5e-05,120.0,6.0,1,
J0835-4510,41192.0,2047.0,0.00158,2e-05,4.0,1.0,0,cdk88
J0835-4510,41192.0,,0.01311,9e-05,94.0,5.0,1,
J0835-4510,41312.0,12.0,0.1612,0.0015,10.0,0.5,0,cdk88
J0835-4510,42683.0,1987.0,0.000435,4.9999999999999996e-06,4.0,0.4,0,cdk88
J0835-4510,42683.0,,0.003534,1.6e-05,35.0,2.0,1,
J0835-4510,43693.0,3063.0,0.00242,2e-05,6.0,0.6000000000000001,0,cdk88
J0835-4510,43693.0,,0.01134,2e-05,75.0,3.0,1,
J0835-4510,44888.4,1138.0,0.000813,8e-06,6.0,0.6000000000000001,0,cdk88
J0835-4510,44888.4,,0.0019,4e-05,14.0,2.0,1,
J0835-4510,45192.1,2051.0,0.002483,7e-06,3.0,0.6000000000000001,0,cdk88
J0835-4510,45192.1,,0.0055,8e-05,21.5,2.0,1,
J0835-4510,46259.0,1346.0,0.0037,0.0005,6.5,0.5,0,mkhr87
J0835-4510,46259.0,,0.1541,0.0006000000000000001,332.0,10.0,1,
J0835-4510,47519.8036,1805.2,0.005385,9.999999999999999e-06,4.62,0.02,0,mhmk90
J0835-4510,47519.8036,,0.1684,0.0004,351.0,1.0,1,
J0835-4510,51559.319,3152.0,0.0088,0.0006000000000000001,0.53,0.03,0,dml02
J0835-4510,51559.319,,0.00547,6.000000000000001e-05,3.29,0.03,1,
J0835-4510,51559.319,,0.006691,7e-06,19.07,0.02,2,
J1123-6259,49705.87,749.12,0.0026,0.0001,840.0,100.0,0,wmp+00
J1141-6545,54277.0,589.0,0.004,0.0007,495.0,140.0,0,mks+10
J1302-6350,50690.7,3.2,0.328,0.016,100.0,,0,wjm04
J1341-6220,48645.0,993.0,0.016,0.002,69.0,8.0,0,sl96
J1708-4009,52014.77,4210.0,0.97,0.11,50.0,4.0,0,kg03
J1730-3350,47990.0,3070.0,0.0077,0.0005,110.0,8.0,0,sl96
J1740-3015,50936.803,1445.5,0.0016,0.0005,9.0,5.0,0,ura02
J1740-3015,52347.66,152.0,0.103,0.009000000000000001,50.0,,0,zwm+08
J1740-3015,53036.0,1853.6,0.0302,0.0006000000000000001,100.0,,0,zwm+08
J1801-2451,49476.0,1990.1,0.005,0.0019,42.0,14.0,0,lkb+96
J1801-2304,53309.0,494.0,0.009,0.002,1000.0,100.0,0,ywml10
J1803-2137,48245.0,4073.0,0.0137,0.00030000000000000003,154.0,3.0,0,sl96
J1812-1718,53105.0,14.8,0.27,0.02,800.0,100.0,0,ywml10
J1833-0827,48041.0,1865.9,0.0009,0.0002,200.0,40.0,0,sl96
J1841-0425,53408.0,578.8,0.00014,0.0002,80.0,20.0,0,ywml10
J1841-0456,52464.00448,15170.0,0.63,0.05,43.0,3.0,0,dkg08
J1846-0258,53883.0,4000.0,8.7,2.5,127.0,5.0,0,lkg10
J1853+0545,53450.0,1.46,0.22,0.05,250.0,30.0,0,ywml10
J2337+6151,53615.0,20579.4,0.0046,0.0007,21.4,0.5,0,ymw+10
J2337+6151,53615.0,,0.0029,0.0001,147.0,2.0,1,
