mjd,mag,magerr,band
58242.446076,19.4018,0.0557,zg
58242.468785,18.7646,0.0411,zr
58254.445903,19.2956,0.0515,zg
58254.465312,18.6923,0.0390,zr
58257.422766,18.6067,0.0368,zr
58257.466597,18.6423,0.0377,zr
58262.473877,19.2374,0.0494,zg
58266.385428,18.6367,0.0376,zr
58269.430718,18.5088,0.0344,zr
58269.476134,19.1337,0.0459,zg
58272.426562,19.2486,0.0498,zg
58272.475370,18.5907,0.0364,zr
58275.433275,18.6378,0.0376,zr
58275.476910,19.2785,0.0509,zg
58278.433519,19.2310,0.0492,zg
58278.467164,18.6022,0.0367,zr
58281.432523,19.2566,0.0501,zg
58281.472431,18.5489,0.0354,zr
58281.481192,18.6352,0.0373,zr
58287.428518,19.2804,0.0510,zg
58287.445764,18.6657,0.0383,zr
58290.447315,19.1985,0.0481,zg
58290.471701,18.5537,0.0355,zr
58293.434271,19.2776,0.0509,zg
58293.470486,18.6416,0.0377,zr
58296.370845,18.5895,0.0363,zr
58296.469572,19.3519,0.0537,zg
58299.432674,18.4847,0.0338,zr
58299.468600,19.0614,0.0436,zg
58300.409190,18.5591,0.0354,zr
58300.409641,18.5715,0.0359,zr
58300.411007,18.6088,0.0368,zr
58301.427222,18.6129,0.0369,zr
58302.444977,19.3300,0.0528,zg
58305.422407,18.6003,0.0366,zr
58305.473299,19.1630,0.0468,zg
58310.364236,19.1889,0.0477,zg
58310.430000,18.6916,0.0390,zr
58313.407245,18.6453,0.0378,zr
58313.447593,19.2063,0.0483,zg
58316.409491,19.1477,0.0463,zg
58316.446643,18.6065,0.0368,zr
58319.407847,19.2859,0.0512,zg
58322.405232,18.6345,0.0375,zr
58322.449803,19.2061,0.0483,zg
58325.425660,19.2788,0.0509,zg
58325.494919,18.6323,0.0374,zr
58326.371539,18.6710,0.0383,zr
58326.371991,18.5663,0.0356,zr
58327.395972,18.7175,0.0395,zr
58328.363310,18.7055,0.0392,zr
58328.404618,18.5482,0.0353,zr
58329.431655,19.2884,0.0685,zg
58330.414931,18.7049,0.0392,zr
58330.415382,18.6458,0.0376,zr
58331.453912,19.2695,0.0506,zg
58331.492755,19.2465,0.0664,zg
58331.493218,19.2901,0.0686,zg
58333.345116,18.6325,0.0372,zr
58333.345579,18.5370,0.0349,zr
58333.430706,19.3056,0.0694,zg
58333.431169,19.1190,0.0605,zg
58334.322627,19.2467,0.0497,zg
58334.362419,18.6478,0.0378,zr
58334.379421,18.6505,0.0377,zr
58334.379873,18.5387,0.0349,zr
58335.372708,18.5946,0.0363,zr
58335.373160,18.6203,0.0369,zr
58336.373090,18.6049,0.0365,zr
58336.373553,18.6100,0.0367,zr
58337.347407,18.6080,0.0368,zr
58337.391065,19.2492,0.0498,zg
58338.391771,19.2239,0.0653,zg
58340.386690,18.6137,0.0370,zr
58340.388102,18.5547,0.0355,zr
58342.340625,18.6565,0.0381,zr
58342.405776,19.2417,0.0496,zg
58343.346794,18.6527,0.0380,zr
58343.347986,18.6419,0.0377,zr
58343.413738,19.1429,0.0462,zg
58343.414688,19.1903,0.0478,zg
58344.362558,19.1781,0.0474,zg
58344.387951,19.1907,0.0637,zg
58344.425926,18.6354,0.0375,zr
