t_s,flux,flux_err
116.949,6.32027e-10,9.42196e-11
119.99,4.36344e-10,6.5048e-11
123.201,5.4162e-10,8.07419e-11
126.053,4.58e-10,6.82762e-11
128.993,6.39397e-10,9.53178e-11
131.547,5.89745e-10,9.023e-11
134.418,4.52407e-10,6.74423e-11
137.737,4.39618e-10,6.55358e-11
141.145,4.73352e-10,7.05647e-11
143.86,5.37266e-10,8.22007e-11
146.973,4.62956e-10,6.90149e-11
150.266,4.68832e-10,7.36359e-11
153.624,3.94899e-10,6.04189e-11
157.757,3.49391e-10,5.48762e-11
161.422,4.25128e-10,6.50439e-11
164.862,4.71596e-10,7.0303e-11
168.16,4.52973e-10,6.75267e-11
171.507,4.42728e-10,6.77366e-11
174.933,4.75921e-10,7.09477e-11
178.397,3.95035e-10,6.04398e-11
182.554,3.47577e-10,5.31788e-11
186.392,2.72416e-10,4.97368e-11
190.406,3.97175e-10,6.23816e-11
193.118,5.53745e-10,8.6973e-11
196.863,3.30646e-10,5.33254e-11
201.101,4.48968e-10,6.69299e-11
204.53,4.0237e-10,5.99833e-11
208.991,3.27742e-10,4.88583e-11
212.961,3.95139e-10,6.04558e-11
216.628,4.1032e-10,6.27786e-11
220.77,3.15824e-10,4.70816e-11
225.62,3.13689e-10,5.05907e-11
230.176,2.98025e-10,4.93672e-11
234.343,2.721e-10,4.96794e-11
238.055,2.37488e-10,4.50871e-11
242.097,2.91977e-10,5.26637e-11
245.691,2.74012e-10,5.20211e-11
249.366,2.5707e-10,4.88048e-11
253.104,2.74088e-10,5.00422e-11
256.999,2.9103e-10,5.08673e-11
260.813,2.81888e-10,5.35164e-11
264.409,2.46315e-10,4.49715e-11
268.408,2.94506e-10,5.37701e-11
272.092,3.5892e-10,5.49143e-11
275.751,2.70012e-10,5.33332e-11
279.79,1.97689e-10,3.75312e-11
284.142,2.94091e-10,5.48556e-11
288.117,2.95912e-10,4.86488e-11
292.181,2.16e-10,4.26646e-11
296.274,2.73168e-10,5.18609e-11
299.656,2.87605e-10,5.25102e-11
303.27,2.837e-10,5.17972e-11
307.931,1.66542e-10,3.1618e-11
313.072,2.22058e-10,4.05427e-11
318.085,3.10154e-10,4.62363e-11
322.411,2.36111e-10,4.31085e-11
326.264,2.71895e-10,4.73318e-11
330.868,2.26487e-10,4.65721e-11
335.129,2.33612e-10,4.43511e-11
339.095,2.43633e-10,4.44818e-11
343.705,2.05903e-10,3.90906e-11
348.297,1.82171e-10,3.74596e-11
352.683,2.64872e-10,5.0286e-11
357.91,1.50608e-10,2.85929e-11
364.102,1.73363e-10,3.16522e-11
368.457,2.94047e-10,5.19817e-11
372.747,2.12711e-10,4.03831e-11
378.246,1.6887e-10,3.33554e-11
382.503,2.52081e-10,4.78576e-11
386.962,2.279e-10,4.16093e-11
391.989,1.9282e-10,3.66068e-11
397.021,1.85815e-10,3.52769e-11
401.601,1.76796e-10,3.4921e-11
407.29,2.01241e-10,3.67421e-11
412.319,1.50431e-10,2.85593e-11
418.533,2.07159e-10,3.93291e-11
423.212,1.86379e-10,3.83249e-11
428.092,1.98567e-10,3.62539e-11
448.05,1.12613e-10,2.52341e-11
465.271,1.43255e-10,3.06201e-11
488.87,8.69161e-11,1.8992e-11
515.212,1.16328e-10,2.43152e-11
538.18,1.00155e-10,2.24583e-11
561.255,9.03296e-11,2.0255e-11
583.801,1.05849e-10,2.31135e-11
604.44,1.41462e-10,3.02561e-11
625.121,1.06647e-10,2.33034e-11
648.36,9.02565e-11,2.01961e-11
675.252,8.67357e-11,1.89399e-11
697.767,9.02265e-11,2.02462e-11
737.888,7.19499e-11,1.22057e-11
4078.94,1.11703e-11,2.51566e-12
4204.3,1.5772e-11,3.53589e-12
4343.3,1.18841e-11,2.67468e-12
4483.48,1.09859e-11,2.46769e-12
4597.78,1.95892e-11,4.38879e-12
4688.65,1.81529e-11,4.07229e-12
4760.12,1.01364e-11,2.2696e-12
4850.38,1.66323e-11,3.7215e-12
4997.96,8.06713e-12,1.82393e-12
5129.08,2.29669e-11,5.13889e-12
5246.14,1.37455e-11,3.0181e-12
5334.59,1.45074e-11,3.17178e-12
5424.03,8.47336e-12,1.90746e-12
5529.39,1.10246e-11,2.35763e-12
5657.16,9.59527e-12,2.16801e-12
5814.04,1.45558e-11,3.19208e-12
5992.87,6.95857e-12,1.57226e-12
6219.42,8.53359e-12,1.93192e-12
6361.89,8.441e-12,1.89376e-12
6478.84,8.0383e-12,1.55236e-12
9963.09,2.86008e-12,7.29154e-13
10367.5,2.84313e-12,7.43451e-13
10761.2,3.76202e-12,8.51549e-13
12446.5,3.44779e-12,5.15067e-13
21468.3,1.82913e-12,4.77762e-13
22131.6,1.6601e-12,3.17635e-13
27370.7,1.20525e-12,3.14621e-13
28383.2,1.10196e-12,2.21206e-13
33883.2,7.27076e-13,1.4334e-13
39490.5,4.95169e-13,1.04592e-13
45029.8,6.29393e-13,1.67171e-13
46234.7,7.23648e-13,1.37038e-13
51552.5,4.40659e-13,8.62374e-14
57407,2.99512e-13,6.98096e-14
64928,3.17382e-13,5.38095e-14
92558.7,2.13591e-13,4.56537e-14
