t_s,flux,flux_err
86.5561,2.53507e-08,3.92436e-09
87.3636,2.9534e-08,4.48619e-09
88.267,2.18861e-08,3.57819e-09
89.2809,3.3706e-08,4.53555e-09
90.2382,2.73684e-08,4.1273e-09
91.0889,2.44812e-08,3.76609e-09
91.9573,2.58607e-08,3.82062e-09
92.9157,2.39774e-08,3.77103e-09
93.868,2.39325e-08,3.61196e-09
94.7519,2.79105e-08,4.08267e-09
95.675,2.14487e-08,3.25495e-09
96.74,2.16284e-08,3.15047e-09
97.975,1.94721e-08,4.01333e-09
99.1376,2.8011e-08,4.57529e-09
99.9209,2.67687e-08,5.67396e-09
100.958,2.18263e-08,4.8529e-09
102.214,1.79572e-08,3.0363e-09
103.443,1.88527e-08,3.50978e-09
104.617,2.09035e-08,3.29496e-09
105.855,1.68051e-08,2.59655e-09
107.297,1.60548e-08,2.70931e-09
108.86,1.96481e-08,3.41704e-09
110.132,1.87289e-08,2.99646e-09
111.526,1.82315e-08,2.99662e-09
112.954,1.68049e-08,2.68625e-09
114.576,1.49318e-08,2.39328e-09
116.237,1.43259e-08,2.49028e-09
118.152,1.32136e-08,2.24585e-09
119.985,1.51619e-08,2.31363e-09
121.646,1.34732e-08,2.21319e-09
123.613,1.36314e-08,2.4147e-09
125.321,1.64293e-08,2.52092e-09
127.211,1.17201e-08,1.72735e-09
129.162,1.44688e-08,2.35071e-09
131.013,1.07864e-08,1.53165e-09
132.088,1.11275e-08,1.49639e-09
133.214,9.06685e-09,1.24685e-09
134.376,1.03288e-08,1.39497e-09
135.418,9.40791e-09,1.22177e-09
136.546,1.2291e-08,1.53608e-09
137.59,1.01753e-08,1.29613e-09
138.635,1.0588e-08,1.40529e-09
139.771,1.11683e-08,1.46569e-09
140.706,1.19358e-08,1.5168e-09
141.929,8.23407e-09,1.09777e-09
143.093,9.80434e-09,1.30867e-09
144.359,8.74235e-09,1.16095e-09
145.539,9.17193e-09,1.22391e-09
146.861,8.45652e-09,1.11764e-09
148.134,8.52882e-09,1.10876e-09
149.427,1.0555e-08,1.3717e-09
150.591,9.17864e-09,1.17291e-09
151.754,9.02324e-09,1.18011e-09
153.174,7.41136e-09,9.67456e-10
154.673,7.78967e-09,1.04894e-09
156.131,7.65905e-09,9.9536e-10
157.618,7.18007e-09,9.62252e-10
158.917,1.04394e-08,1.37396e-09
160.271,5.96483e-09,7.91414e-10
162.091,7.19018e-09,9.63021e-10
163.536,6.92985e-09,9.11418e-10
165.114,7.88261e-09,1.04352e-09
166.542,8.44635e-09,1.07324e-09
167.977,6.71277e-09,8.81596e-10
169.702,6.75441e-09,8.64813e-10
171.561,5.9521e-09,7.68221e-10
173.462,6.10689e-09,8.03827e-10
175.1,6.29477e-09,8.03422e-10
176.996,5.26436e-09,6.72478e-10
179.196,5.41123e-09,6.99307e-10
181.075,7.23327e-09,9.37356e-10
182.899,5.33014e-09,6.96303e-10
184.94,6.0919e-09,8.20407e-10
186.522,5.78136e-09,7.50789e-10
187.747,6.29804e-09,8.21996e-10
188.645,7.57978e-09,9.46594e-10
189.574,7.97516e-09,1.00731e-09
190.503,5.47114e-09,7.26301e-10
191.865,6.00842e-09,7.78463e-10
192.804,6.41904e-09,8.54457e-10
193.986,5.255e-09,6.78466e-10
195.272,5.5537e-09,7.23656e-10
196.461,6.23905e-09,8.13236e-10
197.514,6.34647e-09,8.25405e-10
198.688,4.93611e-09,6.51475e-10
199.934,6.95938e-09,9.08097e-10
201.064,6.07711e-09,7.97889e-10
202.155,5.49205e-09,7.3039e-10
203.565,4.96493e-09,6.47918e-10
204.632,7.30718e-09,9.37329e-10
205.663,6.16442e-09,8.04671e-10
206.868,5.96829e-09,7.8243e-10
208.266,4.28986e-09,5.6064e-10
209.624,5.14681e-09,6.73407e-10
210.811,6.0251e-09,7.68855e-10
212.01,6.48874e-09,8.69451e-10
213.073,6.13021e-09,7.90588e-10
214.187,6.88593e-09,9.17275e-10
215.336,5.03045e-09,6.67299e-10
216.641,5.18883e-09,7.13045e-10
217.938,5.2498e-09,6.82844e-10
219.372,4.26775e-09,5.97796e-10
220.907,5.10537e-09,6.88982e-10
222.081,6.58878e-09,8.35023e-10
223.227,4.96734e-09,6.61643e-10
224.717,4.83882e-09,6.2646e-10
226.211,4.68868e-09,5.9976e-10
227.767,4.16246e-09,5.40059e-10
229.455,4.12604e-09,5.34555e-10
231.111,3.48585e-09,4.55917e-10
232.844,5.04483e-09,6.54552e-10
234.179,5.15685e-09,6.50499e-10
235.601,3.95576e-09,5.27314e-10
237.394,4.47787e-09,5.90691e-10
238.722,3.97202e-09,5.35754e-10
240.28,5.59826e-09,7.07305e-10
241.616,4.54389e-09,5.99161e-10
243.137,4.32337e-09,5.76172e-10
244.859,3.65776e-09,4.94829e-10
246.708,4.23248e-09,5.58263e-10
248.001,3.11023e-09,4.79662e-10
249.771,3.9589e-09,5.28972e-10
251.396,4.19562e-09,5.32552e-10
253.013,3.17258e-09,4.97774e-10
254.607,4.1835e-09,5.4051e-10
256.043,3.25526e-09,5.23561e-10
257.53,2.81892e-09,4.5002e-10
259.01,3.30005e-09,5.28066e-10
260.387,4.15e-09,5.42239e-10
261.951,3.26906e-09,5.02871e-10
263.412,3.30417e-09,5.27527e-10
264.974,3.73508e-09,4.77727e-10
266.566,3.27481e-09,5.13816e-10
268.22,3.68272e-09,4.78278e-10
270.066,3.86284e-09,4.96952e-10
271.936,2.27404e-09,3.61603e-10
273.779,3.92404e-09,5.08738e-10
275.533,3.28142e-09,5.20027e-10
276.894,3.35573e-09,4.9553e-10
278.584,3.35661e-09,4.42245e-10
280.336,3.1286e-09,4.96533e-10
281.865,2.92778e-09,5.02125e-10
283.25,4.65228e-09,6.19821e-10
284.735,3.18007e-09,4.92927e-10
286.311,3.15938e-09,4.92333e-10
287.614,3.41497e-09,5.22025e-10
289.091,3.31469e-09,5.05699e-10
290.482,3.04266e-09,4.65999e-10
291.95,3.40488e-09,5.05763e-10
293.589,2.88415e-09,4.65658e-10
295.253,2.45622e-09,3.83586e-10
296.973,3.06955e-09,4.76619e-10
298.465,3.2579e-09,4.93235e-10
300.133,3.64269e-09,4.7797e-10
302.071,2.43151e-09,3.74571e-10
303.749,3.08666e-09,5.0289e-10
305.254,3.11451e-09,4.89183e-10
306.753,2.69244e-09,4.17238e-10
308.433,3.03267e-09,4.70189e-10
309.955,2.75953e-09,4.26704e-10
311.796,2.27111e-09,3.54165e-10
313.524,2.56836e-09,4.12276e-10
314.835,2.54591e-09,4.0812e-10
316.184,3.64824e-09,4.97695e-10
317.372,2.71227e-09,4.14506e-10
318.54,3.29743e-09,4.9142e-10
319.7,2.90368e-09,4.49614e-10
320.917,3.0893e-09,5.05022e-10
321.951,3.20793e-09,5.17955e-10
322.921,3.28107e-09,5.05657e-10
323.891,3.19198e-09,4.48602e-10
325.35,2.87083e-09,4.50507e-10
326.579,3.25212e-09,4.61299e-10
327.914,3.55139e-09,4.55966e-10
329.252,3.17857e-09,4.87657e-10
330.555,2.29597e-09,3.61749e-10
331.805,3.33878e-09,5.09317e-10
332.956,2.50957e-09,3.83713e-10
334.248,2.76624e-09,4.22353e-10
335.629,1.99841e-09,3.28113e-10
337.293,2.32347e-09,3.61127e-10
338.626,2.86573e-09,4.43173e-10
339.837,2.36135e-09,3.79766e-10
341.372,2.34364e-09,3.76733e-10
342.596,3.1676e-09,4.99077e-10
343.913,2.22036e-09,3.46666e-10
345.129,2.84739e-09,4.37687e-10
346.68,2.08588e-09,3.26014e-10
347.994,2.95204e-09,4.5868e-10
349.276,3.45922e-09,4.50352e-10
350.501,3.26143e-09,5.01516e-10
351.679,2.57548e-09,3.95147e-10
352.994,2.42105e-09,3.70682e-10
354.482,2.21629e-09,3.45252e-10
356.277,1.62071e-09,2.47994e-10
358.201,1.96183e-09,3.30814e-10
359.495,3.17875e-09,4.8969e-10
360.931,2.03717e-09,3.19056e-10
362.249,2.73449e-09,4.18581e-10
363.87,1.94806e-09,3.02997e-10
365.4,1.97273e-09,3.0617e-10
366.883,2.4297e-09,3.8573e-10
368.445,2.07008e-09,3.33981e-10
370.261,2.0968e-09,3.49481e-10
371.868,2.04197e-09,3.29512e-10
373.388,2.39831e-09,3.74351e-10
374.87,2.53166e-09,3.85543e-10
376.162,3.0917e-09,4.74792e-10
377.387,2.89624e-09,4.41502e-10
378.661,2.53505e-09,4.01226e-10
379.969,2.1247e-09,3.24024e-10
381.756,1.98375e-09,3.13805e-10
383.145,2.65436e-09,4.19588e-10
384.797,1.90313e-09,2.89587e-10
386.298,1.65694e-09,2.62092e-10
388.417,2.26348e-09,3.48685e-10
389.754,2.34579e-09,3.59734e-10
391.221,2.25337e-09,3.51039e-10
392.913,1.95458e-09,3.15132e-10
394.339,2.29192e-09,3.59237e-10
395.824,2.13063e-09,3.28299e-10
397.605,2.14276e-09,3.32878e-10
399.018,2.08834e-09,3.199e-10
400.588,2.03514e-09,3.25076e-10
402.135,2.46069e-09,3.91237e-10
403.62,1.9777e-09,3.02231e-10
405.543,1.59734e-09,2.57541e-10
407.515,1.68991e-09,2.74039e-10
409.185,1.89961e-09,3.07624e-10
410.677,3.08638e-09,4.91603e-10
411.935,2.4694e-09,3.92113e-10
413.288,2.27406e-09,3.60029e-10
414.514,2.76632e-09,4.31402e-10
416.075,1.97582e-09,3.02873e-10
417.528,2.12662e-09,3.25266e-10
419.134,2.46989e-09,3.84216e-10
420.674,1.9508e-09,2.97708e-10
422.379,1.69183e-09,2.68097e-10
424.387,1.82105e-09,2.83396e-10
426.333,1.77715e-09,2.7302e-10
427.884,1.88306e-09,3.04483e-10
429.684,2.38252e-09,3.72177e-10
431.187,1.78363e-09,2.81571e-10
432.878,2.04849e-09,3.18076e-10
434.45,2.4604e-09,3.82668e-10
436.165,1.81153e-09,2.82181e-10
437.594,2.64928e-09,4.04382e-10
438.58,1.90884e-09,2.84567e-10
439.498,2.04179e-09,3.04386e-10
440.488,1.71218e-09,2.60604e-10
441.401,2.10081e-09,3.19758e-10
442.344,1.70612e-09,2.54348e-10
443.431,1.62432e-09,2.47236e-10
444.511,1.52587e-09,2.27478e-10
445.982,1.17348e-09,1.82397e-10
447.122,1.76978e-09,2.63839e-10
448.087,1.73079e-09,2.69017e-10
449.226,1.44045e-09,2.19245e-10
450.286,1.60392e-09,2.44127e-10
451.298,1.81576e-09,2.70689e-10
452.244,1.63117e-09,2.5353e-10
453.361,1.54653e-09,2.35391e-10
454.335,1.56307e-09,2.42946e-10
455.371,1.71373e-09,2.6084e-10
456.402,1.54803e-09,2.30778e-10
457.496,1.79552e-09,2.67674e-10
458.554,1.40283e-09,2.13522e-10
459.778,1.38628e-09,2.06667e-10
461.031,1.37459e-09,2.04925e-10
462.059,1.86554e-09,2.78115e-10
463.253,1.38298e-09,2.105e-10
464.284,1.73801e-09,2.59102e-10
465.382,1.41273e-09,2.1958e-10
466.555,1.65189e-09,2.46263e-10
467.567,1.53146e-09,2.28311e-10
468.654,1.56112e-09,2.32734e-10
469.758,1.55872e-09,2.32377e-10
470.894,1.50164e-09,2.33403e-10
471.896,1.86624e-09,2.78222e-10
472.792,2.15307e-09,3.20982e-10
473.656,1.80026e-09,2.68384e-10
474.727,1.47369e-09,2.19697e-10
475.854,1.66107e-09,2.47631e-10
477.197,1.16055e-09,1.73012e-10
478.323,1.68474e-09,2.56427e-10
479.521,1.17475e-09,1.86491e-10
480.78,1.40347e-09,2.22801e-10
482.167,1.24712e-09,1.89819e-10
483.31,1.45325e-09,2.16648e-10
484.57,1.38453e-09,2.06404e-10
485.686,1.5438e-09,2.30149e-10
486.996,1.21103e-09,1.8054e-10
488.29,1.59738e-09,2.38136e-10
489.294,1.58947e-09,2.36958e-10
490.388,1.69248e-09,2.52313e-10
491.5,1.39837e-09,2.08467e-10
492.686,1.4351e-09,2.13941e-10
