t_s,flux,flux_err
64.6312,1.3911e-07,1.52724e-08
65.2039,1.62147e-07,1.73822e-08
65.8857,1.13121e-07,1.2736e-08
66.7169,1.14796e-07,1.23589e-08
67.4195,1.2677e-07,1.39892e-08
68.2058,9.52381e-08,1.10978e-08
69.048,1.11444e-07,1.21988e-08
69.9206,1.03441e-07,1.1653e-08
70.718,1.17759e-07,1.29412e-08
71.5176,1.18248e-07,1.33071e-08
72.2798,1.04035e-07,1.16536e-08
73.072,1.37551e-07,1.4546e-08
73.8024,1.08818e-07,1.18878e-08
74.6874,9.86439e-08,1.1138e-08
75.4654,1.23393e-07,1.35912e-08
76.2173,1.21618e-07,1.36193e-08
76.9309,1.23119e-07,1.37883e-08
77.6996,1.10651e-07,1.22922e-08
78.5102,1.21034e-07,1.33342e-08
79.2278,1.21899e-07,1.33042e-08
79.9665,1.26944e-07,1.35482e-08
80.7082,1.32561e-07,1.40878e-08
81.3762,1.33645e-07,1.44957e-08
82.1036,1.14829e-07,1.27904e-08
82.8992,1.07464e-07,1.20451e-08
83.664,1.29102e-07,1.46555e-08
84.329,1.26618e-07,1.38924e-08
85.172,9.17608e-08,1.02354e-08
86.1063,1.07832e-07,1.21386e-08
86.9024,9.73918e-08,1.10993e-08
87.7748,1.16378e-07,1.30925e-08
88.581,1.04177e-07,1.16782e-08
89.5035,9.71895e-08,1.06719e-08
90.4491,9.07653e-08,1.03899e-08
91.4181,9.42111e-08,1.06431e-08
92.2244,1.14916e-07,1.2701e-08
93.0551,1.16932e-07,1.2335e-08
93.8811,1.04453e-07,1.13784e-08
94.8344,9.71015e-08,1.0492e-08
95.6746,1.14147e-07,1.25298e-08
96.4828,1.08943e-07,1.19559e-08
97.3613,1.04009e-07,1.14215e-08
98.1804,9.98883e-08,1.09219e-08
99.1677,9.95629e-08,1.0712e-08
100.025,9.88012e-08,1.06308e-08
101.126,7.8046e-08,8.69458e-09
102.359,7.3604e-08,8.08164e-09
103.468,8.12822e-08,9.03637e-09
104.553,8.6467e-08,9.57072e-09
105.669,7.361e-08,8.1449e-09
106.779,8.21309e-08,9.20393e-09
108.008,6.79324e-08,7.64322e-09
109.227,7.76913e-08,8.69939e-09
110.291,9.88935e-08,1.05031e-08
111.316,7.2726e-08,7.97754e-09
112.599,6.41143e-08,7.33167e-09
113.783,8.70804e-08,9.35855e-09
114.935,7.49696e-08,8.3246e-09
116.271,6.09027e-08,6.93416e-09
117.513,8.14851e-08,8.51479e-09
118.852,6.05092e-08,6.64053e-09
120.421,5.87313e-08,6.52305e-09
121.908,6.12533e-08,6.80543e-09
123.218,6.72444e-08,7.53387e-09
124.616,5.9935e-08,6.58307e-09
126.046,5.95716e-08,6.6288e-09
127.568,6.56591e-08,7.24399e-09
129.098,5.08122e-08,5.7697e-09
130.642,6.2773e-08,6.92511e-09
132.139,6.69807e-08,7.31118e-09
133.376,7.08872e-08,7.74981e-09
134.743,6.74028e-08,7.48049e-09
136.163,6.08207e-08,6.99184e-09
137.746,5.41162e-08,6.19108e-09
139.55,4.90369e-08,5.67e-09
141.15,5.88386e-08,6.68964e-09
142.663,6.05645e-08,7.35389e-09
144.307,5.05593e-08,6.90241e-09
146.122,4.64166e-08,6.10695e-09
148.189,4.48989e-08,6.21877e-09
150.062,4.98256e-08,6.60389e-09
151.997,4.05428e-08,5.52999e-09
153.659,4.83949e-08,5.53524e-09
154.534,4.83762e-08,5.3893e-09
155.348,4.94818e-08,5.5861e-09
156.192,4.65339e-08,5.22734e-09
157.099,4.02666e-08,4.52962e-09
158.063,4.29823e-08,4.89681e-09
158.953,4.47598e-08,5.0765e-09
159.903,4.00653e-08,4.49149e-09
160.887,4.10195e-08,4.7649e-09
161.826,4.61526e-08,5.07832e-09
162.775,3.81972e-08,4.40712e-09
163.757,3.8951e-08,4.33779e-09
164.775,4.32791e-08,4.83325e-09
165.691,4.22326e-08,4.71726e-09
166.629,4.31984e-08,4.76573e-09
167.571,4.37075e-08,4.94273e-09
168.536,3.87928e-08,4.38753e-09
169.581,3.73785e-08,4.25326e-09
170.565,4.28285e-08,4.93023e-09
171.46,4.8323e-08,5.53241e-09
172.256,3.43022e-08,4.53683e-09
173.113,3.89786e-08,4.38531e-09
174.179,4.01567e-08,4.58681e-09
175.033,3.12116e-08,4.42853e-09
175.852,3.53712e-08,4.58689e-09
176.842,3.85909e-08,4.35648e-09
177.763,3.46407e-08,4.80347e-09
178.606,4.06592e-08,4.63932e-09
179.492,3.56377e-08,4.88239e-09
180.27,3.55644e-08,4.74691e-09
181.048,3.47786e-08,4.77623e-09
182.013,3.7358e-08,4.34247e-09
183.041,3.15115e-08,4.36727e-09
183.916,4.3972e-08,4.98854e-09
184.868,4.02093e-08,4.56294e-09
185.792,3.35365e-08,4.19661e-09
186.709,3.41701e-08,4.62131e-09
187.607,2.63981e-08,3.79626e-09
188.46,3.32843e-08,4.64668e-09
189.229,3.36185e-08,4.8231e-09
