t_s,flux,flux_err
82.3849,3.86135e-09,5.95553e-10
83.0211,2.46084e-09,3.6684e-10
83.8926,2.04672e-09,3.05392e-10
84.7027,2.97429e-09,4.48093e-10
85.5132,2.85772e-09,4.33041e-10
86.3281,2.3072e-09,3.62579e-10
87.3188,2.92076e-09,5.55641e-10
89.3885,2.16184e-09,3.22072e-10
98.786,1.53293e-09,2.4602e-10
100.735,1.15091e-09,1.86197e-10
103.625,7.99601e-10,1.33735e-10
107.083,7.1193e-10,1.34976e-10
111.987,6.09728e-10,1.33375e-10
117.892,3.93904e-10,1.00127e-10
124.951,5.96169e-10,1.21248e-10
178.264,1.42655e-10,2.9814e-11
243.518,1.68145e-10,3.78984e-11
284.849,2.19643e-10,4.95056e-11
324.965,1.86907e-10,4.10965e-11
359.695,2.72167e-10,5.99189e-11
380.289,2.6113e-10,5.87003e-11
409.39,2.98651e-10,6.55831e-11
434.866,2.85191e-10,6.47099e-11
464.724,2.00164e-10,4.4067e-11
501.541,2.37348e-10,5.35674e-11
533.192,2.50779e-10,5.51404e-11
558.305,3.78959e-10,8.32186e-11
580.66,2.40368e-10,5.39616e-11
609.369,3.50096e-10,7.52728e-11
635.304,3.27676e-10,6.57435e-11
664.44,2.39778e-10,5.39722e-11
687.84,3.77987e-10,8.27958e-11
708.964,3.35091e-10,7.34924e-11
735.267,3.31324e-10,6.93245e-11
756.727,3.5921e-10,8.08554e-11
777.591,3.66976e-10,7.68727e-11
802.652,3.28716e-10,6.93377e-11
821.091,3.77375e-10,8.28707e-11
846.712,2.61254e-10,5.88845e-11
877.828,2.88048e-10,6.47513e-11
898.373,2.86016e-10,6.45515e-11
924.355,3.01431e-10,6.63615e-11
951.346,3.31338e-10,6.90889e-11
970.091,3.79371e-10,8.29942e-11
995.38,2.50566e-10,5.52333e-11
1022.5,3.59565e-10,8.10429e-11
1044.86,3.51179e-10,7.54144e-11
1064.53,4.97199e-10,8.95284e-11
1089.12,3.02256e-10,6.65432e-11
1118.81,2.43397e-10,5.22687e-11
1151.32,3.16514e-10,6.76433e-11
1171.93,3.19633e-10,7.19468e-11
1201.51,2.36748e-10,5.39348e-11
1227.97,2.87318e-10,6.45018e-11
1244.65,4.10762e-10,9.22143e-11
1268.34,3.2048e-10,7.19463e-11
1290.53,2.8528e-10,6.47302e-11
1314.97,2.62015e-10,5.89776e-11
1349.76,2.00034e-10,4.42067e-11
1380.91,2.61303e-10,5.88172e-11
1408.4,3.02023e-10,6.64919e-11
1431.66,3.54046e-10,6.84709e-11
1456.14,2.87354e-10,6.4767e-11
1484.84,2.8664e-10,6.46922e-11
1510.1,4.06184e-10,7.32647e-11
1537.09,3.30642e-10,6.95824e-11
1562.08,3.59338e-10,8.09918e-11
1585.34,3.12952e-10,6.43767e-11
1617.94,2.31564e-10,5.09154e-11
1651,2.53822e-10,5.34778e-11
1677.4,2.51311e-10,5.51874e-11
1709.27,2.49513e-10,5.50711e-11
1739.64,3.28401e-10,6.91109e-11
1765.16,2.38588e-10,5.39911e-11
1791.99,2.60438e-10,5.87006e-11
1824.42,1.78282e-10,4.03983e-11
1862.1,2.52296e-10,5.51942e-11
1891,2.503e-10,5.52448e-11
1924.25,2.03727e-10,4.61022e-11
1953.81,3.02598e-10,6.6366e-11
1975.66,3.58926e-10,8.07914e-11
2009.36,1.89695e-10,4.29843e-11
2046.6,1.80015e-10,4.04663e-11
2085.72,1.99471e-10,4.41946e-11
