t_days,flux,flux_err
1.13874,8.75657,0.175597
2.64949,17.0764,0.462953
4.19438,1.82347,0.0403891
4.95973,2.29183,0.0430612
6.20265,1.78234,0.0268437
7.58279,1.8731,0.0345149
8.17563,1.47452,0.0232235
13.6602,1.36609,0.0246346
14.8387,1.53399,0.0252936
140.33,0.390935,0.0281785
154.884,0.345889,0.0158113
168.806,0.586288,0.022037
182.115,0.936928,0.0397421
196.723,0.318929,0.0333889
210.108,0.665278,0.0248654
435.824,0.291488,0.0262557
439.368,0.235768,0.00936765
446.723,0.254166,0.00861461
455.896,0.586577,0.0226965
465.216,0.222784,0.0114497
475.634,0.256924,0.0113731
495.502,0.353278,0.01534
515.312,0.227802,0.0126542
525.389,0.214154,0.00959996
535.591,0.199695,0.00907458
546.776,0.195894,0.0085165
555.224,0.193533,0.00810319
565.408,0.228009,0.00957744
575.376,1.05883,0.0472876
584.245,0.201796,0.008206
595.083,0.186243,0.00902796
605.531,0.215035,0.00912629
615.084,0.225782,0.00873541
625.263,0.199853,0.00969392
635.143,0.202697,0.00877436
641.854,0.388037,0.0170195
715.693,0.180874,0.00822364
726.136,0.313986,0.0139549
745.645,0.207146,0.0227764
755.447,0.163491,0.00941769
765.276,0.19269,0.00961548
775.913,0.208773,0.00874798
785.858,0.191307,0.0103793
795.433,0.309274,0.0147697
804.33,0.163695,0.00949787
814.549,0.177321,0.0107045
824.447,0.201455,0.00939808
835.095,0.411748,0.0221664
844.833,0.333774,0.0153389
854.574,0.170283,0.00919253
864.458,0.191066,0.00991593
874.627,0.163325,0.00986519
897.44,0.197324,0.0131129
914.598,0.189742,0.00884342
924.234,0.153701,0.0182927
928.149,0.186281,0.012704
934.432,0.179549,0.0113572
938.717,0.190982,0.00856534
944.841,0.186476,0.00928316
954.405,0.187463,0.00916556
964.446,0.187695,0.0086117
994.878,0.181747,0.00890685
1004.4,0.151169,0.0089299
1080.83,0.266368,0.0157659
1090.73,0.213968,0.00936381
1100.26,0.337973,0.0166123
1110.55,0.301368,0.0172793
1120.31,0.168051,0.00902179
1130.71,0.349701,0.017459
1140.46,0.194239,0.00863288
1150.09,0.99475,0.044147
1160.75,0.201092,0.0121197
1193.6,0.200164,0.0249653
1206.97,0.195327,0.037381
1608.42,0.194075,0.0177632
1610.47,0.448343,0.0166093
2577.74,0.119775,0.0164511
2581.93,0.134711,0.0200292
2585.65,0.108253,0.0179662
2593.56,0.143669,0.0174356
2599.2,0.13861,0.0139648
2609.85,0.175447,0.0173418
2613.54,0.14002,0.0172392
2629.06,0.132641,0.0144606
2632.51,0.0997001,0.0138547
2635.44,0.0940156,0.0282629
2637.33,0.1606,0.0296581
2648.38,0.105373,0.0136281
2649.85,0.126984,0.00944933
3677.68,0.151548,0.0105703
3679.03,0.144103,0.0104664
4843.53,0.170392,0.0180925
5283.65,0.161858,0.0111664
5525.4,0.226224,0.0148891
6221.89,0.484208,0.0256115
