t_days,flux,flux_err
26.7598,0.0233329,0.0038231
33.6979,0.026629,0.00395297
40.749,0.0300755,0.00525464
47.4049,0.0202733,0.00401099
51.6464,0.026379,0.00304199
54.5457,0.0265066,0.00445499
61.7865,0.0193931,0.00483866
63.5047,0.0257297,0.00464282
68.2723,0.0279435,0.00494965
71.3114,0.0294726,0.0039478
75.5725,0.0215305,0.00450547
81.5017,0.0235797,0.00371389
235.482,0.0346636,0.00383624
237.349,0.0280789,0.00254287
242.514,0.0308586,0.00330771
249.695,0.0268786,0.00296491
259.175,0.0302918,0.00307438
284.199,0.0285167,0.00461962
284.832,0.0190535,0.00325171
285.767,0.0310743,0.00391381
286.127,0.0221352,0.00591181
291.62,0.0367653,0.00582199
378,0.0299266,0.00438616
534.768,0.0220193,0.00274647
684.807,0.0209361,0.0033927
691.436,0.0247508,0.00385091
696.911,0.0193589,0.00304284
697.544,0.0177404,0.00754836
705.891,0.0231533,0.00508366
711.227,0.0322383,0.00510725
718.422,0.0236315,0.004483
719.838,0.407167,0.0323343
722.755,0.0730791,0.00280232
724.583,0.0326904,0.00517288
726.816,0.0257862,0.00411525
733.873,0.0242256,0.00340325
743.363,0.0247131,0.00368984
754.505,0.0272144,0.00351966
1921.32,0.0154635,0.00360984
1948.87,0.0724823,0.00810334
1949.07,0.0575845,0.00719453
1959.9,0.0268156,0.0022222
2106.9,0.0268946,0.00548801
2119.65,0.0178074,0.00419429
2123.83,4.02978,0.140312
2124.83,0.0895928,0.0063728
2125.76,0.0825691,0.00717096
2126.5,0.0627349,0.00652288
2127.52,0.0689048,0.00674836
2128.82,0.045727,0.00864547
2129.94,0.0596406,0.00691456
2130.41,0.0494894,0.00426074
2131.34,0.043715,0.00566763
2132.31,0.0391309,0.00681193
2133.63,0.0497013,0.00478475
2136.56,0.0606535,0.00546355
2154.61,0.0293521,0.00443969
2162.28,0.0272197,0.00489627
2168.32,0.0291368,0.00405594
2171.51,0.0332428,0.00477496
2175.66,0.0416283,0.0047817
2182.4,0.0312,0.0035088
2189.73,0.0316713,0.00355953
2196.67,0.0336814,0.00358208
2203.61,0.0317299,0.00529932
2208.96,0.0444491,0.00836962
2217.52,0.0305419,0.00418628
2222.09,0.0141901,0.00613184
2224.62,0.0246301,0.00383191
2231.79,0.028053,0.00716489
2233.92,0.0344162,0.00435199
2243.78,0.0275543,0.00356378
2254.3,0.0345998,0.0039325
2287.93,0.0306868,0.00452721
2291.34,0.0333031,0.00493113
2292.71,0.0298181,0.00649019
2293.63,0.0283551,0.00645413
2413.1,0.0359775,0.00703058
2416.22,0.0306782,0.00390221
2421.53,0.033559,0.00418479
2428.5,0.0336882,0.005869
2433.87,0.026951,0.00469668
2435.5,0.0261915,0.0041842
2525.07,0.0349226,0.00432477
2547.24,0.0242522,0.00419996
2559.4,0.0280004,0.00429834
2560.56,0.0316844,0.0060935
2565.09,0.029577,0.00376728
2570.6,0.0279668,0.00582434
2573.6,0.0328433,0.00787598
2622.52,0.028034,0.0054966
2625.06,0.0515606,0.00676855
2628.55,0.0610012,0.0113236
2632.54,0.0454608,0.00766982
2633.46,0.0340728,0.00685338
2636.52,0.0408049,0.00596931
2643.49,0.0301112,0.00496007
2650.69,0.0403441,0.0068232
2664.45,0.032857,0.00976578
2678.4,0.0453683,0.00707624
2706.33,0.0404118,0.00664607
2720.27,0.0403789,0.00750619
2730.94,0.0402403,0.00748169
2732.44,0.0463708,0.00796858
2734.13,0.0351953,0.00477971
2886.92,0.0361239,0.0055958
2888.77,0.0391684,0.00587082
2965.43,0.0228328,0.00435378
2990.62,0.0253845,0.00482164
3009.46,0.0278636,0.00480169
3019.39,0.0426981,0.00590455
3029.4,0.055724,0.00992072
3032.32,0.0646334,0.00874384
3034.37,0.0728171,0.00823503
3039.34,0.0540756,0.00663681
3045.18,0.0519695,0.00627909
3063.33,0.0558205,0.00722538
3072.28,0.0492604,0.00637697
3080.29,0.0429325,0.00581772
3185.05,0.034713,0.00525942
3231.83,0.0327317,0.00520198
3241.81,0.0364656,0.00675657
3250.81,0.0338063,0.0051156
3262.84,0.0283438,0.00502534
3272.76,0.0240931,0.00435358
3282.81,0.0141737,0.0053929
3296.96,0.0259646,0.00486848
3399.44,0.0305725,0.00518165
3629.81,0.0212851,0.00407087
3773.9,0.0225653,0.00422254
3800.13,0.026827,0.00426288
3957.49,0.0211959,0.00487191
4105.32,0.0284633,0.00466285
