t_days,flux,flux_err
0.893598,0.17392,0.0143798
1.08685,0.177495,0.00679096
3.07877,0.167309,0.0116772
51.9416,0.0825848,0.00802348
55.7381,0.0887005,0.0140938
55.8212,0.10874,0.00844997
65.6568,0.111744,0.00965247
93.8994,0.0769944,0.00817034
111.834,0.0689438,0.00972927
112.328,0.0762981,0.00803194
120.202,0.0730594,0.00521961
136.653,0.0625307,0.00469905
148.237,0.0671215,0.00562842
153.725,0.0410343,0.00699637
162.315,0.0540922,0.00507821
176.371,0.048587,0.00674086
179.781,0.0524819,0.00591224
183.955,0.0532948,0.00384615
198.431,0.0535008,0.00413663
211.245,0.0430395,0.00347882
228.202,0.0457281,0.00388874
239.494,0.0400244,0.00358959
340.667,0.021199,0.00250767
354.445,0.0150731,0.00243382
368.675,0.0128156,0.00208508
382.251,0.00992749,0.00176888
396.458,0.0134587,0.00213785
410.538,0.0109585,0.0018973
424.477,0.0114462,0.00193106
438.274,0.00992779,0.00255373
443.881,0.00689211,0.00209518
452.026,0.0100541,0.00320194
471.776,0.00884605,0.00493005
473.393,0.00807916,0.00435897
474.593,0.00572935,0.00214123
475.35,0.00857235,0.00280517
481.095,0.00577958,0.00308114
488.52,0.00543241,0.00183912
493.539,0.00713708,0.00190023
514.484,0.0104414,0.00523904
516.361,0.0106894,0.00484917
561.528,0.00686859,0.00161348
591.869,0.00316733,0.0010995
