t_days,flux,flux_err
74.5788,0.0423519,0.0112772
655.531,2.00329,0.0421168
663.864,1.77764,0.041994
674.955,1.94452,0.0597535
683.098,1.85994,0.0381734
693.215,1.6702,0.0398067
839.501,0.942958,0.0317504
932.784,0.512372,0.0257515
934.226,0.497526,0.0183216
938.454,0.446897,0.0212039
941.217,0.446113,0.0161459
944.369,0.444411,0.0130338
956.317,0.423759,0.0214439
957.399,0.492288,0.0254423
970.249,0.401022,0.014517
984.626,0.452719,0.0138171
998.463,0.392517,0.013739
1168.71,0.16803,0.00784787
1169.18,0.173713,0.0147359
1170,0.179342,0.0243119
1175.4,0.170037,0.014277
1196.73,0.162193,0.00841436
1214.54,0.134994,0.0189581
1227.8,0.149723,0.00824939
1257.81,0.138449,0.00954235
1258.83,0.153861,0.0153093
1288.43,0.0995159,0.0143486
1293.88,0.114873,0.0208908
1294.5,0.122078,0.00855054
1318.81,0.10067,0.0071185
1349.57,0.13597,0.00757255
1380.13,0.112535,0.00703709
1412.71,0.101132,0.00632139
1436.51,0.0989918,0.00615758
1560.19,0.071025,0.00614377
1591.44,0.0821912,0.00513856
1621.66,0.0771169,0.00522517
1652.34,0.0663494,0.00594179
1682.47,0.0625386,0.00529687
1713.5,0.0665827,0.00506006
1744.33,0.059124,0.0071048
1745.35,0.0660874,0.00724381
1779.56,0.0530561,0.00484679
1802.58,0.0673609,0.00470812
1901.42,0.0581581,0.00447807
1928.67,0.0625833,0.00740967
1960.46,0.0607737,0.00491236
1990.75,0.0636042,0.00629422
2021.31,0.0497138,0.00537898
2052.11,0.0605126,0.00503058
2082.52,0.0458037,0.0035693
2113.44,0.0560044,0.00545269
2143.49,0.0440296,0.00432895
2263.56,0.0492215,0.00420169
2323.64,0.0570716,0.00773298
2324.43,0.0445451,0.00648722
2328.9,0.0451493,0.00491967
2332.76,0.0472196,0.007102
2353.32,0.0496699,0.00482348
2384.08,0.0628018,0.00744198
2414.55,0.0451324,0.00397018
2445.4,0.0427984,0.00520015
2506.52,0.0525561,0.00463888
2628.55,0.0416561,0.00637662
2631.59,0.0406837,0.00464281
2687.39,0.0460609,0.00400002
2748.26,0.0493289,0.00537335
2809.39,0.0378412,0.00525079
2812.63,0.0394651,0.00503251
