episode,mjd,fluence_jyms,energy_erg
xu2022_spring,59307.33458421,0.1778,
xu2022_spring,59307.33458454,2.5309,
xu2022_spring,59307.33691735,0.1997,
xu2022_spring,59307.34946576,8.7371,
xu2022_spring,59307.35424928,0.9421,
xu2022_spring,59307.35510945,0.1554,
xu2022_spring,59307.35819922,2.3698,
xu2022_spring,59307.36026988,4.8846,
xu2022_spring,59307.36444168,0.1678,
xu2022_spring,59307.36934568,1.0378,
xu2022_spring,59307.37261278,10.5216,
xu2022_spring,59307.38301794,10.9699,
xu2022_spring,59307.38661988,0.7355,
xu2022_spring,59307.39754657,3.379,
xu2022_spring,59307.39895019,0.5491,
xu2022_spring,59307.40295594,2.2901,
xu2022_spring,59307.40538755,0.4896,
xu2022_spring,59307.40804308,0.0653,
xu2022_spring,59307.4104706,4.2819,
xu2022_spring,59307.41055686,0.1814,
xu2022_spring,59307.41204161,0.0912,
xu2022_spring,59308.34090336,3.8573,
xu2022_spring,59308.34142646,0.0984,
xu2022_spring,59308.35603867,0.199,
xu2022_spring,59308.36733551,0.3619,
xu2022_spring,59308.36733596,7.0382,
xu2022_spring,59308.37029418,5.7179,
xu2022_spring,59308.37351489,4.1616,
xu2022_spring,59308.37654871,0.539,
xu2022_spring,59308.37782165,1.1531,
xu2022_spring,59308.37988496,0.8072,
xu2022_spring,59308.38739536,3.0405,
xu2022_spring,59308.38771757,11.4478,
xu2022_spring,59308.38919907,0.3274,
xu2022_spring,59308.38924766,0.8613,
xu2022_spring,59308.3923598,1.6043,
xu2022_spring,59308.39343816,30.7824,
xu2022_spring,59308.39633223,1.1318,
xu2022_spring,59308.40630923,0.147,
xu2022_spring,59308.40852931,19.1826,
xu2022_spring,59308.40852969,0.1261,
xu2022_spring,59308.41079118,0.1568,
xu2022_spring,59309.34867057,0.0386,
xu2022_spring,59309.35144894,0.157,
xu2022_spring,59309.35633752,4.6773,
xu2022_spring,59309.35666093,0.3008,
xu2022_spring,59309.36650751,0.2306,
xu2022_spring,59309.37318289,1.7085,
xu2022_spring,59309.37787748,10.7342,
xu2022_spring,59309.37930012,2.1099,
xu2022_spring,59309.38264543,22.0387,
xu2022_spring,59309.38568115,0.0594,
xu2022_spring,59309.38964224,1.1018,
xu2022_spring,59309.39894815,0.8688,
xu2022_spring,59309.3989485,0.1218,
xu2022_spring,59309.40344651,0.3195,
xu2022_spring,59309.40344671,0.5046,
xu2022_spring,59309.4050835,0.4838,
xu2022_spring,59309.40579057,19.6738,
xu2022_spring,59309.40723892,1.1538,
xu2022_spring,59309.40778862,3.8955,
xu2022_spring,59309.40996289,0.2074,
xu2022_spring,59309.41097827,0.2112,
xu2022_spring,59309.41636433,2.8821,
xu2022_spring,59309.41758383,1.9811,
xu2022_spring,59309.42276945,1.0675,
xu2022_spring,59310.34008104,0.8234,
xu2022_spring,59310.34145862,2.8262,
xu2022_spring,59310.34145908,3.2402,
xu2022_spring,59310.34232197,3.2429,
xu2022_spring,59310.346962,4.8675,
xu2022_spring,59310.35124773,2.6731,
xu2022_spring,59310.35276156,0.931,
xu2022_spring,59310.35398946,3.3174,
xu2022_spring,59310.35883006,0.5797,
xu2022_spring,59310.35888685,7.1597,
xu2022_spring,59310.35888736,0.3085,
xu2022_spring,59310.36376733,2.3088,
xu2022_spring,59310.36396341,0.7723,
xu2022_spring,59310.36945328,5.7664,
xu2022_spring,59310.37699269,15.3838,
xu2022_spring,59310.37889157,0.0597,
xu2022_spring,59310.38343127,0.6405,
xu2022_spring,59310.38465673,2.2848,
xu2022_spring,59310.39128915,0.3838,
xu2022_spring,59310.39221599,1.3267,
xu2022_spring,59310.39492442,1.895,
xu2022_spring,59310.39772848,6.6853,
xu2022_spring,59310.40007828,1.4869,
xu2022_spring,59310.40282432,2.4099,
xu2022_spring,59310.40282456,0.2478,
xu2022_spring,59310.40284272,0.1146,
