burst_id,mjd_bary,fluence_jyms,energy_1e36erg
0,59880.497624400,0.552,39.79
1,59880.497624673,0.429,30.97
2,59880.497684224,0.993,71.61
3,59880.497945389,0.619,44.63
4,59880.497991706,0.13,9.4
5,59880.498128495,0.465,33.55
6,59880.498199601,1.24,89.42
7,59880.498605364,0.834,60.19
8,59880.498635029,0.022,1.59
9,59880.498915641,0.679,48.98
10,59880.498975661,0.028,1.99
11,59880.499336569,0.158,11.41
12,59880.499336983,0.123,8.89
13,59880.499338112,0.196,14.15
14,59880.499412121,0.548,39.5
15,59880.499483815,1.807,130.37
16,59880.499484293,0.247,17.78
17,59880.499501978,0.133,9.56
18,59880.499502174,0.03,2.18
19,59880.499750414,0.172,12.44
20,59880.500136741,0.037,2.63
21,59880.500137209,0.051,3.7
22,59880.500137396,0.14,10.1
23,59880.500159178,1.013,73.07
24,59880.500295925,4.599,331.75
25,59880.500298100,0.117,8.46
26,59880.500460962,0.051,3.67
27,59880.500639465,1.417,102.23
28,59880.500865537,1.302,93.9
29,59880.500869151,0.04,2.87
30,59880.501113342,0.015,1.06
31,59880.501161509,0.125,9.02
32,59880.501495529,0.338,24.42
33,59880.501581568,3.446,248.56
34,59880.501657862,0.67,48.36
35,59880.501670265,0.176,12.71
36,59880.501891334,0.077,5.55
37,59880.502355357,1.477,106.55
38,59880.502364614,1.885,136.01
39,59880.502442170,0.053,3.83
40,59880.502639672,0.02,1.47
41,59880.502663636,1.318,95.04
42,59880.502673457,0.272,19.66
43,59880.502696016,2.828,204.03
44,59880.503233050,0.006,0.44
45,59880.503282601,0.785,56.61
46,59880.503327893,0.416,30.03
47,59880.503426932,0.313,22.61
48,59880.503427100,0.428,30.85
49,59880.503427278,0.042,3.02
50,59880.503427760,1.111,80.17
51,59880.503537521,0.072,5.2
52,59880.503586160,0.972,70.11
53,59880.503742354,0.041,2.95
54,59880.503742622,0.749,54.06
55,59880.503848613,0.038,2.71
56,59880.503924681,0.032,2.31
57,59880.503927716,0.076,5.48
58,59880.504064524,0.019,1.38
59,59880.504142897,4.761,343.44
60,59880.504188395,0.248,17.9
