burst_id,mjd_topo,snr
B00001,60337.23827975,29.7
B00007,60337.25012753,38.3
B00009,60338.21737789,46.9
B00011,60338.22518088,20.4
B00012,60338.22802442,42.8
B00018,60338.2351148,22
B00019,60338.23556485,33
B00028,60341.1989545,20.5
B00031,60349.15748811,28.8
B00032,60349.15783813,34.6
B00036,60349.17024308,27.1
B00038,60353.21823158,22.6
B00040,60353.21881262,53.7
B00041,60353.22005065,232
B00042,60353.22142293,39.2
B00045,60353.22460938,88.9
B00049,60353.23247484,150.2
B00050,60353.23540777,47.8
B00054,60355.13513439,23.8
B00055,60355.13538984,48.3
B00059,60355.1407487,41.6
B00060,60355.14113038,29.3
B00061,60355.14342774,22.9
B00063,60355.14493844,28
B00064,60355.14692734,93.2
B00065,60355.14867853,52.9
B00067,60355.15023324,146
B00069,60355.15054853,58.1
B00070,60355.15102514,198.3
B00075,60361.18273693,29
B00077,60361.18337848,31.4
B00080,60361.18610773,47
B00081,60361.18610788,53.3
B00083,60361.18637712,67.5
B00085,60361.18733729,31.8
B00086,60361.18854665,423
B00088,60361.1909777,61.8
B00090,60361.19296647,42.4
B00092,60361.19441608,133.9
B00094,60361.19586768,41.1
B00096,60365.13372743,45.5
B00097,60365.13509236,378.2
B00099,60365.13761289,248.9
B00100,60365.14550572,39.7
B00102,60365.14798553,87.9
B00106,60365.15061164,100.5
B00107,60374.18895212,255.1
B00110,60374.18916148,143.5
B00111,60374.18930641,239.8
B00113,60374.1894416,27.7
B00114,60374.189457,38.2
B00116,60374.18952639,41.4
B00117,60374.18953404,33.9
B00118,60374.18955642,223.5
B00121,60374.18961691,48.5
B00122,60374.18970884,44.7
B00124,60374.18982474,53.6
B00126,60374.18982548,23.9
B00127,60374.19006615,22.6
B00128,60374.19017477,862.5
B00129,60374.19023144,34.6
B00130,60374.19042932,149.2
B00131,60374.19053001,79.5
B00132,60374.1905312,70
B00136,60374.19069142,48
B00137,60374.19075768,278.4
B00138,60374.19075798,225
B00141,60374.19116282,54.7
B00143,60374.19129335,141.6
B00144,60374.19129364,509.8
B00145,60374.19129399,75.4
B00146,60374.19129553,157.7
B00147,60374.19133551,76.4
B00149,60374.1914872,72.3
B00151,60374.1917475,71.6
B00152,60374.19178694,101
B00153,60374.19185407,68.6
B00154,60374.19192134,64.1
B00157,60374.19212149,95.2
B00158,60374.19215567,32.8
B00160,60374.19251235,31.6
B00163,60374.19262304,56.1
B00164,60374.19270626,59.7
B00165,60374.19286822,44
B00166,60374.19335988,24.2
B00167,60374.19340053,36.7
B00169,60374.19355674,22.2
B00170,60374.19367279,41.6
B00171,60374.19367405,628.5
B00172,60374.1937453,33.2
B00173,60374.19380624,325.9
B00174,60374.19381643,31.3
B00176,60374.19426372,44
B00177,60374.194332,78
B00178,60374.19434796,67.7
B00179,60374.19435255,104.8
B00180,60374.1943982,62.4
B00181,60374.19452355,55.2
B00185,60374.19463642,149.8
B00189,60374.19474392,14.6
B00191,60374.19500005,39.6
B00192,60374.19523943,48.2
B00193,60374.19542121,43.3
B00195,60374.19574964,159.5
B00196,60374.19579723,396.9
B00197,60374.19593505,69.5
B00199,60374.19622243,21.1
B00200,60374.1962372,33.6
B00201,60374.1962374,277
B00202,60374.19624359,362
B00203,60374.19624396,93.8
B00204,60374.19624411,37.7
B00205,60374.19626267,290.1
B00206,60374.19656686,33.2
B00207,60374.19678669,54
B00208,60374.19682958,81.7
B00212,60374.19698847,32.2
B00214,60374.1971278,64.4
B00215,60374.19712808,247.7
B00217,60374.19748216,27.6
B00218,60374.19755975,54.3
B00221,60374.19776411,22.7
B00222,60374.19776441,127
B00224,60374.19776465,42.3
B00225,60374.19783,20.9
B00226,60374.19788027,42.8
B00227,60374.19796522,48.7
B00228,60374.19796547,94.8
B00231,60374.19820175,36.5
B00232,60374.19826604,25.7
B00234,60374.19867474,257.4
B00237,60374.19890556,248.2
B00240,60374.19918945,40.1
B00242,60374.19930082,49
B00243,60374.19943738,58.5
B00244,60374.19987372,91.6
B00245,60374.20005485,756.4
B00246,60374.20009186,20.6
B00249,60374.20012778,51.5
B00250,60374.20013704,101.3
B00251,60374.20013842,56.9
B00252,60374.20017785,557.4
B00254,60374.20047627,76.2
B00255,60374.20053928,195.3
B00256,60374.20053951,363.5
B00258,60374.20070528,152.5
B00259,60374.20077907,31.1
B00260,60374.20085241,42.6
B00264,60374.20113687,331.7
B00266,60374.20139181,64.5
B00268,60374.20179355,222.4
B00269,60374.20193147,28.8
B00275,60374.20240833,13
B00276,60374.20298165,109.7
B00278,60374.2030362,168.4
B00279,60374.20311878,52.6
B00282,60374.20366718,21.9
B00283,60374.20367386,23
B00285,60374.20367898,422
B00286,60374.2036792,60
B00287,60374.20370812,86.5
B00288,60374.2039607,57.9
B00289,60374.2040228,64.5
B00291,60374.20430562,150
B00292,60374.20443551,65.1
B00293,60374.20448304,38.8
B00294,60374.20463718,73
B00295,60374.20487341,270.7
B00300,60374.20622947,27.9
B00301,60374.20625286,40.4
B00302,60374.20652676,38.8
B00303,60374.20652947,32.6
B00305,60374.20658248,123.2
B00306,60374.2065977,11.1
B00307,60374.20659787,269.5
B00308,60374.20663418,260
B00309,60374.20671678,135.5
B00311,60374.20703902,26.6
B00312,60374.20730924,44.5
B00317,60374.20760532,487.4
B00319,60374.20773359,48.3
B00320,60374.20781117,51.3
B00321,60374.20814737,67.4
B00323,60374.2081734,352.4
B00324,60374.20834181,26.3
B00325,60374.20855351,52.6
B00327,60374.2085982,25.8
B00329,60374.20868369,24.8
B00335,60375.13626336,81.1
B00338,60375.13653099,106
B00339,60375.13654569,29.8
B00342,60375.13698078,77.2
B00344,60375.13731415,67.1
B00346,60375.13745441,348.2
B00347,60375.13757886,158.6
B00354,60375.13779389,118.6
B00355,60375.13779462,141.6
B00356,60375.13779496,220.5
B00358,60375.13804861,146.3
B00359,60375.13813169,21
B00360,60375.138355,49
B00361,60375.13835528,26.6
B00365,60375.13875856,196.2
B00370,60375.13985959,39
B00371,60375.13991496,356.6
B00372,60375.13992498,129.4
B00373,60375.1399563,55.2
B00374,60375.13995713,124.5
B00375,60375.14021613,681.8
B00377,60375.14040483,45
B00379,60375.14069832,202.1
B00382,60375.14077027,31.1
B00383,60375.14103069,140.2
B00385,60375.14107764,68.8
B00386,60375.14146336,23
B00389,60375.14159624,79.1
B00390,60375.14168325,109.2
B00391,60375.14169715,251.7
B00393,60375.14209032,75.3
B00394,60375.14219245,177.8
B00395,60375.14230542,389.9
B00397,60375.14240832,23.4
B00398,60375.14261033,25.5
B00400,60375.14263054,37.9
B00401,60375.14276098,74.2
B00406,60375.14303617,48.4
B00408,60375.1434186,27.3
B00409,60375.14347414,164.5
B00414,60375.14399568,48.2
B00417,60375.14445869,179.2
B00418,60375.14448751,148.8
B00420,60375.14455798,53.5
B00422,60375.1448678,82.7
B00424,60375.14488696,183.1
B00425,60375.14498799,23.1
B00436,60375.14570277,22.7
B00437,60375.1461707,106
B00439,60375.14620199,53.7
B00440,60375.14658735,155.2
B00441,60375.14666868,31.3
B00442,60375.14668142,43.9
B00445,60375.14679908,346.6
B00447,60375.14680105,232.6
B00449,60375.14692053,59.1
B00450,60375.14702034,23.8
B00451,60375.14736895,35.4
B00456,60375.14806048,82.8
B00457,60375.14816546,93.7
B00458,60375.1484098,21.4
B00459,60375.14855846,41.2
B00460,60375.14864303,237.3
B00467,60375.14942826,41.3
B00469,60375.14949328,25
B00471,60375.14967769,38.1
B00474,60375.149978,205.8
B00475,60375.15013293,26.3
B00476,60375.15013511,409.1
B00477,60375.15013518,314.9
B00480,60375.15038552,182.3
B00482,60375.15077204,46.8
B00483,60375.15080386,52.6
B00484,60375.15080422,68
B00485,60375.15100424,144
B00487,60375.1513731,83.4
B00488,60375.15137356,55.4
B00490,60375.15156573,322.8
B00491,60375.15169909,99.5
B00493,60375.15180789,25.8
B00494,60375.15189324,21.1
B00497,60375.15219898,37.2
B00500,60375.15264247,71.4
B00501,60375.15264369,54.4
B00507,60375.15327026,181.9
B00508,60375.15327056,20.2
B00512,60375.15379663,22.8
B00513,60375.15389615,133.6
