# Source: Michon et al., Nat. Commun. 14, 3033 (2023), doi:10.1038/s41467-023-38762-5
# Open data: Yareta (University of Geneva), DOI 10.26037/yareta:zvtvqwmbl5emvd3bxr6sluurqi (CC-BY-4.0)
# Archive member: researchdata/for-yareta/experimental-data/Epsilon_LSCO-0p24.txt
# Fetched by scripts/fetch_michon2023.py; content below is verbatim.
#
# Complex relative dielectric function of La(2-x)Sr(x)CuO(4) at x=0.24 versus
# energy at temperatures T = [9,15,20,30,40,50,60,75,100,150,200,250,300] Kelvin
#
# Energy (eV)	Eps1 9K	Eps2 9K	Eps1 15K	Eps2 15K	Eps1 20K	Eps2 20K	Eps1 30K	Eps2 30K	Eps1 40K	Eps2 40K	Eps1 50K	Eps2 50K	Eps1 60K	Eps2 60K	Eps1 75K	Eps2 75K	Eps1 100K	Eps2 100K	Eps1 150K	Eps2 150K	Eps1 200K	Eps2 200K	Eps1 250K	Eps2 250K	Eps1 300K	Eps2 300K
#
0.0024796668	-200169.45	1791.2627	-107427.18	880.32770	-90590.679	409.00949	-169173.22	1043.7780	-271339.98	2827.0952	-178085.31	3006.7637	-280854.19	56474.855	-70512.827	141706.87	-4649.6722	65544.398	4979.5459	69500.641	-1594.5231	32383.391	2110.3191	22568.082	6058.4483	17580.156
0.0025106627	-187101.86	38210.195	-89138.153	44633.422	-68997.262	45676.707	-155124.31	52712.020	-268142.98	2777.2761	-166608.62	62895.527	-293320.91	60345.113	-124528.18	121617.23	-6600.8401	71306.430	-10990.072	85683.914	-3061.1316	33423.133	456.56520	24691.006	4070.7521	22534.445
0.0026301825	-190627.34	58114.828	-116082.79	86813.844	-99872.461	121564.43	-193956.72	59199.227	-197427.11	-26606.709	-242442.66	36947.332	-219038.49	-47452.984	-76290.210	66445.695	-32095.722	68699.242	-33732.021	57626.727	-5950.9982	30112.854	-4054.6050	21776.697	-2545.5282	18693.713
0.0027497024	-170628.51	125817.24	-76432.240	127227.51	-86239.539	165718.70	-158801.66	103295.02	-153270.32	37684.547	-198360.52	50571.590	-152729.67	18068.133	-55265.280	63195.832	-31078.836	49044.887	-28476.162	41345.582	-4967.4275	26719.852	-4104.7672	17938.359	-3517.5134	15434.831
0.0028693464	-237400.29	141680.12	-31389.751	225381.62	-71013.832	255288.55	-174950.16	164120.20	-150390.16	87795.250	-190002.04	89264.992	-136430.73	66281.148	-40757.582	69469.344	-22923.559	43082.418	-19878.880	36585.816	-2920.8192	25763.545	-1995.5849	16044.996	-2139.3412	13726.039
0.0029888663	-310283.14	230809.31	-335371.85	387526.16	-277980.64	358669.81	-270274.52	128712.37	-185561.51	111877.78	-226385.30	95593.961	-152468.99	107818.46	-38900.770	81026.250	-21354.320	42550.477	-15794.160	37449.332	-2794.2125	26954.432	-635.09353	16454.389	-2133.7074	14106.672
0.0031083862	-255610.11	-146739.91	-338471.13	52993.445	-356189.02	128625.27	-234081.43	60148.770	-209638.09	85096.383	-237800.23	48181.746	-205373.99	101541.16	-53251.834	82977.578	-23773.307	38690.703	-18785.199	36961.500	-5830.5280	26957.896	-2004.6921	17379.732	-4407.8345	13264.250
0.0032280302	-177021.01	-11198.245	-227370.28	97764.570	-265163.26	136154.91	-194321.38	93277.055	-201820.04	105700.17	-222726.21	49302.402	-223331.43	73176.859	-55133.728	74005.539	-21315.835	32764.705	-18440.318	31763.785	-7098.8689	23640.463	-3230.6338	15686.723	-4249.5052	10401.250
0.0033475501	-191478.75	18119.041	-243489.76	92973.242	-289496.28	112330.68	-216175.98	103694.61	-276428.13	122999.83	-221547.90	16220.104	-237197.20	35141.000	-53438.439	72328.195	-16349.903	30654.508	-13958.339	29357.742	-5441.3571	21346.875	-2400.8690	13932.798	-2405.9339	9109.6689
0.0034670699	-168295.00	-35453.691	-293390.29	125462.22	-354777.06	155924.06	-284834.24	165310.98	-279437.68	-68946.203	-232866.84	17481.877	-205278.50	-33066.715	-62197.210	68081.773	-13662.866	32129.189	-11173.060	31081.850	-4372.3583	21469.617	-1272.2534	13725.690	-1167.2370	9462.4004
