id,sdid,gpstime,sd1500,multiEye,sd_gpsnanotime,sd_theta,sd_dtheta,sd_phi,sd_dphi,sd_energy,sd_denergy,sd_l,sd_b,sd_ra,sd_dec,sd_x,sd_dx,sd_y,sd_dy,sd_z,sd_easting,sd_northing,sd_altitude,sd_n19,sd_dn19,sd_n68,sd_dn68,sd_nbstat,sd_geondf,sd_geochi2,sd_exposure
41144495300,744980,766801765,1,0,919151000,75.1,0.2,-70.5,0.1,21.599,1.434,332.7,-24.9,284.8,-63.2,-9776.7,8,-5662,20.1,-6.8,467499.5,6093519.8,1393.2,3.7,0.2,3.8,0.2,21,18,9.3,4.51
41208145400,755840,767356666,1,0,325072000,66.8,0.2,-146.6,0.2,5.831,0.678,325.4,18.1,221.1,-39.8,-799.9,30.1,-11039.7,26.5,-21.1,476484.4,6088168,1378.9,1.1,0.1,1.1,0.1,15,12,4.44,4.93
41267377400,763760,767867386,1,0,829164000,75.9,0.1,-43.2,0.1,6.85,0.837,270.5,-70.2,27.3,-43.1,-6583.1,24.3,-14500.8,23.1,-26.7,470713.4,6084694.5,1373.3,1.3,0.1,1.3,0.1,22,19,7.71,5.29
41387410700,781330,768904519,1,0,438410000,65.7,0.4,149.8,0.3,4.752,0.636,20.6,38.6,243.2,7.9,-10692.1,117.2,-26022.1,69.9,-77.1,466635.9,6073169.8,1322.9,0.9,0.1,0.9,0.1,8,5,0.95,6.07
41474258900,796190,769650601,1,0,532454000,64,0.2,113.9,0.2,11.363,1.212,206.5,51.1,149.4,24.7,-2569,12.3,-4954.4,15.1,-5.9,474701,6094245.1,1394.1,2,0.2,2.1,0.2,14,11,10.99,6.68
41624812600,819410,770952138,1,0,17464000,70.9,0.1,-177.3,0.1,10.571,0.724,241.1,21.3,135.4,-13,-9682.1,30.7,-12512.6,24.8,-21.4,467611.3,6086673.7,1378.6,1.9,0.1,1.9,0.1,19,16,4.99,7.76
41733702700,841560,771891439,1,0,394881000,79.4,0.1,-31.8,0.2,4.226,0.647,1.2,-8.4,275.6,-32,-361.8,28.9,-13979.7,22.8,-28.6,476929.6,6085230.9,1371.4,0.8,0.1,0.8,0.1,19,16,10.1,8.62
41807370900,856500,772532921,1,0,122795000,60.1,0.4,-142.4,0.4,4.55,0.569,340.4,-1.8,254.1,-46.1,-17496.9,109.5,-11488.2,119.7,-19.7,459798.6,6087677.7,1380.3,0.8,0.1,0.9,0.1,7,4,0.38,9.22
41891318200,869910,773249994,1,0,939464000,61.4,0.2,-102.8,0.3,7.545,0.608,312.9,-36.6,333.6,-77.3,-10662,113.9,-23970.8,69.9,-68,466660.8,6075220,1332,1.3,0.1,1.4,0.1,13,10,3.08,9.85
41904378600,871900,773366998,1,0,199128000,72.9,0.2,155,0.2,4.695,0.537,235.9,53.4,159.1,9.2,-10082.7,60.8,-15324.6,29.5,-29.9,467218,6083862.4,1370.1,0.9,0.1,0.9,0.1,12,9,4.73,9.95
41942273700,878600,773691549,1,0,709755000,71.8,0.2,92.8,0.2,4.379,0.605,186.5,39.2,133.2,36.5,2491,13.9,-4091.4,9.8,-14,479755.7,6095120.4,1386,0.8,0.1,0.8,0.1,11,8,5.28,10.24
43413787200,1099160,786407484,1,0,286138000,71.8,0.2,95.1,0.2,4.58,0.646,94.3,-18.8,338.6,36.3,-16077.6,36.6,-14079.9,52.3,-32.4,461223.6,6085091.2,1367.6,0.9,0.1,0.9,0.1,14,11,3.43,13.58
43430759000,1102610,786550002,1,0,974109000,72.4,0.2,148.5,0.2,5.233,0.7,233.4,59.2,163.3,13.4,2355.8,36.9,-14206.1,34.3,-35.2,479646.1,6085011.5,1364.8,1,0.1,1,0.1,13,10,8.21,13.77
43478222900,1112260,786970241,1,0,380675000,61.2,0.3,-90.8,0.3,5.718,0.675,304.4,-33.5,2.2,-83.5,-29583,81.7,14473.7,178.3,94.7,447654.6,6113593.4,1494.7,1,0.1,1.1,0.1,8,5,37,14.31
43483254300,1112900,787006955,1,0,776457000,69.2,0.1,129.5,0.1,26.208,1.649,55.8,4.8,289.2,22.6,-14844,39.6,-24216.7,46.2,-72.1,462482,6074963.6,1327.9,4.5,0.3,4.5,0.3,27,24,10.84,14.36
43491143600,1114290,787072248,1,0,715310000,60.1,0.3,23.8,0.3,7.929,0.751,38.2,-10.4,294.5,-0.1,-2943.5,80.9,-19319.3,57.4,-48.3,474362.9,6079888,1351.7,1.3,0.1,1.5,0.1,10,7,5.93,14.44
43526530900,1121090,787385321,1,0,534464000,69.4,0.2,-107.7,0.1,16.837,1.124,318.4,-44.6,341.5,-68.6,-27883.4,22.7,6462.7,68.6,53,449373.3,6105591.6,1453,3,0.2,3,0.2,16,13,16.23,14.89
