file,scripts,docs
website/app/sitemap.ts,,introduction
website/app/layout.tsx,,introduction
website/app/orientation/page.tsx,,introduction
website/app/verification/page.tsx,v159_pyrate_gauge_crosscheck.py;v164_qcd_scale.py;v166_higgs_free_seam.py;v170_diamond_slice_compression.py;v84_frozen_registry.py,
website/components/DownloadsSection.tsx,,changelog;introduction
website/components/Footer.tsx,,introduction;origin_theory;tfpt_horizon_readouts;tfpt_research_contracts
website/components/Hero.tsx,,introduction
website/components/HorizonStory.tsx,v101_horizon_anchor.py;v102_seam_orientation.py,
website/components/OpenGates.tsx,v136_dual_normal_selector.py;v139_selector_triangle.py;v160_seam_gaussianity_from_pf.py;v165_premise_a_closure.py;v167_inventory_post_closure.py;v168_qgeo_rigidity.py;v175_net_existence_full_cone.py;v176_seam_collar_realisation.py;v177_seam_marking_kernel.py;v178_marks_kernel_attempt.py;v179_conformal_realisation.py;v180_clock_is_mobius.py,
website/components/PapersSection.tsx,,introduction
website/components/PredictionsSection.tsx,,introduction
website/components/ScriptIndex.tsx,v100_numerology_null_mc.py;v101_horizon_anchor.py;v102_seam_orientation.py;v103_trisection_normal_form.py;v104_nariai_clock.py;v105_residual_inventory.py;v106_review_validation.py;v107_quantum_clock_target.py;v108_pascal_ladder.py;v109_sheet_pairing.py;v10_projection_involution.py;v110_calderon_sheet.py;v111_quadratic_transport.py;v112_selfcounting_channel.py;v113_quasifree_kernel.py;v114_torsion_delta.py;v115_anchor_residue.py;v116_resonance_uniqueness.py;v117_monodromy_weyl_a3.py;v118_hexagon_family_dictionary.py;v119_review_validation_2.py;v11_unique_KQ.py;v120_address_table.py;v121_address_pinning.py;v122_margin_theorem.py;v123_inventory_update.py;v124_resummed_clock.py;v125_glue_qsystem.py;v126_clock_wall_bridge.py;v127_ring_resummation.py;v128_graded_hull.py;v129_entropy_power_law.py;v12_mass_generation_polynomials.py;v130_born_square.py;v131_measure_is_area.py;v132_detratio_anomaly.py;v133_zeta_budget.py;v134_dual_anchor.py;v135_det_surface.py;v136_dual_normal_selector.py;v137_qplus_cohomology.py;v138_vw_firewall.py;v139_selector_triangle.py;v13_open_gates.py;v140_canonical_map.py;v141_deck_selection.py;v142_frame_integrality.py;v143_graded_frobenius.py;v144_detratio_family.py;v145_pairing_atoms.py;v146_moebius_d4.py;v147_clock_gaussian.py;v148_fock_census.py;v149_cusp_normal.py;v14_carrier_uniqueness.py;v150_replica_eh_model.py;v151_bfk_split.py;v152_norm_is_anchor.py;v153_no_unit_theorem.py;v154_simple_current_theorem.py;v155_quasifree_boundary.py;v156_seam_net_construction.py;v157_rigid_fixed_point.py;v158_fixed_point_stable.py;v159_pyrate_gauge_crosscheck.py;v15_bootstrap_classification.py;v160_seam_gaussianity_from_pf.py;v161_one_particle_reduction.py;v162_seam_transport_identification.py;v163_rg_stability_flavor.py;v164_qcd_scale.py;v165_premise_a_closure.py;v166_higgs_free_seam.py;v167_inventory_post_closure.py;v168_qgeo_rigidity.py;v169_etaB_boltzmann_interface.py;v16_solar_dual_anchor.py;v170_diamond_slice_compression.py;v171_os_moment_cluster.py;v172_trace_anomaly_seed.py;v173_pfaffian_cp_car.py;v174_seam_fock_readings.py;v175_net_existence_full_cone.py;v176_seam_collar_realisation.py;v177_seam_marking_kernel.py;v178_marks_kernel_attempt.py;v179_conformal_realisation.py;v17_hexagonal_resolvent.py;v180_clock_is_mobius.py;v18_quark_yukawa.py;v19_monodromy_moduli.py;v1_e8_glue.py;v20_lepton_c_derivation.py;v21_solar_product_quark.py;v22_open_gates_audit.py;v23_anchor_generator.py;v24_quark_ratio_closure.py;v25_frontier_conjectures.py;v26_flavor_frontier_unification.py;v27_wall_representative.py;v28_gravity_fR.py;v29_research_contract_certs.py;v2_carrier_pascal.py;v30_d4_character_variety.py;v31_R_dictionary.py;v32_rh_splitting.py;v33_explicit_flat_bundle.py;v34_h2_bridge_attempt.py;v35_quark_qcd_boundary.py;v36_spectral_action_g2.py;v37_plucker_anchor.py;v38_uwall_killswitch.py;v39_uwall_selectors.py;v3_em_alpha.py;v40_harmonic_metric.py;v41_leg_assignment.py;v42_exterior_leg.py;v43_exterior_bridge.py;v44_carrier_exterior.py;v45_family_exterior.py;v46_grand_mass_volume.py;v47_selection_theorem.py;v48_em_ward.py;v49_readout_rigidity.py;v4_flavor_matrix.py;v50_q_geometry.py;v51_boundary_half_step.py;v52_pencil_endpoints.py;v53_compiler_core.py;v54_seam_horizon_keystones.py;v55_coxeter_cycle.py;v56_unique_attractor.py;v57_horizon_crosslinks.py;v58_seam_horizon_chain.py;v59_area_law_evidence.py;v5_e8_cascade.py;v60_lambda_metrology_branch.py;v61_cft_bridge.py;v62_data_scorecard.py;v63_seam_engineering_index.py;v64_causal_boundary_nogo.py;v65_falsification_layer.py;v66_e8_casimir_degrees.py;v67_area_law_coefficient.py;v68_seeley_dewitt_residual.py;v69_d4_q_geometry.py;v6_bootstrap.py;v70_q_integer_lift.py;v71_simple_r_bridge.py;v72_q_det_from_cusp.py;v73_k_c3_half.py;v74_compiler_micro_lemmas.py;v75_upoint_to_vgeo.py;v76_gmetric_reduction.py;v77_e8_conformal_net.py;v78_vgeo_floor.py;v79_review_identities.py;v7_gravity_cosmo.py;v80_operator_pencil_geometry.py;v81_singular_pencil_matrices.py;v82_koide_attractor_splitting.py;v83_e8net_holomorphic_uniqueness.py;v84_frozen_registry.py;v85_master_cover.py;v86_nstar_reheating.py;v87_bulk_uniqueness_reduction.py;v88_cp_phase_audit.py;v89_carrier_index_lemma.py;v8_horizon.py;v90_conical_defect_chain.py;v91_spine_tetrahedron.py;v92_glue_uniqueness.py;v93_koide_relaxation_toy.py;v94_sheet_diamond.py;v95_centered_diamond.py;v96_branch_kernel_selection.py;v97_sheet_conjugation_bridge.py;v98_discriminant_dictionary.py;v99_koide_flow_time.py;v9_neutrino_texture.py,
website/components/StatusPyramid.tsx,v108_pascal_ladder.py;v113_quasifree_kernel.py,
website/components/VerificationDag.tsx,v101_horizon_anchor.py;v102_seam_orientation.py;v103_trisection_normal_form.py;v104_nariai_clock.py;v105_residual_inventory.py;v107_quantum_clock_target.py;v108_pascal_ladder.py;v109_sheet_pairing.py;v10_projection_involution.py;v110_calderon_sheet.py;v111_quadratic_transport.py;v112_selfcounting_channel.py;v113_quasifree_kernel.py;v114_torsion_delta.py;v115_anchor_residue.py;v116_resonance_uniqueness.py;v117_monodromy_weyl_a3.py;v118_hexagon_family_dictionary.py;v119_review_validation_2.py;v120_address_table.py;v121_address_pinning.py;v122_margin_theorem.py;v123_inventory_update.py;v124_resummed_clock.py;v125_glue_qsystem.py;v126_clock_wall_bridge.py;v127_ring_resummation.py;v128_graded_hull.py;v129_entropy_power_law.py;v130_born_square.py;v131_measure_is_area.py;v132_detratio_anomaly.py;v133_zeta_budget.py;v134_dual_anchor.py;v135_det_surface.py;v136_dual_normal_selector.py;v137_qplus_cohomology.py;v138_vw_firewall.py;v139_selector_triangle.py;v140_canonical_map.py;v141_deck_selection.py;v142_frame_integrality.py;v143_graded_frobenius.py;v144_detratio_family.py;v145_pairing_atoms.py;v146_moebius_d4.py;v147_clock_gaussian.py;v148_fock_census.py;v149_cusp_normal.py;v14_carrier_uniqueness.py;v150_replica_eh_model.py;v151_bfk_split.py;v152_norm_is_anchor.py;v153_no_unit_theorem.py;v154_simple_current_theorem.py;v155_quasifree_boundary.py;v156_seam_net_construction.py;v157_rigid_fixed_point.py;v158_fixed_point_stable.py;v159_pyrate_gauge_crosscheck.py;v15_bootstrap_classification.py;v160_seam_gaussianity_from_pf.py;v161_one_particle_reduction.py;v162_seam_transport_identification.py;v163_rg_stability_flavor.py;v164_qcd_scale.py;v165_premise_a_closure.py;v166_higgs_free_seam.py;v168_qgeo_rigidity.py;v169_etaB_boltzmann_interface.py;v16_solar_dual_anchor.py;v170_diamond_slice_compression.py;v171_os_moment_cluster.py;v172_trace_anomaly_seed.py;v173_pfaffian_cp_car.py;v174_seam_fock_readings.py;v175_net_existence_full_cone.py;v176_seam_collar_realisation.py;v177_seam_marking_kernel.py;v178_marks_kernel_attempt.py;v179_conformal_realisation.py;v180_clock_is_mobius.py;v18_quark_yukawa.py;v1_e8_glue.py;v20_lepton_c_derivation.py;v21_solar_product_quark.py;v24_quark_ratio_closure.py;v28_gravity_fR.py;v2_carrier_pascal.py;v36_spectral_action_g2.py;v37_plucker_anchor.py;v3_em_alpha.py;v44_carrier_exterior.py;v46_grand_mass_volume.py;v47_selection_theorem.py;v48_em_ward.py;v49_readout_rigidity.py;v4_flavor_matrix.py;v52_pencil_endpoints.py;v54_seam_horizon_keystones.py;v55_coxeter_cycle.py;v56_unique_attractor.py;v58_seam_horizon_chain.py;v60_lambda_metrology_branch.py;v67_area_law_coefficient.py;v6_bootstrap.py;v73_k_c3_half.py;v75_upoint_to_vgeo.py;v76_gmetric_reduction.py;v77_e8_conformal_net.py;v78_vgeo_floor.py;v79_review_identities.py;v7_gravity_cosmo.py;v80_operator_pencil_geometry.py;v81_singular_pencil_matrices.py;v82_koide_attractor_splitting.py;v83_e8net_holomorphic_uniqueness.py;v84_frozen_registry.py;v85_master_cover.py;v86_nstar_reheating.py;v87_bulk_uniqueness_reduction.py;v88_cp_phase_audit.py;v96_branch_kernel_selection.py;v97_sheet_conjugation_bridge.py;v98_discriminant_dictionary.py;v99_koide_flow_time.py;v9_neutrino_texture.py,introduction
website/components/orientation/OrientationDownload.tsx,,introduction;origin_theory;tfpt_1_architecture_e8;tfpt_research_contracts
website/components/orientation/OrientationHero.tsx,,introduction
website/components/orientation/PublicationOrder.tsx,,introduction
website/components/orientation/WhatTfptClaims.tsx,,introduction
website/lib/faq.ts,v100_numerology_null_mc.py,
website/lib/papers.ts,v100_numerology_null_mc.py;v108_pascal_ladder.py;v110_calderon_sheet.py;v111_quadratic_transport.py;v112_selfcounting_channel.py;v113_quasifree_kernel.py;v124_resummed_clock.py;v126_clock_wall_bridge.py;v127_ring_resummation.py;v129_entropy_power_law.py;v130_born_square.py;v131_measure_is_area.py;v132_detratio_anomaly.py;v133_zeta_budget.py;v134_dual_anchor.py;v136_dual_normal_selector.py;v139_selector_triangle.py;v141_deck_selection.py;v143_graded_frobenius.py;v144_detratio_family.py;v145_pairing_atoms.py;v146_moebius_d4.py;v147_clock_gaussian.py;v148_fock_census.py;v149_cusp_normal.py;v150_replica_eh_model.py;v151_bfk_split.py;v153_no_unit_theorem.py;v154_simple_current_theorem.py;v155_quasifree_boundary.py;v156_seam_net_construction.py;v157_rigid_fixed_point.py;v158_fixed_point_stable.py;v159_pyrate_gauge_crosscheck.py;v160_seam_gaussianity_from_pf.py;v161_one_particle_reduction.py;v162_seam_transport_identification.py;v165_premise_a_closure.py;v166_higgs_free_seam.py;v168_qgeo_rigidity.py;v169_etaB_boltzmann_interface.py;v170_diamond_slice_compression.py;v175_net_existence_full_cone.py;v176_seam_collar_realisation.py;v180_clock_is_mobius.py;v59_area_law_evidence.py;v83_e8net_holomorphic_uniqueness.py;v87_bulk_uniqueness_reduction.py;v89_carrier_index_lemma.py,introduction;origin_theory;tfpt_1_architecture_e8;tfpt_2_standard_model;tfpt_3_e8_audit_bootstrap;tfpt_4_frontier;tfpt_5_redteam;tfpt_horizon_readouts;tfpt_research_contracts
website/lib/predictions.ts,v173_pfaffian_cp_car.py;v84_frozen_registry.py;v86_nstar_reheating.py,tfpt_1_architecture_e8;tfpt_2_standard_model;tfpt_4_frontier;tfpt_horizon_readouts
website/lib/pyodide.ts,v100_numerology_null_mc.py;v3_em_alpha.py;v84_frozen_registry.py,
website/lib/release.ts,,changelog;introduction;origin_theory;tfpt_1_architecture_e8;tfpt_2_standard_model;tfpt_3_e8_audit_bootstrap;tfpt_4_frontier;tfpt_5_redteam;tfpt_horizon_readouts;tfpt_research_contracts
README.md,v150_replica_eh_model.py;v151_bfk_split.py;v152_norm_is_anchor.py;v153_no_unit_theorem.py;v154_simple_current_theorem.py;v168_qgeo_rigidity.py;v175_net_existence_full_cone.py;v83_e8net_holomorphic_uniqueness.py;v84_frozen_registry.py;v85_master_cover.py;v86_nstar_reheating.py;v87_bulk_uniqueness_reduction.py;v89_carrier_index_lemma.py;v90_conical_defect_chain.py;v91_spine_tetrahedron.py;v92_glue_uniqueness.py;v95_centered_diamond.py,changelog;introduction;origin_theory;tfpt_1_architecture_e8;tfpt_2_standard_model;tfpt_3_e8_audit_bootstrap;tfpt_4_frontier;tfpt_5_redteam;tfpt_horizon_readouts;tfpt_research_contracts
next.txt,v100_numerology_null_mc.py;v101_horizon_anchor.py;v102_seam_orientation.py;v103_trisection_normal_form.py;v104_nariai_clock.py;v105_residual_inventory.py;v106_review_validation.py;v107_quantum_clock_target.py;v108_pascal_ladder.py;v109_sheet_pairing.py;v110_calderon_sheet.py;v111_quadratic_transport.py;v112_selfcounting_channel.py;v113_quasifree_kernel.py;v114_torsion_delta.py;v115_anchor_residue.py;v116_resonance_uniqueness.py;v117_monodromy_weyl_a3.py;v118_hexagon_family_dictionary.py;v119_review_validation_2.py;v120_address_table.py;v121_address_pinning.py;v122_margin_theorem.py;v123_inventory_update.py;v124_resummed_clock.py;v125_glue_qsystem.py;v126_clock_wall_bridge.py;v127_ring_resummation.py;v128_graded_hull.py;v129_entropy_power_law.py;v130_born_square.py;v131_measure_is_area.py;v132_detratio_anomaly.py;v133_zeta_budget.py;v134_dual_anchor.py;v135_det_surface.py;v136_dual_normal_selector.py;v137_qplus_cohomology.py;v138_vw_firewall.py;v139_selector_triangle.py;v140_canonical_map.py;v141_deck_selection.py;v142_frame_integrality.py;v143_graded_frobenius.py;v144_detratio_family.py;v145_pairing_atoms.py;v146_moebius_d4.py;v147_clock_gaussian.py;v148_fock_census.py;v149_cusp_normal.py;v14_carrier_uniqueness.py;v150_replica_eh_model.py;v151_bfk_split.py;v152_norm_is_anchor.py;v153_no_unit_theorem.py;v154_simple_current_theorem.py;v155_quasifree_boundary.py;v156_seam_net_construction.py;v157_rigid_fixed_point.py;v158_fixed_point_stable.py;v159_pyrate_gauge_crosscheck.py;v160_seam_gaussianity_from_pf.py;v161_one_particle_reduction.py;v162_seam_transport_identification.py;v165_premise_a_closure.py;v167_inventory_post_closure.py;v18_quark_yukawa.py;v19_monodromy_moduli.py;v1_e8_glue.py;v20_lepton_c_derivation.py;v2_carrier_pascal.py;v30_d4_character_variety.py;v33_explicit_flat_bundle.py;v3_em_alpha.py;v40_harmonic_metric.py;v41_leg_assignment.py;v4_flavor_matrix.py;v56_unique_attractor.py;v59_area_law_evidence.py;v60_lambda_metrology_branch.py;v68_seeley_dewitt_residual.py;v69_d4_q_geometry.py;v70_q_integer_lift.py;v71_simple_r_bridge.py;v72_q_det_from_cusp.py;v76_gmetric_reduction.py;v78_vgeo_floor.py;v81_singular_pencil_matrices.py;v82_koide_attractor_splitting.py;v85_master_cover.py;v86_nstar_reheating.py;v89_carrier_index_lemma.py;v92_glue_uniqueness.py;v93_koide_relaxation_toy.py;v94_sheet_diamond.py;v95_centered_diamond.py;v96_branch_kernel_selection.py;v97_sheet_conjugation_bridge.py;v98_discriminant_dictionary.py;v99_koide_flow_time.py,introduction
